# Global clustering metrics
metric,value,clusterer
silhouette_global,0.347573,family_labels
davies_bouldin,0.702550,family_labels
calinski_harabasz,5.881579,family_labels
cophenetic_correlation,0.921242,hierarchical
adjusted_rand_index,0.867725,hierarchical_cut
normalized_mutual_info,0.890485,hierarchical_cut
v_measure,0.890485,hierarchical_cut
adjusted_rand_index,0.867725,kmeans
normalized_mutual_info,0.890485,kmeans
v_measure,0.890485,kmeans

# Per-variety silhouette scores
variety,family,silhouette
friulano,italo_romance,0.908576
ligure,italo_romance,0.904936
lombardo,italo_romance,0.890791
sardo,italo_romance,0.867401
ladino,italo_romance,0.863996
veneto,italo_romance,0.863115
siciliano,italo_romance,0.845233
catalano,romance,0.086531
italiano,italian,0.000000
tedesco,germanic,0.000000
greco,greek,0.000000
inglese,english,0.000000
arabo,semitic,0.000000
sloveno,slavic,0.000000
francese,romance,-0.265647
spagnolo,romance,-0.403772
