,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.881630,0.879295,0.887721,0.901696,0.750350,0.882397,0.892052,0.891944,0.891049,0.828705,0.834222,0.761500
lij,0.881630,1.000000,0.881340,0.837455,0.845115,0.771246,0.873721,0.873156,0.873788,0.859057,0.783846,0.809960,0.732350
lmo,0.879295,0.881340,1.000000,0.829803,0.878042,0.822287,0.883405,0.869288,0.883702,0.883234,0.805769,0.826265,0.768993
sc,0.887721,0.837455,0.829803,1.000000,0.871529,0.681856,0.867789,0.904506,0.887459,0.896655,0.832840,0.826013,0.734252
scn,0.901696,0.845115,0.878042,0.871529,1.000000,0.723967,0.920474,0.903976,0.908034,0.906680,0.890919,0.882522,0.761293
vec,0.750350,0.771246,0.822287,0.681856,0.723967,1.000000,0.728796,0.744581,0.776135,0.745957,0.681431,0.720453,0.682529
ita,0.882397,0.873721,0.883405,0.867789,0.920474,0.728796,1.000000,0.956905,0.941882,0.942862,0.915461,0.905276,0.808906
spa,0.892052,0.873156,0.869288,0.904506,0.903976,0.744581,0.956905,1.000000,0.965068,0.974343,0.901513,0.904233,0.831443
fra,0.891944,0.873788,0.883702,0.887459,0.908034,0.776135,0.941882,0.965068,1.000000,0.973949,0.897697,0.903014,0.813580
cat,0.891049,0.859057,0.883234,0.896655,0.906680,0.745957,0.942862,0.974343,0.973949,1.000000,0.911377,0.914836,0.840076
deu,0.828705,0.783846,0.805769,0.832840,0.890919,0.681431,0.915461,0.901513,0.897697,0.911377,1.000000,0.935424,0.826807
slv,0.834222,0.809960,0.826265,0.826013,0.882522,0.720453,0.905276,0.904233,0.903014,0.914836,0.935424,1.000000,0.840324
eng,0.761500,0.732350,0.768993,0.734252,0.761293,0.682529,0.808906,0.831443,0.813580,0.840076,0.826807,0.840324,1.000000
