,fur,lij,lmo,sc,scn,vec,ita,fra,spa,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.0000,0.5041,0.5108,0.6080,0.6009,0.4987,0.5100,0.6374,0.6113,0.5920,0.6397,0.5808,0.8387,0.8410,0.8392,0.8427,0.8763
lij,0.5041,0.0000,0.5139,0.5491,0.5529,0.3916,0.3627,0.6783,0.5815,0.6189,0.5602,0.6185,0.8414,0.8383,0.8206,0.8333,0.8931
lmo,0.5108,0.5139,0.0000,0.6309,0.6111,0.4852,0.5373,0.7325,0.6829,0.6438,0.6708,0.6321,0.8451,0.8584,0.8582,0.8522,0.8942
sc,0.6080,0.5491,0.6309,0.0000,0.4872,0.5250,0.4325,0.6755,0.6027,0.6149,0.5885,0.6109,0.8302,0.8371,0.8398,0.8406,0.8924
scn,0.6009,0.5529,0.6111,0.4872,0.0000,0.5028,0.4675,0.7037,0.6329,0.6260,0.6140,0.6234,0.8550,0.8503,0.8100,0.8217,0.8888
vec,0.4987,0.3916,0.4852,0.5250,0.5028,0.0000,0.3376,0.6357,0.5052,0.5471,0.4881,0.5415,0.8326,0.8425,0.8115,0.8201,0.8816
ita,0.5100,0.3627,0.5373,0.4325,0.4675,0.3376,0.0000,0.6317,0.5036,0.5497,0.5041,0.5551,0.8192,0.8291,0.8101,0.8282,0.8842
fra,0.6374,0.6783,0.7325,0.6755,0.7037,0.6357,0.6317,0.0000,0.6157,0.5836,0.6064,0.5598,0.8419,0.8484,0.8746,0.8794,0.8851
spa,0.6113,0.5815,0.6829,0.6027,0.6329,0.5052,0.5036,0.6157,0.0000,0.4322,0.2967,0.5066,0.8568,0.8416,0.8370,0.8528,0.8966
cat,0.5920,0.6189,0.6438,0.6149,0.6260,0.5471,0.5497,0.5836,0.4322,0.0000,0.4452,0.3769,0.8448,0.8441,0.8404,0.8580,0.8905
por,0.6397,0.5602,0.6708,0.5885,0.6140,0.4881,0.5041,0.6064,0.2967,0.4452,0.0000,0.4776,0.8633,0.8398,0.8460,0.8582,0.8895
oci,0.5808,0.6185,0.6321,0.6109,0.6234,0.5415,0.5551,0.5598,0.5066,0.3769,0.4776,0.0000,0.8485,0.8434,0.8484,0.8615,0.8899
deu,0.8387,0.8414,0.8451,0.8302,0.8550,0.8326,0.8192,0.8419,0.8568,0.8448,0.8633,0.8485,0.0000,0.7004,0.8643,0.8825,0.9117
eng,0.8410,0.8383,0.8584,0.8371,0.8503,0.8425,0.8291,0.8484,0.8416,0.8441,0.8398,0.8434,0.7004,0.0000,0.8632,0.8631,0.8950
slv,0.8392,0.8206,0.8582,0.8398,0.8100,0.8115,0.8101,0.8746,0.8370,0.8404,0.8460,0.8484,0.8643,0.8632,0.0000,0.3159,0.8546
hrv,0.8427,0.8333,0.8522,0.8406,0.8217,0.8201,0.8282,0.8794,0.8528,0.8580,0.8582,0.8615,0.8825,0.8631,0.3159,0.0000,0.8684
hun,0.8763,0.8931,0.8942,0.8924,0.8888,0.8816,0.8842,0.8851,0.8966,0.8905,0.8895,0.8899,0.9117,0.8950,0.8546,0.8684,0.0000
