dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.725267
fur,cat,romance,0.720746
fur,fra,romance,0.705937
fur,spa,romance,0.696110
fur,deu,germanic,0.673696
fur,eng,english,0.672823
fur,slv,slavic,0.662280
lij,ita,italian,0.741566
lij,cat,romance,0.729162
lij,fra,romance,0.716252
lij,spa,romance,0.705954
lij,eng,english,0.691005
lij,deu,germanic,0.678640
lij,slv,slavic,0.666068
lmo,ita,italian,0.717049
lmo,cat,romance,0.708230
lmo,fra,romance,0.694486
lmo,spa,romance,0.685806
lmo,eng,english,0.669398
lmo,deu,germanic,0.661957
lmo,slv,slavic,0.651427
sc,cat,romance,0.723050
sc,ita,italian,0.722926
sc,fra,romance,0.706644
sc,spa,romance,0.701839
sc,eng,english,0.678222
sc,deu,germanic,0.676521
sc,slv,slavic,0.666115
scn,ita,italian,0.695213
scn,cat,romance,0.680421
scn,fra,romance,0.668319
scn,spa,romance,0.662665
scn,deu,germanic,0.649408
scn,eng,english,0.638925
scn,slv,slavic,0.636657
vec,ita,italian,0.776936
vec,cat,romance,0.759403
vec,fra,romance,0.745511
vec,spa,romance,0.741140
vec,eng,english,0.732516
vec,deu,germanic,0.706943
vec,slv,slavic,0.701926
