# Global clustering metrics
metric,value,clusterer
silhouette_global,0.077815,family_labels
davies_bouldin,1.283256,family_labels
calinski_harabasz,1.574225,family_labels
cophenetic_correlation,0.931854,hierarchical
adjusted_rand_index,0.301622,hierarchical_cut
normalized_mutual_info,0.717031,hierarchical_cut
v_measure,0.717031,hierarchical_cut
adjusted_rand_index,0.622821,kmeans
normalized_mutual_info,0.840564,kmeans
v_measure,0.840564,kmeans

# Per-variety silhouette scores
variety,family,silhouette
hrv,slavic,0.468241
slv,slavic,0.460085
spa,romance,0.276651
cat,romance,0.255282
oci,romance,0.250261
por,romance,0.128720
fra,romance,0.114029
eng,english,0.000000
deu,germanic,0.000000
hun,uralic,0.000000
ita,italian,0.000000
sc,italo_romance,-0.010656
lij,italo_romance,-0.053200
vec,italo_romance,-0.074940
lmo,italo_romance,-0.078429
scn,italo_romance,-0.142334
fur,italo_romance,-0.270850
