,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.239860,0.266656,0.084900,0.202794,0.237547,0.421312,0.134637,0.175844,0.142116,0.046138,0.133797,0.026484,0.026579,0.078230,0.061100,0.007741
lij,0.239860,1.000000,0.240490,0.151790,0.126750,0.292804,0.252349,0.195536,0.128056,0.155728,0.211816,0.184031,0.028507,0.037420,0.108868,0.092721,0.013289
lmo,0.266656,0.240490,1.000000,0.186492,0.146733,0.328077,0.293790,0.307971,0.183843,0.326932,0.118965,0.285552,0.027678,0.039180,0.087308,0.056286,0.025030
sc,0.084900,0.151790,0.186492,1.000000,0.065004,0.125831,0.102228,0.168129,0.119942,0.117094,0.102436,0.153151,0.031306,0.040892,0.054004,0.090477,0.010956
scn,0.202794,0.126750,0.146733,0.065004,1.000000,0.121897,0.256091,0.054587,0.059415,0.060377,0.042631,0.049824,0.006010,0.009331,0.072865,0.057278,0.004514
vec,0.237547,0.292804,0.328077,0.125831,0.121897,1.000000,0.279592,0.259498,0.158355,0.222537,0.138947,0.176124,0.022102,0.028720,0.147262,0.107055,0.018823
ita,0.421312,0.252349,0.293790,0.102228,0.256091,0.279592,1.000000,0.146604,0.133760,0.170179,0.043487,0.157191,0.023376,0.032180,0.068981,0.036712,0.013920
spa,0.134637,0.195536,0.307971,0.168129,0.054587,0.259498,0.146604,1.000000,0.252958,0.510987,0.330428,0.552506,0.010341,0.006605,0.044640,0.076271,0.064186
fra,0.175844,0.128056,0.183843,0.119942,0.059415,0.158355,0.133760,0.252958,1.000000,0.302230,0.133982,0.254499,0.025322,0.013071,0.029104,0.025890,0.013632
cat,0.142116,0.155728,0.326932,0.117094,0.060377,0.222537,0.170179,0.510987,0.302230,1.000000,0.232979,0.483715,0.024899,0.015228,0.016064,0.017363,0.104653
por,0.046138,0.211816,0.118965,0.102436,0.042631,0.138947,0.043487,0.330428,0.133982,0.232979,1.000000,0.201394,0.031799,0.025979,0.081015,0.092218,0.017215
oci,0.133797,0.184031,0.285552,0.153151,0.049824,0.176124,0.157191,0.552506,0.254499,0.483715,0.201394,1.000000,0.021075,0.011598,0.026341,0.031022,0.072516
deu,0.026484,0.028507,0.027678,0.031306,0.006010,0.022102,0.023376,0.010341,0.025322,0.024899,0.031799,0.021075,1.000000,0.030267,0.039716,0.006773,0.030544
eng,0.026579,0.037420,0.039180,0.040892,0.009331,0.028720,0.032180,0.006605,0.013071,0.015228,0.025979,0.011598,0.030267,1.000000,0.057603,0.023620,0.029878
slv,0.078230,0.108868,0.087308,0.054004,0.072865,0.147262,0.068981,0.044640,0.029104,0.016064,0.081015,0.026341,0.039716,0.057603,1.000000,0.509445,0.015258
hrv,0.061100,0.092721,0.056286,0.090477,0.057278,0.107055,0.036712,0.076271,0.025890,0.017363,0.092218,0.031022,0.006773,0.023620,0.509445,1.000000,0.005086
hun,0.007741,0.013289,0.025030,0.010956,0.004514,0.018823,0.013920,0.064186,0.013632,0.104653,0.017215,0.072516,0.030544,0.029878,0.015258,0.005086,1.000000
