,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.760140,0.733344,0.915100,0.797206,0.762453,0.578688,0.865363,0.824156,0.857884,0.953862,0.866203,0.973516,0.973421,0.921770,0.938900,0.992259
lij,0.760140,0.000000,0.759510,0.848210,0.873250,0.707196,0.747651,0.804464,0.871944,0.844272,0.788184,0.815969,0.971493,0.962580,0.891132,0.907279,0.986711
lmo,0.733344,0.759510,0.000000,0.813508,0.853267,0.671923,0.706210,0.692029,0.816157,0.673068,0.881035,0.714448,0.972322,0.960820,0.912692,0.943714,0.974970
sc,0.915100,0.848210,0.813508,0.000000,0.934996,0.874169,0.897772,0.831871,0.880058,0.882906,0.897564,0.846849,0.968694,0.959108,0.945996,0.909523,0.989044
scn,0.797206,0.873250,0.853267,0.934996,0.000000,0.878103,0.743909,0.945413,0.940585,0.939623,0.957369,0.950176,0.993990,0.990669,0.927135,0.942722,0.995486
vec,0.762453,0.707196,0.671923,0.874169,0.878103,0.000000,0.720408,0.740502,0.841645,0.777463,0.861053,0.823876,0.977898,0.971280,0.852738,0.892945,0.981177
ita,0.578688,0.747651,0.706210,0.897772,0.743909,0.720408,0.000000,0.853396,0.866240,0.829821,0.956513,0.842809,0.976624,0.967820,0.931019,0.963288,0.986080
spa,0.865363,0.804464,0.692029,0.831871,0.945413,0.740502,0.853396,0.000000,0.747042,0.489013,0.669572,0.447494,0.989659,0.993395,0.955360,0.923729,0.935814
fra,0.824156,0.871944,0.816157,0.880058,0.940585,0.841645,0.866240,0.747042,0.000000,0.697770,0.866018,0.745501,0.974678,0.986929,0.970896,0.974110,0.986368
cat,0.857884,0.844272,0.673068,0.882906,0.939623,0.777463,0.829821,0.489013,0.697770,0.000000,0.767021,0.516285,0.975101,0.984772,0.983936,0.982637,0.895347
por,0.953862,0.788184,0.881035,0.897564,0.957369,0.861053,0.956513,0.669572,0.866018,0.767021,0.000000,0.798606,0.968201,0.974021,0.918985,0.907782,0.982785
oci,0.866203,0.815969,0.714448,0.846849,0.950176,0.823876,0.842809,0.447494,0.745501,0.516285,0.798606,0.000000,0.978925,0.988402,0.973659,0.968978,0.927484
deu,0.973516,0.971493,0.972322,0.968694,0.993990,0.977898,0.976624,0.989659,0.974678,0.975101,0.968201,0.978925,0.000000,0.969733,0.960284,0.993227,0.969456
eng,0.973421,0.962580,0.960820,0.959108,0.990669,0.971280,0.967820,0.993395,0.986929,0.984772,0.974021,0.988402,0.969733,0.000000,0.942397,0.976380,0.970122
slv,0.921770,0.891132,0.912692,0.945996,0.927135,0.852738,0.931019,0.955360,0.970896,0.983936,0.918985,0.973659,0.960284,0.942397,0.000000,0.490555,0.984742
hrv,0.938900,0.907279,0.943714,0.909523,0.942722,0.892945,0.963288,0.923729,0.974110,0.982637,0.907782,0.968978,0.993227,0.976380,0.490555,0.000000,0.994914
hun,0.992259,0.986711,0.974970,0.989044,0.995486,0.981177,0.986080,0.935814,0.986368,0.895347,0.982785,0.927484,0.969456,0.970122,0.984742,0.994914,0.000000
