codice,categoria,n_frasi,n_caratteri,path,note
veneto,dialetto_italiano,2009,259482,flores_plus/veneto.txt,Veneto | dev=997 + devtest=1012
siciliano,dialetto_italiano,2009,271175,flores_plus/siciliano.txt,Siciliano | dev=997 + devtest=1012
lombardo,dialetto_italiano,2009,276187,flores_plus/lombardo.txt,Lombardo | dev=997 + devtest=1012
sardo,dialetto_italiano,2009,299345,flores_plus/sardo.txt,Sardo | dev=997 + devtest=1012
ligure,dialetto_italiano,2009,283932,flores_plus/ligure.txt,Ligure (Genovese) | dev=997 + devtest=1012
friulano,dialetto_italiano,2009,282036,flores_plus/friulano.txt,Friulano | dev=997 + devtest=1012
ladino,dialetto_italiano,2009,269022,flores_plus/ladino.txt,Ladino | dev=997 + devtest=1012
napoletano,dialetto_italiano,0,0,,"Napoletano | ERRORE: ValueError: BuilderConfig 'nap_Latn' not found. Available: ['default', 'ace_Arab', 'ace_Latn', 'acm_Arab', 'acq_Arab', 'aeb_Arab', 'afr_Latn', 'als_Latn', 'amh_Ethi', 'apc_Arab_nort3139', 'apc_Arab_sout3123', 'arb_Arab', 'arb_Latn', 'arg_Latn', 'ars_Arab', 'ary_Arab', 'arz_Arab', 'asm_Beng', 'ast_Latn', 'awa_Deva', 'ayr_Latn', 'azb_Arab', 'azj_Latn', 'bak_Cyrl', 'bam_Latn', 'ban_Latn', 'bel_Cyrl', 'bem_Latn', 'ben_Beng', 'bho_Deva', 'bjn_Arab', 'bjn_Latn', 'bod_Tibt', 'bos_Latn', 'brx_Deva', 'bug_Latn', 'bul_Cyrl', 'cat_Latn', 'cat_Latn_vale1252', 'ceb_Latn', 'ces_Latn', 'chv_Cyrl', 'cjk_Latn', 'ckb_Arab', 'cmn_Hans', 'cmn_Hant', 'crh_Latn', 'cym_Latn', 'dan_Latn', 'dar_Cyrl', 'deu_Latn', 'dgo_Deva', 'dik_Latn', 'dyu_Latn', 'dzo_Tibt', 'ekk_Latn', 'ell_Grek', 'eng_Latn', 'epo_Latn', 'eus_Latn', 'ewe_Latn', 'fao_Latn', 'fij_Latn', 'fil_Latn', 'fin_Latn', 'fon_Latn', 'fra_Latn', 'fur_Latn', 'fuv_Latn', 'gaz_Latn', 'gla_Latn', 'gle_Latn', 'glg_Latn', 'gom_Deva', 'gug_Latn', 'guj_Gujr', 'hat_Latn', 'hau_Latn', 'heb_Hebr', 'hin_Deva', 'hne_Deva', 'hrv_Latn', 'hun_Latn', 'hye_Armn', 'ibo_Latn', 'ilo_Latn', 'ind_Latn', 'isl_Latn', 'ita_Latn', 'jav_Latn', 'jpn_Jpan', 'kaa_Latn', 'kab_Latn', 'kac_Latn', 'kam_Latn', 'kan_Knda', 'kas_Arab', 'kas_Deva', 'kat_Geor', 'kaz_Cyrl', 'kbp_Latn', 'kea_Latn', 'khk_Cyrl', 'khk_Mong', 'khm_Khmr', 'kik_Latn', 'kin_Latn', 'kir_Cyrl', 'kjh_Cyrl', 'kmb_Latn', 'kmr_Latn', 'knc_Arab', 'knc_Latn', 'kor_Hang', 'ktu_Latn', 'lao_Laoo', 'lij_Latn', 'lim_Latn', 'lin_Latn', 'lit_Latn', 'lld_Latn', 'lld_Latn_gard1241', 'lmo_Latn', 'ltg_Latn', 'ltz_Latn', 'lua_Latn', 'lug_Latn', 'luo_Latn', 'lus_Latn', 'lvs_Latn', 'mag_Deva', 'mai_Deva', 'mal_Mlym', 'mar_Deva', 'mfe_Latn', 'mhr_Cyrl', 'min_Arab', 'min_Latn', 'mkd_Cyrl', 'mlt_Latn', 'mni_Beng', 'mni_Mtei', 'mos_Latn', 'mri_Latn', 'mya_Mymr', 'myv_Cyrl', 'nld_Latn', 'nno_Latn', 'nob_Latn', 'nob_Latn_radical', 'npi_Deva', 'nqo_Nkoo', 'nso_Latn', 'nus_Latn', 'nya_Latn', 'oci_Latn', 'oci_Latn_aran1260', 'ory_Orya', 'pag_Latn', 'pan_Guru', 'pap_Latn', 'pbt_Arab', 'pes_Arab', 'plt_Latn', 'pol_Latn', 'por_Latn', 'prs_Arab', 'quy_Latn', 'ron_Latn', 'run_Latn', 'rus_Cyrl', 'sag_Latn', 'san_Deva', 'sat_Olck', 'scn_Latn', 'shn_Mymr', 'sin_Sinh', 'slk_Latn', 'slv_Latn', 'smo_Latn', 'sna_Latn', 'snd_Arab', 'snd_Deva', 'som_Latn', 'sot_Latn', 'spa_Latn', 'srd_Latn', 'srp_Cyrl', 'ssw_Latn', 'sun_Latn', 'swe_Latn', 'swh_Latn', 'szl_Latn', 'tam_Taml', 'taq_Latn', 'taq_Tfng', 'tat_Cyrl', 'tel_Telu', 'tgk_Cyrl', 'tha_Thai', 'tir_Ethi', 'tpi_Latn', 'tsn_Latn', 'tso_Latn', 'tuk_Latn', 'tum_Latn', 'tur_Latn', 'twi_Latn_akua1239', 'twi_Latn_asan1239', 'tyv_Cyrl', 'uig_Arab', 'ukr_Cyrl', 'umb_Latn', 'urd_Arab', 'uzn_Latn', 'uzs_Arab', 'vec_Latn', 'vie_Latn', 'vmw_Latn', 'war_Latn', 'wol_Latn', 'wuu_Hans', 'xho_Latn', 'ydd_Hebr', 'yor_Latn', 'yue_Hant', 'zgh_Tfng', 'zsm_Latn', 'zul_Latn'] | questa lingua non e' nella versione di FLORES+ installata"
italiano,italiano,2009,303228,flores_plus/italiano.txt,Italiano | dev=997 + devtest=1012
inglese,esterna,2009,257160,flores_plus/inglese.txt,Inglese | dev=997 + devtest=1012
spagnolo,esterna,2009,306170,flores_plus/spagnolo.txt,Spagnolo | dev=997 + devtest=1012
francese,esterna,2009,306427,flores_plus/francese.txt,Francese | dev=997 + devtest=1012
catalano,esterna,2009,283815,flores_plus/catalano.txt,Catalano | dev=997 + devtest=1012
tedesco,esterna,2009,300367,flores_plus/tedesco.txt,Tedesco | dev=997 + devtest=1012
greco,esterna,2009,307683,flores_plus/greco.txt,Greco | dev=997 + devtest=1012
arabo,esterna,2009,226881,flores_plus/arabo.txt,Arabo | dev=997 + devtest=1012
sloveno,esterna,2009,256299,flores_plus/sloveno.txt,Sloveno | dev=997 + devtest=1012
ALL,parallel_tsv,2009,4489209,flores_plus/parallel.tsv,"parallelo: 16 lingue, 997 dev + 1012 devtest | colonne: veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,inglese,spagnolo,francese,catalano,tedesco,greco,arabo,sloveno"
