Silhouette report (XLM-R (baseline))
============================================================
  n_varieties           = 16
  linkage_method        = average
  silhouette (family)   = +0.3476
  silhouette (romance)  = +0.2932

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  friulano              italo_romance        +0.9086
  ligure                italo_romance        +0.9049
  lombardo              italo_romance        +0.8908
  sardo                 italo_romance        +0.8674
  ladino                italo_romance        +0.8640
  veneto                italo_romance        +0.8631
  siciliano             italo_romance        +0.8452
  catalano              romance              +0.0865
  arabo                 semitic              +0.0000
  greco                 greek                +0.0000
  tedesco               germanic             +0.0000
  inglese               english              +0.0000
  sloveno               slavic               +0.0000
  italiano              italian              +0.0000
  francese              romance              -0.2656
  spagnolo              romance              -0.4038
