,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,-0.542266,0.115239,-0.158405,0.038651,-0.253595,-0.290656,-0.191327,0.303747,0.144702,-0.333609,0.026274,-0.204029
lij,-0.542266,1.000000,-0.228194,-0.329904,-0.337390,0.463145,0.471187,0.118844,-0.280934,-0.212367,0.128017,0.112497,0.093137
lmo,0.115239,-0.228194,1.000000,-0.116413,-0.082663,-0.172873,-0.345126,-0.221794,0.114447,0.526010,0.264710,-0.282801,-0.211950
sc,-0.158405,-0.329904,-0.116413,1.000000,0.099459,-0.396811,-0.523664,0.082607,0.021026,-0.207172,0.228905,-0.248960,0.114245
scn,0.038651,-0.337390,-0.082663,0.099459,1.000000,-0.665350,-0.295429,-0.740104,-0.398715,-0.503675,0.275121,0.193943,0.018931
vec,-0.253595,0.463145,-0.172873,-0.396811,-0.665350,1.000000,0.560887,0.587913,-0.095529,0.116432,-0.332571,0.249137,-0.101628
ita,-0.290656,0.471187,-0.345126,-0.523664,-0.295429,0.560887,1.000000,0.254256,-0.134725,-0.098815,-0.151869,0.151711,0.131422
spa,-0.191327,0.118844,-0.221794,0.082607,-0.740104,0.587913,0.254256,1.000000,0.244896,0.321004,-0.351799,-0.004432,-0.022060
fra,0.303747,-0.280934,0.114447,0.021026,-0.398715,-0.095529,-0.134725,0.244896,1.000000,0.535966,-0.015811,-0.496069,-0.067710
cat,0.144702,-0.212367,0.526010,-0.207172,-0.503675,0.116432,-0.098815,0.321004,0.535966,1.000000,-0.145826,-0.270617,-0.146316
deu,-0.333609,0.128017,0.264710,0.228905,0.275121,-0.332571,-0.151869,-0.351799,-0.015811,-0.145826,1.000000,-0.602023,-0.034303
slv,0.026274,0.112497,-0.282801,-0.248960,0.193943,0.249137,0.151711,-0.004432,-0.496069,-0.270617,-0.602023,1.000000,-0.458653
eng,-0.204029,0.093137,-0.211950,0.114245,0.018931,-0.101628,0.131422,-0.022060,-0.067710,-0.146316,-0.034303,-0.458653,1.000000
