# Global clustering metrics
metric,value,clusterer
silhouette_global,0.101310,family_labels
davies_bouldin,0.899371,family_labels
calinski_harabasz,1.608775,family_labels
cophenetic_correlation,0.893778,hierarchical
adjusted_rand_index,0.205788,hierarchical_cut
normalized_mutual_info,0.670398,hierarchical_cut
v_measure,0.670398,hierarchical_cut
adjusted_rand_index,0.205788,kmeans
normalized_mutual_info,0.670398,kmeans
v_measure,0.670398,kmeans

# Per-variety silhouette scores
variety,family,silhouette
lmo,italo_romance,0.361307
cat,romance,0.243921
sc,italo_romance,0.225446
lij,italo_romance,0.185664
fur,italo_romance,0.163379
spa,romance,0.070526
vec,italo_romance,0.056205
fra,romance,0.050214
ita,italian,0.000000
slv,slavic,0.000000
deu,germanic,0.000000
eng,english,0.000000
scn,italo_romance,-0.039627
