,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,-0.100638,0.306457,0.052572,0.048746,-0.054958,-0.431939,-0.442785,-0.193540,-0.228883,-0.203908,-0.134999,-0.313956
lij,-0.100638,1.000000,0.102678,0.095144,-0.081017,0.130298,-0.192023,-0.194787,-0.192738,-0.258772,-0.264757,-0.248026,-0.226588
lmo,0.306457,0.102678,1.000000,0.138217,0.124276,0.260278,-0.571763,-0.424472,-0.391895,-0.135623,-0.314921,-0.273881,-0.359651
sc,0.052572,0.095144,0.138217,1.000000,0.103122,-0.046572,-0.396410,-0.140749,-0.261083,-0.206067,-0.247657,-0.288250,-0.277963
scn,0.048746,-0.081017,0.124276,0.103122,1.000000,-0.027003,0.071919,-0.363203,-0.401843,-0.267986,-0.233447,-0.229800,-0.290930
vec,-0.054958,0.130298,0.260278,-0.046572,-0.027003,1.000000,-0.004022,-0.128214,-0.272135,-0.212170,-0.327412,-0.022200,-0.280822
ita,-0.431939,-0.192023,-0.571763,-0.396410,0.071919,-0.004022,1.000000,0.276143,0.245281,0.120542,0.111768,0.148293,0.193115
spa,-0.442785,-0.194787,-0.424472,-0.140749,-0.363203,-0.128214,0.276143,1.000000,0.296867,0.357520,0.137399,0.090574,0.260462
fra,-0.193540,-0.192738,-0.391895,-0.261083,-0.401843,-0.272135,0.245281,0.296867,1.000000,0.312600,0.211174,0.022855,0.267975
cat,-0.228883,-0.258772,-0.135623,-0.206067,-0.267986,-0.212170,0.120542,0.357520,0.312600,1.000000,0.021129,-0.056474,0.092637
deu,-0.203908,-0.264757,-0.314921,-0.247657,-0.233447,-0.327412,0.111768,0.137399,0.211174,0.021129,1.000000,0.176982,0.377970
slv,-0.134999,-0.248026,-0.273881,-0.288250,-0.229800,-0.022200,0.148293,0.090574,0.022855,-0.056474,0.176982,1.000000,0.180869
eng,-0.313956,-0.226588,-0.359651,-0.277963,-0.290930,-0.280822,0.193115,0.260462,0.267975,0.092637,0.377970,0.180869,1.000000
