dialect,reference,ref_family,mean_similarity
fur,fra,romance,0.996172
fur,oci,romance,0.994267
fur,cat,romance,0.993993
fur,ita,italian,0.993563
fur,por,romance,0.993078
fur,spa,romance,0.993025
fur,hrv,slavic,0.992884
fur,slv,slavic,0.992847
fur,hun,uralic,0.992762
fur,eng,english,0.991728
fur,deu,germanic,0.990464
lij,por,romance,0.995737
lij,ita,italian,0.995102
lij,spa,romance,0.993445
lij,cat,romance,0.993179
lij,oci,romance,0.992878
lij,hun,uralic,0.992528
lij,fra,romance,0.992228
lij,slv,slavic,0.991819
lij,hrv,slavic,0.991763
lij,eng,english,0.991350
lij,deu,germanic,0.990136
lmo,oci,romance,0.995976
lmo,cat,romance,0.995709
lmo,spa,romance,0.993229
lmo,hun,uralic,0.993200
lmo,ita,italian,0.992892
lmo,fra,romance,0.992366
lmo,por,romance,0.992079
lmo,hrv,slavic,0.991648
lmo,slv,slavic,0.991603
lmo,eng,english,0.990619
lmo,deu,germanic,0.990249
sc,spa,romance,0.994606
sc,oci,romance,0.994353
sc,cat,romance,0.994120
sc,por,romance,0.994085
sc,ita,italian,0.993553
sc,hun,uralic,0.992245
sc,hrv,slavic,0.991636
sc,fra,romance,0.991462
sc,eng,english,0.990773
sc,slv,slavic,0.990695
sc,deu,germanic,0.989125
scn,ita,italian,0.993758
scn,oci,romance,0.991659
scn,cat,romance,0.991058
scn,hun,uralic,0.990358
scn,por,romance,0.990130
scn,hrv,slavic,0.989861
scn,spa,romance,0.989855
scn,fra,romance,0.989304
scn,slv,slavic,0.988805
scn,eng,english,0.988208
scn,deu,germanic,0.987051
vec,spa,romance,0.997120
vec,ita,italian,0.996598
vec,cat,romance,0.996173
vec,por,romance,0.995917
vec,oci,romance,0.995814
vec,slv,slavic,0.995602
vec,hrv,slavic,0.995393
vec,hun,uralic,0.995364
vec,fra,romance,0.994414
vec,eng,english,0.993919
vec,deu,germanic,0.991587
