dialect,reference,ref_family,mean_similarity
fur,cat,romance,0.834535
fur,fra,romance,0.830461
fur,oci,romance,0.825545
fur,ita,italian,0.823745
fur,ron,romance,0.788936
fur,spa,romance,0.782930
fur,glg,romance,0.752921
fur,por,romance,0.748924
fur,eng,english,0.707362
fur,sqi,albanian,0.572428
fur,deu,germanic,0.559813
fur,slv,slavic,0.533444
fur,hrv,slavic,0.525293
fur,hun,uralic,0.270683
lij,ita,italian,0.863291
lij,glg,romance,0.822587
lij,por,romance,0.820806
lij,spa,romance,0.803845
lij,cat,romance,0.783368
lij,oci,romance,0.777498
lij,ron,romance,0.757010
lij,fra,romance,0.751183
lij,eng,english,0.653919
lij,hrv,slavic,0.616781
lij,slv,slavic,0.615500
lij,sqi,albanian,0.564128
lij,deu,germanic,0.520271
lij,hun,uralic,0.337768
lmo,cat,romance,0.871469
lmo,oci,romance,0.859192
lmo,ita,italian,0.839998
lmo,spa,romance,0.837470
lmo,fra,romance,0.818721
lmo,glg,romance,0.805924
lmo,ron,romance,0.804998
lmo,por,romance,0.802029
lmo,eng,english,0.704301
lmo,sqi,albanian,0.625572
lmo,slv,slavic,0.625429
lmo,hrv,slavic,0.619105
lmo,deu,germanic,0.585859
lmo,hun,uralic,0.324707
sc,spa,romance,0.820930
sc,glg,romance,0.815044
sc,por,romance,0.811822
sc,cat,romance,0.798229
sc,ita,italian,0.797349
sc,oci,romance,0.788929
sc,ron,romance,0.754163
sc,fra,romance,0.748980
sc,eng,english,0.640232
sc,hrv,slavic,0.616761
sc,slv,slavic,0.597350
sc,sqi,albanian,0.542676
sc,deu,germanic,0.492283
sc,hun,uralic,0.314757
scn,ita,italian,0.774580
scn,ron,romance,0.710675
scn,cat,romance,0.638708
scn,por,romance,0.631161
scn,oci,romance,0.624762
scn,glg,romance,0.621536
scn,spa,romance,0.615478
scn,fra,romance,0.589710
scn,hrv,slavic,0.571580
scn,slv,slavic,0.555313
scn,eng,english,0.543032
scn,sqi,albanian,0.441057
scn,deu,germanic,0.363107
scn,hun,uralic,0.233314
vec,ita,italian,0.895488
vec,spa,romance,0.843762
vec,cat,romance,0.830118
vec,por,romance,0.829572
vec,glg,romance,0.829333
vec,oci,romance,0.815069
vec,ron,romance,0.798479
vec,fra,romance,0.775942
vec,eng,english,0.659738
vec,slv,slavic,0.657673
vec,hrv,slavic,0.642306
vec,sqi,albanian,0.582061
vec,deu,germanic,0.506465
vec,hun,uralic,0.284353
