,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,1.000000,0.776851,0.851286,0.757180,0.678655,0.829238,0.823745,0.782930,0.830461,0.834535,0.748924,0.788936,0.825545,0.752921,0.559813,0.707362,0.533444,0.525293,0.572428,0.270683
lij,0.776851,1.000000,0.821791,0.769917,0.727850,0.872616,0.863291,0.803845,0.751183,0.783368,0.820806,0.757010,0.777498,0.822587,0.520271,0.653919,0.615500,0.616781,0.564128,0.337768
lmo,0.851286,0.821791,1.000000,0.789011,0.708990,0.871968,0.839998,0.837470,0.818721,0.871469,0.802029,0.804998,0.859192,0.805924,0.585859,0.704301,0.625429,0.619105,0.625572,0.324707
sc,0.757180,0.769917,0.789011,1.000000,0.719870,0.800806,0.797349,0.820930,0.748980,0.798229,0.811822,0.754163,0.788929,0.815044,0.492283,0.640232,0.597350,0.616761,0.542676,0.314757
scn,0.678655,0.727850,0.708990,0.719870,1.000000,0.738988,0.774580,0.615478,0.589710,0.638708,0.631161,0.710675,0.624762,0.621536,0.363107,0.543032,0.555313,0.571580,0.441057,0.233314
vec,0.829238,0.872616,0.871968,0.800806,0.738988,1.000000,0.895488,0.843762,0.775942,0.830118,0.829572,0.798479,0.815069,0.829333,0.506465,0.659738,0.657673,0.642306,0.582061,0.284353
ita,0.823745,0.863291,0.839998,0.797349,0.774580,0.895488,1.000000,0.808549,0.764573,0.805028,0.804124,0.777856,0.791894,0.800322,0.487730,0.656321,0.587811,0.579833,0.558970,0.267922
spa,0.782930,0.803845,0.837470,0.820930,0.615478,0.843762,0.808549,1.000000,0.810578,0.900713,0.904830,0.726723,0.898620,0.928108,0.533710,0.667900,0.563373,0.554733,0.536553,0.371662
fra,0.830461,0.751183,0.818721,0.748980,0.589710,0.775942,0.764573,0.810578,1.000000,0.840098,0.748855,0.727235,0.847855,0.766168,0.616084,0.733370,0.501148,0.502176,0.552095,0.330741
cat,0.834535,0.783368,0.871469,0.798229,0.638708,0.830118,0.805028,0.900713,0.840098,1.000000,0.839933,0.755368,0.932635,0.856208,0.572529,0.715482,0.545521,0.541153,0.563367,0.388284
por,0.748924,0.820806,0.802029,0.811822,0.631161,0.829572,0.804124,0.904830,0.748855,0.839933,1.000000,0.700023,0.836515,0.937084,0.472270,0.637472,0.585320,0.587510,0.540329,0.382490
ron,0.788936,0.757010,0.804998,0.754163,0.710675,0.798479,0.777856,0.726723,0.727235,0.755368,0.700023,1.000000,0.725497,0.707441,0.504064,0.656439,0.629390,0.634628,0.605240,0.346698
oci,0.825545,0.777498,0.859192,0.788929,0.624762,0.815069,0.791894,0.898620,0.847855,0.932635,0.836515,0.725497,1.000000,0.851216,0.548535,0.686634,0.519199,0.518308,0.534726,0.353605
glg,0.752921,0.822587,0.805924,0.815044,0.621536,0.829333,0.800322,0.928108,0.766168,0.856208,0.937084,0.707441,0.851216,1.000000,0.475372,0.646462,0.563356,0.568121,0.550629,0.371355
deu,0.559813,0.520271,0.585859,0.492283,0.363107,0.506465,0.487730,0.533710,0.616084,0.572529,0.472270,0.504064,0.548535,0.475372,1.000000,0.541498,0.421881,0.408394,0.464711,0.389840
eng,0.707362,0.653919,0.704301,0.640232,0.543032,0.659738,0.656321,0.667900,0.733370,0.715482,0.637472,0.656439,0.686634,0.646462,0.541498,1.000000,0.478484,0.483602,0.492493,0.378238
slv,0.533444,0.615500,0.625429,0.597350,0.555313,0.657673,0.587811,0.563373,0.501148,0.545521,0.585320,0.629390,0.519199,0.563356,0.421881,0.478484,1.000000,0.891035,0.515583,0.374024
hrv,0.525293,0.616781,0.619105,0.616761,0.571580,0.642306,0.579833,0.554733,0.502176,0.541153,0.587510,0.634628,0.518308,0.568121,0.408394,0.483602,0.891035,1.000000,0.523453,0.371943
sqi,0.572428,0.564128,0.625572,0.542676,0.441057,0.582061,0.558970,0.536553,0.552095,0.563367,0.540329,0.605240,0.534726,0.550629,0.464711,0.492493,0.515583,0.523453,1.000000,0.235540
hun,0.270683,0.337768,0.324707,0.314757,0.233314,0.284353,0.267922,0.371662,0.330741,0.388284,0.382490,0.346698,0.353605,0.371355,0.389840,0.378238,0.374024,0.371943,0.235540,1.000000
