code,n_available,n_used,sample_size_param,random_state
fur,22256,22256,100000,42
lij,49058,49058,100000,42
lmo,127508,100000,100000,42
sc,60948,60948,100000,42
scn,75047,75047,100000,42
vec,98202,98202,100000,42
ita,1350841,100000,100000,42
spa,1660063,100000,100000,42
fra,2042837,100000,100000,42
cat,1231774,100000,100000,42
por,1139403,100000,100000,42
ron,709395,100000,100000,42
oci,547542,100000,100000,42
glg,1055960,100000,100000,42
deu,2369019,100000,100000,42
eng,4999100,100000,100000,42
slv,1262554,100000,100000,42
hrv,1040514,100000,100000,42
sqi,1041635,100000,100000,42
hun,1295616,100000,100000,42
