,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,-0.043724,0.438802,0.128455,0.182972,0.045890,-0.431156,-0.464808,-0.220886,-0.224792,-0.258916,-0.159994,-0.353437
lij,-0.043724,1.000000,0.192371,0.177348,0.042296,0.290221,-0.104426,-0.248263,-0.279523,-0.285438,-0.336989,-0.235021,-0.305389
lmo,0.438802,0.192371,1.000000,0.197765,0.214476,0.333622,-0.501804,-0.479129,-0.409532,-0.157855,-0.367363,-0.256418,-0.426432
sc,0.128455,0.177348,0.197765,1.000000,0.251386,0.071796,-0.363745,-0.246053,-0.315921,-0.230213,-0.361580,-0.252592,-0.381730
scn,0.182972,0.042296,0.214476,0.251386,1.000000,-0.027106,-0.048878,-0.411439,-0.421557,-0.268482,-0.304221,-0.244569,-0.363947
vec,0.045890,0.290221,0.333622,0.071796,-0.027106,1.000000,-0.056837,-0.174380,-0.311459,-0.265819,-0.367529,-0.042604,-0.341064
ita,-0.431156,-0.104426,-0.501804,-0.363745,-0.048878,-0.056837,1.000000,0.266564,0.183474,0.043033,0.096291,0.067356,0.188658
spa,-0.464808,-0.248263,-0.479129,-0.246053,-0.411439,-0.174380,0.266564,1.000000,0.265083,0.320481,0.172419,0.056996,0.283922
fra,-0.220886,-0.279523,-0.409532,-0.315921,-0.421557,-0.311459,0.183474,0.265083,1.000000,0.239573,0.266606,-0.004152,0.297152
cat,-0.224792,-0.285438,-0.157855,-0.230213,-0.268482,-0.265819,0.043033,0.320481,0.239573,1.000000,0.022569,-0.109357,0.093791
deu,-0.258916,-0.336989,-0.367363,-0.361580,-0.304221,-0.367529,0.096291,0.172419,0.266606,0.022569,1.000000,0.151895,0.412089
slv,-0.159994,-0.235021,-0.256418,-0.252592,-0.244569,-0.042604,0.067356,0.056996,-0.004152,-0.109357,0.151895,1.000000,0.166312
eng,-0.353437,-0.305389,-0.426432,-0.381730,-0.363947,-0.341064,0.188658,0.283922,0.297152,0.093791,0.412089,0.166312,1.000000
