,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,1.043724,0.561198,0.871545,0.817028,0.954110,1.431156,1.464808,1.220886,1.224792,1.258916,1.159994,1.353437
lij,1.043724,0.000000,0.807629,0.822652,0.957704,0.709779,1.104426,1.248263,1.279523,1.285438,1.336989,1.235021,1.305389
lmo,0.561198,0.807629,0.000000,0.802235,0.785524,0.666378,1.501804,1.479129,1.409532,1.157855,1.367363,1.256418,1.426432
sc,0.871545,0.822652,0.802235,0.000000,0.748614,0.928204,1.363745,1.246053,1.315921,1.230213,1.361580,1.252592,1.381730
scn,0.817028,0.957704,0.785524,0.748614,0.000000,1.027106,1.048878,1.411439,1.421557,1.268482,1.304221,1.244569,1.363947
vec,0.954110,0.709779,0.666378,0.928204,1.027106,0.000000,1.056837,1.174380,1.311459,1.265819,1.367529,1.042604,1.341064
ita,1.431156,1.104426,1.501804,1.363745,1.048878,1.056837,0.000000,0.733436,0.816526,0.956967,0.903709,0.932644,0.811342
spa,1.464808,1.248263,1.479129,1.246053,1.411439,1.174380,0.733436,0.000000,0.734917,0.679519,0.827581,0.943004,0.716078
fra,1.220886,1.279523,1.409532,1.315921,1.421557,1.311459,0.816526,0.734917,0.000000,0.760427,0.733394,1.004152,0.702848
cat,1.224792,1.285438,1.157855,1.230213,1.268482,1.265819,0.956967,0.679519,0.760427,0.000000,0.977431,1.109357,0.906209
deu,1.258916,1.336989,1.367363,1.361580,1.304221,1.367529,0.903709,0.827581,0.733394,0.977431,0.000000,0.848105,0.587911
slv,1.159994,1.235021,1.256418,1.252592,1.244569,1.042604,0.932644,0.943004,1.004152,1.109357,0.848105,0.000000,0.833688
eng,1.353437,1.305389,1.426432,1.381730,1.363947,1.341064,0.811342,0.716078,0.702848,0.906209,0.587911,0.833688,0.000000
