,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,1.000000,0.853683,0.933826,0.821062,0.742976,0.904007,0.897494,0.843092,0.894452,0.901024,0.812325,0.861515,0.887725,0.815597,0.600386,0.767541,0.577787,0.568896,0.612151,0.275079
lij,0.853683,1.000000,0.903127,0.839995,0.796919,0.943736,0.934861,0.873670,0.815209,0.853026,0.894695,0.828154,0.840619,0.894508,0.562457,0.713167,0.675458,0.677181,0.611965,0.350491
lmo,0.933826,0.903127,1.000000,0.865309,0.776945,0.950565,0.917230,0.913310,0.891466,0.950688,0.879973,0.884819,0.934292,0.884716,0.633988,0.769889,0.689374,0.683547,0.677628,0.338353
sc,0.821062,0.839995,0.865309,1.000000,0.783706,0.872217,0.867568,0.869221,0.797180,0.853600,0.864982,0.812915,0.838062,0.868151,0.518559,0.682790,0.645075,0.669102,0.575795,0.322865
scn,0.742976,0.796919,0.776945,0.783706,1.000000,0.800936,0.836778,0.663885,0.635883,0.691678,0.684558,0.777454,0.672418,0.673448,0.384564,0.588488,0.608041,0.625777,0.471222,0.233628
vec,0.904007,0.943736,0.950565,0.872217,0.800936,1.000000,0.956796,0.911299,0.840032,0.899450,0.901528,0.868491,0.880368,0.900854,0.543925,0.714664,0.719416,0.702381,0.625643,0.291454
ita,0.897494,0.934861,0.917230,0.867568,0.836778,0.956796,1.000000,0.870248,0.825178,0.869265,0.870411,0.843966,0.853028,0.864565,0.519811,0.709094,0.635786,0.626571,0.598666,0.269153
spa,0.843092,0.873670,0.913310,0.869221,0.663885,0.911299,0.870248,1.000000,0.854183,0.948591,0.952786,0.772747,0.945700,0.973221,0.561502,0.707018,0.597733,0.589301,0.562239,0.381639
fra,0.894452,0.815209,0.891466,0.797180,0.635883,0.840032,0.825178,0.854183,1.000000,0.888334,0.794252,0.774097,0.887442,0.811853,0.649514,0.776059,0.529091,0.532151,0.579259,0.336356
cat,0.901024,0.853026,0.950688,0.853600,0.691678,0.899450,0.869265,0.948591,0.888334,1.000000,0.892092,0.810795,0.979614,0.907307,0.608770,0.763643,0.584033,0.580419,0.596344,0.403101
por,0.812325,0.894695,0.879973,0.864982,0.684558,0.901528,0.870411,0.952786,0.794252,0.892092,1.000000,0.748485,0.884387,0.981212,0.498701,0.678474,0.628894,0.633131,0.571891,0.395788
ron,0.861515,0.828154,0.884819,0.812915,0.777454,0.868491,0.843966,0.772747,0.774097,0.810795,0.748485,1.000000,0.772642,0.754966,0.530708,0.699745,0.674282,0.681261,0.640599,0.354118
oci,0.887725,0.840619,0.934292,0.838062,0.672418,0.880368,0.853028,0.945700,0.887442,0.979614,0.884387,0.772642,1.000000,0.899717,0.579994,0.729015,0.551435,0.551743,0.563278,0.362871
glg,0.815597,0.894508,0.884716,0.868151,0.673448,0.900854,0.864565,0.973221,0.811853,0.907307,0.981212,0.754966,0.899717,1.000000,0.503029,0.688311,0.602068,0.608564,0.583088,0.383171
deu,0.600386,0.562457,0.633988,0.518559,0.384564,0.543925,0.519811,0.561502,0.649514,0.608770,0.498701,0.530708,0.579994,0.503029,1.000000,0.564237,0.439084,0.425726,0.480806,0.399940
eng,0.767541,0.713167,0.769889,0.682790,0.588488,0.714664,0.709094,0.707018,0.776059,0.763643,0.678474,0.699745,0.729015,0.688311,0.564237,1.000000,0.505791,0.512455,0.515839,0.389042
slv,0.577787,0.675458,0.689374,0.645075,0.608041,0.719416,0.635786,0.597733,0.529091,0.584033,0.628894,0.674282,0.551435,0.602068,0.439084,0.505791,1.000000,0.934364,0.539110,0.383573
hrv,0.568896,0.677181,0.683547,0.669102,0.625777,0.702381,0.626571,0.589301,0.532151,0.580419,0.633131,0.681261,0.551743,0.608564,0.425726,0.512455,0.934364,1.000000,0.548619,0.381845
sqi,0.612151,0.611965,0.677628,0.575795,0.471222,0.625643,0.598666,0.562239,0.579259,0.596344,0.571891,0.640599,0.563278,0.583088,0.480806,0.515839,0.539110,0.548619,1.000000,0.231949
hun,0.275079,0.350491,0.338353,0.322865,0.233628,0.291454,0.269153,0.381639,0.336356,0.403101,0.395788,0.354118,0.362871,0.383171,0.399940,0.389042,0.383573,0.381845,0.231949,1.000000
