variety,model,ppl,unk_rate
veneto,italian,296.415262,0.014509
siciliano,italian,366.101660,0.011982
lombardo,italian,237.728343,0.007917
sardo,italian,299.274279,0.001883
ligure,italian,238.769360,0.007886
friulano,italian,287.447754,0.008152
ladino,italian,288.507388,0.014971
italiano,italian,5.771143,0.000362
spagnolo,italian,69.160917,0.001506
francese,italian,22.252593,0.002725
catalano,italian,126.398587,0.001321
tedesco,italian,56.018461,0.004721
inglese,italian,22.696500,0.000094
greco,italian,10.806489,0.171291
arabo,italian,11.146631,0.806980
sloveno,italian,227.659248,0.005406
veneto,spanish,973.950566,0.126697
siciliano,spanish,2001.186844,0.133547
lombardo,spanish,957.883694,0.112034
sardo,spanish,1881.810096,0.067995
ligure,spanish,875.113924,0.145661
friulano,spanish,1366.075943,0.102261
ladino,spanish,1788.975602,0.096000
italiano,spanish,784.613130,0.030989
spagnolo,spanish,10.043424,0.007287
francese,spanish,371.058528,0.056917
catalano,spanish,250.376107,0.055030
tedesco,spanish,3518.946803,0.037969
inglese,spanish,260.747073,0.005807
greco,spanish,47.089158,0.786038
arabo,spanish,34.013440,0.805167
sloveno,spanish,15114.184269,0.048400
veneto,catalan,384.813384,0.000000
siciliano,catalan,370.638438,0.000000
lombardo,catalan,369.265289,0.000000
sardo,catalan,377.336980,0.000000
ligure,catalan,265.792309,0.000000
friulano,catalan,377.767852,0.000000
ladino,catalan,528.961367,0.000000
italiano,catalan,107.064215,0.000000
spagnolo,catalan,16.952782,0.000000
francese,catalan,50.743473,0.000000
catalano,catalan,11.307491,0.000000
tedesco,catalan,85.801944,0.000000
inglese,catalan,32.006773,0.000000
greco,catalan,7.964660,0.000000
arabo,catalan,10.075477,0.000000
sloveno,catalan,386.294513,0.000000
veneto,french,7536.570216,0.000000
siciliano,french,14580.835929,0.000000
lombardo,french,6891.299613,0.000000
sardo,french,12419.081920,0.000000
ligure,french,8275.334214,0.000000
friulano,french,12524.694206,0.000000
ladino,french,7426.869712,0.000000
italiano,french,8796.132928,0.000000
spagnolo,french,4356.434396,0.000000
francese,french,69.415056,0.000000
catalano,french,9033.029915,0.000000
tedesco,french,8973.305756,0.000000
inglese,french,2683.788686,0.000000
greco,french,2.201121,0.000000
arabo,french,1.813985,0.000000
sloveno,french,13205.835522,0.000000
veneto,german,321.371742,0.113924
siciliano,german,449.260177,0.114564
lombardo,german,504.415390,0.125367
sardo,german,429.926894,0.059032
ligure,german,642.930433,0.115005
friulano,german,434.431294,0.090799
ladino,german,661.229002,0.096903
italiano,german,177.550837,0.016087
spagnolo,german,232.272225,0.060140
francese,german,181.303945,0.093987
catalano,german,463.584501,0.054239
tedesco,german,69.620706,0.006507
inglese,german,45.279609,0.001383
greco,german,307179581.153883,0.787257
arabo,german,827557489.905631,0.806723
sloveno,german,756.413570,0.047611
veneto,english,387.875190,0.000000
siciliano,english,328.955758,0.000000
lombardo,english,528.084131,0.000000
sardo,english,333.045667,0.000000
ligure,english,217.245189,0.000000
friulano,english,348.168105,0.000000
ladino,english,395.338568,0.000000
italiano,english,68.008373,0.000000
spagnolo,english,39.709082,0.000000
francese,english,55.272346,0.000000
catalano,english,147.650188,0.000000
tedesco,english,51.368373,0.000000
inglese,english,9.124661,0.000000
greco,english,14.058256,0.000038
arabo,english,20.081616,0.000458
sloveno,english,182.732977,0.000000
