# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.072894,family_labels
davies_bouldin,0.959879,family_labels
calinski_harabasz,1.926113,family_labels
cophenetic_correlation,0.899884,hierarchical
adjusted_rand_index,0.480874,hierarchical_cut
normalized_mutual_info,0.810360,hierarchical_cut
v_measure,0.810360,hierarchical_cut
adjusted_rand_index,0.576271,kmeans
normalized_mutual_info,0.877756,kmeans
v_measure,0.877756,kmeans

# Per-variety silhouette scores
variety,family,silhouette
catalano,romance,0.445342
spagnolo,romance,0.197312
francese,romance,0.196303
italiano,italian,0.000000
tedesco,germanic,0.000000
inglese,english,0.000000
greco,greek,0.000000
arabo,semitic,0.000000
sloveno,slavic,0.000000
sardo,italo_romance,-0.060930
ladino,italo_romance,-0.070633
lombardo,italo_romance,-0.253485
ligure,italo_romance,-0.288582
friulano,italo_romance,-0.394386
siciliano,italo_romance,-0.407477
veneto,italo_romance,-0.529768
