Silhouette report (Word2Vec (OLDI centroid))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.0285
  silhouette (romance)  = +0.3653

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.1796
  sc                    italo_romance        +0.0694
  spa                   romance              +0.0623
  lmo                   italo_romance        +0.0472
  fra                   romance              +0.0304
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  fur                   italo_romance        -0.0241
  lij                   italo_romance        -0.2004
  scn                   italo_romance        -0.2253
  vec                   italo_romance        -0.3093
