,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.837165,0.893916,0.773176,0.750860,0.862340,0.827741,0.755629,0.785168,0.778728,0.569266,0.588609,0.686190
lij,0.837165,1.000000,0.888846,0.806645,0.816634,0.926020,0.884104,0.815296,0.761774,0.791071,0.592591,0.628943,0.674549
lmo,0.893916,0.888846,1.000000,0.803228,0.789296,0.910045,0.834790,0.853616,0.796878,0.899454,0.567795,0.569838,0.662571
sc,0.773176,0.806645,0.803228,1.000000,0.768015,0.802285,0.775049,0.805752,0.738823,0.734358,0.566458,0.562753,0.654235
scn,0.750860,0.816634,0.789296,0.768015,1.000000,0.825338,0.837325,0.684515,0.658719,0.667378,0.531248,0.565236,0.601811
vec,0.862340,0.926020,0.910045,0.802285,0.825338,1.000000,0.906898,0.801925,0.739884,0.777578,0.566726,0.625782,0.646953
ita,0.827741,0.884104,0.834790,0.775049,0.837325,0.906898,1.000000,0.713013,0.675313,0.667039,0.517673,0.525203,0.613825
spa,0.755629,0.815296,0.853616,0.805752,0.684515,0.801925,0.713013,1.000000,0.738791,0.860096,0.501633,0.517876,0.607164
fra,0.785168,0.761774,0.796878,0.738823,0.658719,0.739884,0.675313,0.738791,1.000000,0.770337,0.560450,0.520536,0.672158
cat,0.778728,0.791071,0.899454,0.734358,0.667378,0.777578,0.667039,0.860096,0.770337,1.000000,0.456153,0.466470,0.576081
deu,0.569266,0.592591,0.567795,0.566458,0.531248,0.566726,0.517673,0.501633,0.560450,0.456153,1.000000,0.458767,0.583453
slv,0.588609,0.628943,0.569838,0.562753,0.565236,0.625782,0.525203,0.517876,0.520536,0.466470,0.458767,1.000000,0.513485
eng,0.686190,0.674549,0.662571,0.654235,0.601811,0.646953,0.613825,0.607164,0.672158,0.576081,0.583453,0.513485,1.000000
