Silhouette report (TF-IDF word (Wiki))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.0028
  silhouette (romance)  = +0.0181

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.0259
  spa                   romance              +0.0140
  lmo                   italo_romance        +0.0005
  fur                   italo_romance        +0.0005
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  fra                   romance              -0.0026
  sc                    italo_romance        -0.0037
  lij                   italo_romance        -0.0087
  scn                   italo_romance        -0.0254
  vec                   italo_romance        -0.0376
