,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.022249,0.057718,0.015626,0.016803,0.040129,0.030015,0.013191,0.021087,0.026377,0.008807,0.008261,0.011165
lij,0.022249,1.000000,0.055455,0.032588,0.041745,0.082949,0.055260,0.024294,0.017247,0.015432,0.008050,0.007587,0.010617
lmo,0.057718,0.055455,1.000000,0.033784,0.034512,0.107111,0.057217,0.034269,0.024942,0.046184,0.015329,0.011568,0.019283
sc,0.015626,0.032588,0.033784,1.000000,0.033900,0.036711,0.034094,0.037141,0.018430,0.023104,0.010458,0.007807,0.016405
scn,0.016803,0.041745,0.034512,0.033900,1.000000,0.036810,0.057322,0.015261,0.013386,0.012671,0.008843,0.008299,0.015120
vec,0.040129,0.082949,0.107111,0.036711,0.036810,1.000000,0.096020,0.050663,0.024934,0.030896,0.013421,0.012246,0.022410
ita,0.030015,0.055260,0.057217,0.034094,0.057322,0.096020,1.000000,0.038420,0.028059,0.018859,0.018948,0.011174,0.033986
spa,0.013191,0.024294,0.034269,0.037141,0.015261,0.050663,0.038420,1.000000,0.033826,0.069966,0.016747,0.009690,0.030303
fra,0.021087,0.017247,0.024942,0.018430,0.013386,0.024934,0.028059,0.033826,1.000000,0.032102,0.023327,0.011089,0.035432
cat,0.026377,0.015432,0.046184,0.023104,0.012671,0.030896,0.018859,0.069966,0.032102,1.000000,0.009284,0.007088,0.015262
deu,0.008807,0.008050,0.015329,0.010458,0.008843,0.013421,0.018948,0.016747,0.023327,0.009284,1.000000,0.010710,0.031788
slv,0.008261,0.007587,0.011568,0.007807,0.008299,0.012246,0.011174,0.009690,0.011089,0.007088,0.010710,1.000000,0.012700
eng,0.011165,0.010617,0.019283,0.016405,0.015120,0.022410,0.033986,0.030303,0.035432,0.015262,0.031788,0.012700,1.000000
