dialect,reference,ref_family,mean_similarity
fur,oci,romance,0.786038
fur,cat,romance,0.783230
fur,eng,english,0.782537
fur,por,romance,0.778503
fur,fra,romance,0.775665
fur,ita,italian,0.765831
fur,deu,germanic,0.756129
fur,hrv,slavic,0.751697
fur,spa,romance,0.749485
fur,slv,slavic,0.748214
fur,hun,uralic,0.746012
lij,oci,romance,0.787236
lij,cat,romance,0.786153
lij,eng,english,0.784814
lij,por,romance,0.780625
lij,fra,romance,0.776217
lij,ita,italian,0.767243
lij,deu,germanic,0.758889
lij,hrv,slavic,0.752214
lij,spa,romance,0.750079
lij,slv,slavic,0.746676
lij,hun,uralic,0.745998
lmo,oci,romance,0.757078
lmo,eng,english,0.753489
lmo,cat,romance,0.748259
lmo,por,romance,0.746936
lmo,fra,romance,0.742461
lmo,ita,italian,0.735311
lmo,deu,germanic,0.723656
lmo,hrv,slavic,0.721657
lmo,spa,romance,0.718649
lmo,slv,slavic,0.718351
lmo,hun,uralic,0.715499
sc,oci,romance,0.793737
sc,cat,romance,0.790544
sc,eng,english,0.788770
sc,por,romance,0.784413
sc,fra,romance,0.776286
sc,ita,italian,0.763040
sc,deu,germanic,0.758541
sc,hrv,slavic,0.753728
sc,spa,romance,0.753097
sc,slv,slavic,0.748355
sc,hun,uralic,0.745546
scn,eng,english,0.775773
scn,cat,romance,0.771684
scn,por,romance,0.769780
scn,fra,romance,0.764912
scn,oci,romance,0.761547
scn,ita,italian,0.754592
scn,deu,germanic,0.748651
scn,hrv,slavic,0.746844
scn,slv,slavic,0.739304
scn,spa,romance,0.739091
scn,hun,uralic,0.738257
vec,cat,romance,0.814235
vec,por,romance,0.807577
vec,oci,romance,0.806392
vec,eng,english,0.800046
vec,fra,romance,0.798508
vec,deu,germanic,0.786061
vec,hrv,slavic,0.781529
vec,ita,italian,0.781210
vec,hun,uralic,0.769033
vec,slv,slavic,0.768642
vec,spa,romance,0.768132
