,fur,lij,lmo,sc,scn,vec,ita,fra,spa,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.0000,0.1551,0.1302,0.2922,0.3867,0.0397,0.1893,0.3537,0.6091,0.4164,0.8105,0.3921,0.2904,0.4648,0.0400,0.0869,0.1903
lij,0.1551,0.0000,0.0478,0.1847,0.3548,0.1177,0.1618,0.2858,0.4565,0.2614,0.6591,0.2458,0.3888,0.4206,0.1914,0.2322,0.3450
lmo,0.1302,0.0478,0.0000,0.2319,0.3930,0.0995,0.1927,0.2590,0.4804,0.2930,0.6809,0.2619,0.3417,0.3889,0.1696,0.2146,0.3191
sc,0.2922,0.1847,0.2319,0.0000,0.2115,0.2545,0.1343,0.4420,0.4405,0.2427,0.6382,0.2977,0.5655,0.5814,0.3132,0.3345,0.4554
scn,0.3867,0.3548,0.3930,0.2115,0.0000,0.3623,0.2049,0.6368,0.6323,0.4466,0.8194,0.5091,0.6765,0.7741,0.3858,0.3800,0.4801
vec,0.0397,0.1177,0.0995,0.2545,0.3623,0.0000,0.1599,0.3414,0.5736,0.3788,0.7757,0.3590,0.3199,0.4602,0.0738,0.1160,0.2275
ita,0.1893,0.1618,0.1927,0.1343,0.2049,0.1599,0.0000,0.4473,0.5520,0.3478,0.7542,0.3730,0.4790,0.5807,0.1984,0.2093,0.3276
fra,0.3537,0.2858,0.2590,0.4420,0.6368,0.3414,0.4473,0.0000,0.4259,0.3359,0.5882,0.2381,0.3554,0.1395,0.3904,0.4372,0.5038
spa,0.6091,0.4565,0.4804,0.4405,0.6323,0.5736,0.5520,0.4259,0.0000,0.2044,0.2037,0.2237,0.7565,0.5115,0.6471,0.6886,0.7992
cat,0.4164,0.2614,0.2930,0.2427,0.4466,0.3788,0.3478,0.3359,0.2044,0.0000,0.4075,0.1024,0.6069,0.4611,0.4525,0.4914,0.6063
por,0.8105,0.6591,0.6809,0.6382,0.8194,0.7757,0.7542,0.5882,0.2037,0.4075,0.0000,0.4201,0.9362,0.6420,0.8490,0.8912,1.0000
oci,0.3921,0.2458,0.2619,0.2977,0.5091,0.3590,0.3730,0.2381,0.2237,0.1024,0.4201,0.0000,0.5379,0.3593,0.4312,0.4751,0.5806
deu,0.2904,0.3888,0.3417,0.5655,0.6765,0.3199,0.4790,0.3554,0.7565,0.6069,0.9362,0.5379,0.0000,0.3771,0.2927,0.3115,0.2786
eng,0.4648,0.4206,0.3889,0.5814,0.7741,0.4602,0.5807,0.1395,0.5115,0.4611,0.6420,0.3593,0.3771,0.0000,0.4976,0.5419,0.5869
slv,0.0400,0.1914,0.1696,0.3132,0.3858,0.0738,0.1984,0.3904,0.6471,0.4525,0.8490,0.4312,0.2927,0.4976,0.0000,0.0474,0.1540
hrv,0.0869,0.2322,0.2146,0.3345,0.3800,0.1160,0.2093,0.4372,0.6886,0.4914,0.8912,0.4751,0.3115,0.5419,0.0474,0.0000,0.1214
hun,0.1903,0.3450,0.3191,0.4554,0.4801,0.2275,0.3276,0.5038,0.7992,0.6063,1.0000,0.5806,0.2786,0.5869,0.1540,0.1214,0.0000
