article_id,title,url,n_sentences
65,Pagene Prengepále,https://roa-tara.wikipedia.org/wiki?curid=65,4
76,Regnum Plantae,https://roa-tara.wikipedia.org/wiki?curid=76,1
77,Marchantia polymorpha,https://roa-tara.wikipedia.org/wiki?curid=77,3
78,Ginkgo biloba,https://roa-tara.wikipedia.org/wiki?curid=78,7
82,Nymphaea,https://roa-tara.wikipedia.org/wiki?curid=82,1
83,Nymphaea alba,https://roa-tara.wikipedia.org/wiki?curid=83,1
86,Regnum Animalia,https://roa-tara.wikipedia.org/wiki?curid=86,5
1594,Tavele Periodiche,https://roa-tara.wikipedia.org/wiki?curid=1594,1
1604,Sahelanthropus tchadensis,https://roa-tara.wikipedia.org/wiki?curid=1604,5
1605,Homo habilis,https://roa-tara.wikipedia.org/wiki?curid=1605,1
1613,Homo erectus lantianensis,https://roa-tara.wikipedia.org/wiki?curid=1613,13
1614,Homo georgicus,https://roa-tara.wikipedia.org/wiki?curid=1614,7
1625,Homo heidelbergensis,https://roa-tara.wikipedia.org/wiki?curid=1625,19
1627,Atlanthropus mauritanicus,https://roa-tara.wikipedia.org/wiki?curid=1627,3
1628,Homo antecessor,https://roa-tara.wikipedia.org/wiki?curid=1628,13
1634,Voltaire,https://roa-tara.wikipedia.org/wiki?curid=1634,99
1635,Denis Diderot,https://roa-tara.wikipedia.org/wiki?curid=1635,37
1639,Jean-Jacques Rousseau,https://roa-tara.wikipedia.org/wiki?curid=1639,156
1720,Cycas revoluta,https://roa-tara.wikipedia.org/wiki?curid=1720,13
1800,Anemone caroliniana,https://roa-tara.wikipedia.org/wiki?curid=1800,4
1801,Anemone nemorosa,https://roa-tara.wikipedia.org/wiki?curid=1801,4
1802,Anemone ranunculoides,https://roa-tara.wikipedia.org/wiki?curid=1802,10
1850,Toruń,https://roa-tara.wikipedia.org/wiki?curid=1850,19
1851,Łódź,https://roa-tara.wikipedia.org/wiki?curid=1851,16
1852,Poznań,https://roa-tara.wikipedia.org/wiki?curid=1852,2
1857,Anemone canadensis,https://roa-tara.wikipedia.org/wiki?curid=1857,4
1883,Silvie Berlusconi,https://roa-tara.wikipedia.org/wiki?curid=1883,12
1884,Romano Prodi,https://roa-tara.wikipedia.org/wiki?curid=1884,1
1885,Giorgio Napolitano,https://roa-tara.wikipedia.org/wiki?curid=1885,6
1886,Pape Benedìtte XVI,https://roa-tara.wikipedia.org/wiki?curid=1886,2
1887,Pape Giuànne Paule II,https://roa-tara.wikipedia.org/wiki?curid=1887,3
1889,Tarde,https://roa-tara.wikipedia.org/wiki?curid=1889,299
1908,Salènde,https://roa-tara.wikipedia.org/wiki?curid=1908,2
1912,Uicchipèdie,https://roa-tara.wikipedia.org/wiki?curid=1912,6
1918,Mazzafre,https://roa-tara.wikipedia.org/wiki?curid=1918,239
1920,Mediaset,https://roa-tara.wikipedia.org/wiki?curid=1920,8
1933,Bare,https://roa-tara.wikipedia.org/wiki?curid=1933,3
1940,Gianfranghe Fini,https://roa-tara.wikipedia.org/wiki?curid=1940,1
1942,Welwitschia mirabilis,https://roa-tara.wikipedia.org/wiki?curid=1942,11
1947,Latèrze,https://roa-tara.wikipedia.org/wiki?curid=1947,33
1950,Anemone apennina,https://roa-tara.wikipedia.org/wiki?curid=1950,6
1953,'U Panarijdde,https://roa-tara.wikipedia.org/wiki?curid=1953,3
1968,'Ngeclopedije,https://roa-tara.wikipedia.org/wiki?curid=1968,7
1987,Abano Terme,https://roa-tara.wikipedia.org/wiki?curid=1987,1
