,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.923029,0.961184,0.937883,0.922595,0.945060,0.952648,0.951253,0.967008,0.964838,0.887951,0.908901,0.910987
lij,0.923029,1.000000,0.953421,0.937456,0.915473,0.966364,0.968460,0.953417,0.933140,0.947161,0.850665,0.885359,0.880743
lmo,0.961184,0.953421,1.000000,0.949472,0.930227,0.962078,0.966108,0.961698,0.961448,0.974701,0.888017,0.906790,0.909550
sc,0.937883,0.937456,0.949472,1.000000,0.930600,0.945103,0.952664,0.960021,0.949702,0.954958,0.872017,0.886833,0.901573
scn,0.922595,0.915473,0.930227,0.930600,1.000000,0.910713,0.933034,0.910029,0.908375,0.918365,0.833578,0.864615,0.858027
vec,0.945060,0.966364,0.962078,0.945103,0.910713,1.000000,0.978034,0.971740,0.951037,0.962408,0.865144,0.907486,0.897087
ita,0.952648,0.968460,0.966108,0.952664,0.933034,0.978034,1.000000,0.971594,0.957695,0.966732,0.873045,0.906919,0.903738
spa,0.951253,0.953417,0.961698,0.960021,0.910029,0.971740,0.971594,1.000000,0.966548,0.974307,0.886859,0.914873,0.915507
fra,0.967008,0.933140,0.961448,0.949702,0.908375,0.951037,0.957695,0.966548,1.000000,0.976264,0.916939,0.917524,0.934272
cat,0.964838,0.947161,0.974701,0.954958,0.918365,0.962408,0.966732,0.974307,0.976264,1.000000,0.901084,0.914326,0.925251
deu,0.887951,0.850665,0.888017,0.872017,0.833578,0.865144,0.873045,0.886859,0.916939,0.901084,1.000000,0.930081,0.955098
slv,0.908901,0.885359,0.906790,0.886833,0.864615,0.907486,0.906919,0.914873,0.917524,0.914326,0.930081,1.000000,0.925691
eng,0.910987,0.880743,0.909550,0.901573,0.858027,0.897087,0.903738,0.915507,0.934272,0.925251,0.955098,0.925691,1.000000
