,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.998090,0.997786,0.997868,0.997827,0.997797,0.994202,0.994083,0.993738,0.991244,0.993771,0.996570,0.992257,0.994419,0.993196,0.993253,0.992645
lij,0.998090,1.000000,0.997903,0.997867,0.997832,0.997960,0.994771,0.994602,0.994148,0.991884,0.994378,0.996885,0.992769,0.994796,0.993589,0.993718,0.993179
lmo,0.997786,0.997903,1.000000,0.997713,0.997562,0.997571,0.994025,0.994235,0.993642,0.992177,0.993815,0.996903,0.992271,0.994325,0.993070,0.993265,0.992672
sc,0.997868,0.997867,0.997713,1.000000,0.997555,0.997697,0.993974,0.994682,0.993799,0.991739,0.994305,0.996956,0.992488,0.994757,0.993439,0.993601,0.992957
scn,0.997827,0.997832,0.997562,0.997555,1.000000,0.997531,0.994484,0.993632,0.993113,0.991083,0.993399,0.996179,0.991949,0.993920,0.992868,0.993100,0.992396
vec,0.997797,0.997960,0.997571,0.997697,0.997531,1.000000,0.994920,0.994770,0.994006,0.991896,0.994378,0.996760,0.992933,0.995084,0.993820,0.994000,0.993379
ita,0.994202,0.994771,0.994025,0.993974,0.994484,0.994920,1.000000,0.997226,0.997093,0.995242,0.997086,0.995283,0.996272,0.996917,0.996116,0.996336,0.996328
spa,0.994083,0.994602,0.994235,0.994682,0.993632,0.994770,0.997226,1.000000,0.997238,0.995697,0.997969,0.996125,0.996511,0.997533,0.996244,0.996479,0.996711
fra,0.993738,0.994148,0.993642,0.993799,0.993113,0.994006,0.997093,0.997238,1.000000,0.995618,0.997136,0.995592,0.996648,0.997154,0.995780,0.996014,0.996332
cat,0.991244,0.991884,0.992177,0.991739,0.991083,0.991896,0.995242,0.995697,0.995618,1.000000,0.995554,0.995861,0.994425,0.994599,0.993354,0.993926,0.994393
por,0.993771,0.994378,0.993815,0.994305,0.993399,0.994378,0.997086,0.997969,0.997136,0.995554,1.000000,0.995801,0.996431,0.997347,0.996101,0.996423,0.996635
oci,0.996570,0.996885,0.996903,0.996956,0.996179,0.996760,0.995283,0.996125,0.995592,0.995861,0.995801,1.000000,0.994296,0.995678,0.994199,0.994585,0.994564
deu,0.992257,0.992769,0.992271,0.992488,0.991949,0.992933,0.996272,0.996511,0.996648,0.994425,0.996431,0.994296,1.000000,0.997180,0.995746,0.995903,0.996713
eng,0.994419,0.994796,0.994325,0.994757,0.993920,0.995084,0.996917,0.997533,0.997154,0.994599,0.997347,0.995678,0.997180,1.000000,0.996601,0.996852,0.996959
slv,0.993196,0.993589,0.993070,0.993439,0.992868,0.993820,0.996116,0.996244,0.995780,0.993354,0.996101,0.994199,0.995746,0.996601,1.000000,0.997158,0.996045
hrv,0.993253,0.993718,0.993265,0.993601,0.993100,0.994000,0.996336,0.996479,0.996014,0.993926,0.996423,0.994585,0.995903,0.996852,0.997158,1.000000,0.996366
hun,0.992645,0.993179,0.992672,0.992957,0.992396,0.993379,0.996328,0.996711,0.996332,0.994393,0.996635,0.994564,0.996713,0.996959,0.996045,0.996366,1.000000
