,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.266177,0.311200,0.251298,0.279138,0.261258,0.224323,0.456547,0.251854,0.182053,0.235982,0.119896,0.198408,0.010650,0.002115,0.119088
siciliano,0.266177,1.000000,0.274679,0.307073,0.238633,0.192808,0.172614,0.366095,0.157068,0.152446,0.197307,0.097786,0.162041,0.008789,0.001719,0.096249
lombardo,0.311200,0.274679,1.000000,0.249739,0.217668,0.239273,0.225380,0.293339,0.190374,0.177387,0.230576,0.115778,0.177909,0.009072,0.001788,0.095962
sardo,0.251298,0.307073,0.249739,1.000000,0.212794,0.201309,0.197186,0.283291,0.251346,0.159272,0.259190,0.122108,0.180962,0.009803,0.001909,0.101302
ligure,0.279138,0.238633,0.217668,0.212794,1.000000,0.221888,0.198575,0.376124,0.188946,0.179195,0.201468,0.117398,0.189215,0.009759,0.001823,0.092729
friulano,0.261258,0.192808,0.239273,0.201309,0.221888,1.000000,0.234143,0.295972,0.191023,0.181168,0.215576,0.121698,0.198838,0.009992,0.002044,0.106991
ladino,0.224323,0.172614,0.225380,0.197186,0.198575,0.234143,1.000000,0.269354,0.198829,0.184097,0.218722,0.131392,0.193890,0.009964,0.002058,0.106833
italiano,0.456547,0.366095,0.293339,0.283291,0.376124,0.295972,0.269354,1.000000,0.282183,0.230406,0.275504,0.149224,0.255566,0.011908,0.002459,0.139513
spagnolo,0.251854,0.157068,0.190374,0.251346,0.188946,0.191023,0.198829,0.282183,1.000000,0.193702,0.355776,0.120768,0.216321,0.010409,0.001853,0.119102
francese,0.182053,0.152446,0.177387,0.159272,0.179195,0.181168,0.184097,0.230406,0.193702,1.000000,0.256454,0.141140,0.263483,0.010035,0.001809,0.082759
catalano,0.235982,0.197307,0.230576,0.259190,0.201468,0.215576,0.218722,0.275504,0.355776,0.256454,1.000000,0.132017,0.249721,0.010240,0.002168,0.110029
tedesco,0.119896,0.097786,0.115778,0.122108,0.117398,0.121698,0.131392,0.149224,0.120768,0.141140,0.132017,1.000000,0.202505,0.008248,0.001571,0.103921
inglese,0.198408,0.162041,0.177909,0.180962,0.189215,0.198838,0.193890,0.255566,0.216321,0.263483,0.249721,0.202505,1.000000,0.013649,0.002589,0.114623
greco,0.010650,0.008789,0.009072,0.009803,0.009759,0.009992,0.009964,0.011908,0.010409,0.010035,0.010240,0.008248,0.013649,1.000000,0.000558,0.006719
arabo,0.002115,0.001719,0.001788,0.001909,0.001823,0.002044,0.002058,0.002459,0.001853,0.001809,0.002168,0.001571,0.002589,0.000558,1.000000,0.001445
sloveno,0.119088,0.096249,0.095962,0.101302,0.092729,0.106991,0.106833,0.139513,0.119102,0.082759,0.110029,0.103921,0.114623,0.006719,0.001445,1.000000
