,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,1.062107,0.587669,0.878882,0.836275,0.983219,1.414402,1.455996,1.194942,1.231360,1.252466,1.141379,1.333195
lij,1.062107,0.000000,0.863482,0.844194,0.975848,0.698434,1.078689,1.234055,1.266704,1.284940,1.326441,1.219034,1.302556
lmo,0.587669,0.863482,0.000000,0.773626,0.788599,0.729010,1.480992,1.461011,1.399151,1.159667,1.363644,1.233562,1.422353
sc,0.878882,0.844194,0.773626,0.000000,0.737389,0.951045,1.358819,1.241956,1.334909,1.237659,1.380130,1.239450,1.403175
scn,0.836275,0.975848,0.788599,0.737389,0.000000,1.055387,1.028900,1.398977,1.411888,1.273580,1.301841,1.246225,1.366857
vec,0.983219,0.698434,0.729010,0.951045,1.055387,0.000000,1.018653,1.151233,1.276801,1.255258,1.346040,1.036206,1.325882
ita,1.414402,1.078689,1.480992,1.358819,1.028900,1.018653,0.000000,0.750357,0.837326,0.955462,0.915804,0.958440,0.822921
spa,1.455996,1.234055,1.461011,1.241956,1.398977,1.151233,0.750357,0.000000,0.756636,0.672705,0.837969,0.947365,0.719935
fra,1.194942,1.266704,1.399151,1.334909,1.411888,1.276801,0.837326,0.756636,0.000000,0.756869,0.727637,1.019466,0.692545
cat,1.231360,1.284940,1.159667,1.237659,1.273580,1.255258,0.955462,0.672705,0.756869,0.000000,0.970695,1.104614,0.892258
deu,1.252466,1.326441,1.363644,1.380130,1.301841,1.346040,0.915804,0.837969,0.727637,0.970695,0.000000,0.845059,0.574954
slv,1.141379,1.219034,1.233562,1.239450,1.246225,1.036206,0.958440,0.947365,1.019466,1.104614,0.845059,0.000000,0.849268
eng,1.333195,1.302556,1.422353,1.403175,1.366857,1.325882,0.822921,0.719935,0.692545,0.892258,0.574954,0.849268,0.000000
