text,label,article_id
"Η σέλα της Ιππικής δεξιοτεχνίας είναι φτιαγμένη έτσι ώστε να δίνει κάθισμα πιο πίσω από το συνηθισμένο, βοηθώντας τον ιππέα να χρησιμοποιεί το βάρος του.",16,5600
Μια προσπάθεια του αυτοκράτορα Κλαύδιου να εισαγάγει τρία επιπλέον γράμματα δεν επικράτησε.,16,5709
 Η παρούσα σελίδα αφορά το έτος 1826 κατά το Γρηγοριανό ημερολόγιο  ,16,1441
Τα περισσότερα παιχνίδια που μελετήθηκαν στην θεωρία των παιγνίων είναι παιχνίδια ατελούς πληροφορίας.,16,1567
"Η κυβέρνηση απέστειλε το θωρηκτό «Αβέρωφ» στο Μπρίντιζι για να παραλάβει τα οστά του Κωνσταντίνου, της μητέρας του, Βασίλισσας Όλγας, και της συζύγου του Βασίλισσας Σοφίας, οι οποίες είχαν πεθάνει επίσης εκτός Ελλάδας.",16,3208
"Η προαγωγή είναι υποχρεωτική, καθώς μόλις φτάσει στην τελευταία οριζόντιο γραμμή δεν μπορεί να παραμείνει πιόνι.",16,8769
Τον χώρο αυτό καταλάμβανε αρχικά η οικία του του Αθηναίου τραπεζίτη και πολιτικού Αλέξανδρου Κοντόσταυλου.,16,6235
"Στην πρώτη περίπτωση ο Krumbacher οριοθετεί δύο μεγάλες ομάδες, την πεζή και την ποιητική λογοτεχνία.",16,7538
"Το κύριο λιμάνι για την εξαγωγή τους ήταν ο Βόλος, ενώ αναπτύχθηκαν και άλλα ναυτιλιακά κέντρα, όπως η Ζαγορά και το Τρίκερι.",16,2380
Η λιμνοθάλασσα Κορισσίων που βρίσκεται στις νοτιοδυτικές ακτές της Κέρκυρας είναι προστατευόμενη τοποθεσία του δικτύου Natura 2000 με κωδικό GR2230002.,16,5659
"Ο ένας ήταν τόσο ψηλός, που η κορυφή του χανόταν στον ουρανό και ήταν πάντα σκεπασμένη με πυκνά μαύρα σύννεφα.",16,7771
Η τελική κατάληξη του Ερμή.,16,6725
"Ίσως μέχρι το 2040 να έχει αρχίσει η κατασκευή μιας μόνιμης αποικίας στον Άρη, καθώς μάλιστα ήδη έχουμε σχεδόν όλη την απαραίτητη τεχνολογία.",16,5350
"Ο Στράτης Μυριβήλης χαρακτήρισε τον Ταΰγετο «αρσενικό βουνό», ενώ ο Κώστας Ουράνης σημειώνει:  «Άλλοτε, πριν δω τον Ταΰγετο, εθεωρούσα κι εγώ, μαζί με όλους τους άλλους, κατώτερη τη φυλή αυτή, που χάθηκε από το πρόσωπο της γης χωρίς να αφήσει τίποτα για να θυμίζει τη διάβασή της: ούτε ένα ναό, ούτε ένα έργο τέχνης.",16,8481
"Οι δύο αυτές χώρες έχουν βασικά αγγλικές ρίζες και διαφέρουν όχι μόνο από γλωσσολογική, αλλά και από πολιτιστική, κοινωνική και οικονομική άποψη από τις άλλες χώρες της Αμερικής.",16,1657
Οι παλαιοντολόγοι με τη σειρά τους έχουν καθορίσει ένα σύστημα φάσεων για την πανίδα.,16,10571
Η φιγούρα του Λεωνίδα έγινε κεντρικός πρωταγωνιστής στα παρακάτω καλλιτεχνικά και συγγραφικά έργα:,16,7387
"Η Ολυμπιακή Επιτροπή της Δυτικής Γερμανίας είχε δημιουργήσει μία φιλική ατμόσφαιρα στο Ολυμπιακό Χωριό του Μονάχου, με σκοπό να διαγραφούν οι μνήμες της στρατοκρατικής εικόνας της Γερμανίας στον πόλεμο και συγκεκριμένα κατά τους Ολυμπιακούς Αγώνες του 1936 στο Βερολίνο οι οποίοι είχαν γίνει αντικείμενο εκμετάλλευσης από τον δικτάτορα των Ναζί, Αδόλφο Χίτλερ, για λόγους προπαγάνδας.",16,2441
Ο ίδιος ο Κανάρις από τότε χάνει κάθε ενδιαφέρον για περαιτέρω συνωμοτική δράση.,16,7444
"Το πρωί της 9ης Απριλίου, έφτασαν πληροφορίες ότι οι Τούρκοι είχαν εγκαταλείψει τον Αρτινό κάμπο κατά τη διάρκεια της νύχτας και είχαν κινηθεί προς τη γέφυρα του Λούρου και τη Φιλιππιάδα.",16,7182
"Το βασίλειο είναι μια εκλεγμένη συνταγματική μοναρχία με μονάρχη τον Νοροντόμ Σιχαμόνι, ο οποίος επιλέγεται από το Βασιλικό Συμβούλιο του Θρόνου ως αρχηγό του κράτους.",16,7524
Η 3η Δεκεμβρίου είναι η 337η ημέρα του έτους κατά το Γρηγοριανό ημερολόγιο .,16,3731
Η ιαχή «Νίκα» δονούσε την ατμόσφαιρα: ήταν το σύνθημα που φώναζαν στον Ιππόδρομο για να εμψυχώσουν τους αρματοδρόμους.,16,4984
"Ωστόσο οι διώξεις συνεχίζονταν κι έτσι ο νέος δάσκαλος επισκεπτόταν ακατάπαυστα τους φυλακισμένους, παρευρισκόταν στα δικαστήρια και ανακούφιζε τους καταδικασμένους.",16,8187
Ο τελευταίος τον καταδίωξε αναγκάζοντάς τον τελικά να παραδοθεί.,16,8506
"Σε περίπτωση υποτροπής, η συνήθης κατάληξη ήταν ο ακρωτηριασμός.",16,6792
"Με αυτόν τον τρόπο το μάτι του θεατή ξεγελιέται, και το τελικό αποτέλεσμα δίνει μία συμμετρία στο όλο κτίσμα.",16,8647
 Η τρέχουσα σελίδα αφορά το έτος 622 κατά το Γρηγοριανό ημερολόγιο  ,16,4259
Ο λαός αναστέναζε κάτω από τη βαριά φορολογία.,16,2824
 Η τρέχουσα σελίδα αφορά το έτος 401 κατά το Γρηγοριανό ημερολόγιο  ,16,4796
"Ακόμα, έχει στην κατοχή του γκάτζετ, τα οποία χρησιμοποιεί εναντίον των εχθρών του.",16,1240
"Το 1970, ο Νηλ Άρμστρογγ διορίστηκε υπεύθυνος των αεροπορικών δραστηριοτήτων στη NASA, αλλά τον επόμενο χρόνο παραιτήθηκε για να γίνει καθηγητής στο Πανεπιστήμιο του Σινσινάτι.",16,2330
"Το συγκινητικό επεισόδιο της Παλαιάς Διαθήκης, που ο πατριάρχης των λαών επιχείρησε να σφάξει το παιδί του και να το προσφέρει θυσία στο Θεό, για να δείξει τη μεγάλη του πίστη, έγινε πηγή έμπνευσης πολλών μεγάλων καλλιτεχνών, ιδιαίτερα στην εποχή της Αναγέννησης.",16,10224
"Τον χειμώνα, οι μέσες θερμοκρασίες συνήθως πέφτουν στους -10 βαθμούς, αν σχεδόν κάθε χειμώνα εμφανίζονται και θερμότερες περίοδοι όπου η θερμοκρασία είναι στους 0 βαθμούς Κελσίου, ή ψυχρότερες περίοδοι όπου οι νυχτερινές θερμοκρασίες φτάνουν τους -30.",16,7768
"Ενίοτε απαντάται και ως Παγκόσμιο Νησί, ειδικά στις γεωπολιτικές μελέτες.",16,9460
"Εκπλήρωσε τον απώτερο σκοπό του ιωνικού υλικού μονισμού, κόβοντας τον δεσμό της ελεατικής κριτικής.",16,5736
"Το ένα τμήμα αποτελεί η κυρίως οροσειρά των Βραχωδών και το άλλο οι οροσειρές του Ειρηνικού στην Καλιφόρνια, το Όρεγκον, την Ουάσιγκτον και τη Βρετανική Κολομβία.",16,5718
"Μαζί με την προσθήκη στην κορυφή, το όλο έργο έχει ύψος εκατόν σαράντα πόδια...».",16,7278
Κανένα από τα κράτη αυτά δεν υπήρχε πριν.,16,3919
Προσπάθεια για διδασκαλία της Βλάχικης γλώσσας έχει γίνει κατά το παρελθόν οργανωμένα από τη Ρουμανική Προπαγάνδα με σκοπό τον προσεταιρισμό των Βλάχων και την αλλοίωση της ελληνικής εθνικής τους συνείδησης.,16,6298
Τα τελευταία χρόνια της Σοβιετικής Ένωσης μέχρι και σήμερα τα σιτηρά και το πετρέλαιο συνιστούν τις μεγαλύτερες εξαγωγές εμπορευμάτων που διακινούνται στον Βόλγα.,16,7868
