text,label,article_id
"Vpisal se je na Univerzo Ludwiga-Maximiliana v Münchnu, kjer je delal v Sommerfeldovi skupini in doktoriral julija 1921 z delom o kvantni teoriji ionizirane molekule vodika.",18,7701
Cerkev na tem griču je bila verjetno postavljena že v 16.,18,81441
Spretno je našel približno rešitev problema treh teles.,18,4379
"Ta Juriju pove, da Lara živi v bližnjem mestu Yuriatin.",18,99653
"Ta dogodek se je razvedel med ljudstvom, zato so se odločili postaviti kapelo.",18,88900
"Po protokolu je drugi najpomembnejši človek v državi, takoj za predsednikom države.",18,79135
Leta 1743 se je kot avtor Kužnega znamenja prvič pojavil v Mariboru.,18,117641
Hidroelektrarna Medvode  je ena izmed hidroelektrarn v Sloveniji.,18,85690
"Nenad Petrović, hrvaški problemist, * 7.",18,69963
"Glavni problem, ki je sploh sprožil nastanek teorije množic, je vprašanje neskončno velikih množic.",18,14
"Na obeh straneh doline so strma pobočja, dno pa razčlenjujejo vrtače.",18,141513
"Postaje križevega pota si sledijo okoli skale, ki jo na vrhu zaključuje križ s križanim Jezusom.",18,138617
31469973260387937525653122354950764088012280797258232192163168247821107200000000000000   63!,18,38427
"In če bi kot rezultat napak, povezanih z letom 2000, padla vrednost delnic podjetja, bi lahko pravniki tožili upravni odbor zaradi malomarnosti.",18,94922
" Drugi avtorji, na primer Gordon Allport menijo, da je začetnik socialne psihologije August Comte, ki hkrati velja za utemeljitelja sociologije.",18,51943
Vojna se je končala z zmago zaveznikov nad Nemčijo in Japonsko leta 1945.,18,8112
"Po njegovi smrti leta 1523 je Serenissima zasegla dediščino, ki je bila le delno vrnjena zakonitim dedičem Grimanijem po pravnih sporih z republiko.",18,81892
"Tu je pred graščino stal grad Brutnberg  ga je za 25.000 goldinarjev kupil grof Anton Gaisruck, ki se je imel za dediča grofov Celjskih.",18,97088
Izmed vseh izboljšav ima PC-9 večjo in sodobnejšo kabino s katapultnima sedežema.,18,69969
"Lubenica  je rastlina, ki spada med bučevke.",18,93705
"Če je interval lastnega časa d τ  med dvema infinitezimalnima dogodkoma na časovnici enak: in, če so koordinatne razlike v referenčnem inercialnem opazovalnem sistemu  S  gibajoče se ure med dvema dogodkoma d t , d x , d y  in d z , velja: tako da je interval lastnega časa dan z: kjer je γ .",18,2781
"Med nitriranjem običajno nastane na površini jekla zvezna spojinska plast, v difuzijski plasti pa nastanejo na določenih kristalnih ravninah - Fe nitridi, ki ovirajo gibanje dislokacij in tako dodatno povečajo trdoto.",18,32309
"Ob tem sogovorniki mimogrede pripomnijo, da je sedaj PDV 22 %.",18,138132
