variety,italian,spanish,catalan,french,german,english
veneto,296.415262,973.950566,384.813384,7536.570216441008,321.37174248006033,387.8751895252473
siciliano,366.10166,2001.186844,370.638438,14580.835929415794,449.26017682794685,328.9557577792338
lombardo,237.728343,957.883694,369.265289,6891.299613354052,504.41538994401685,528.0841314829541
sardo,299.274279,1881.810096,377.33698,12419.081920223367,429.9268938862648,333.0456671668266
ligure,238.76936,875.113924,265.792309,8275.334214261846,642.9304327340182,217.245188959386
friulano,287.447754,1366.075943,377.767852,12524.69420579682,434.43129397280836,348.1681046299975
ladino,288.507388,1788.975602,528.961367,7426.869711928329,661.229001799714,395.3385677434179
italiano,5.771143,784.61313,107.064215,8796.13292791706,177.55083682392933,68.00837298657582
spagnolo,69.160917,10.043424,16.952782,4356.434395543738,232.27222484050827,39.709082413893
francese,22.252593,371.058528,50.743473,69.41505566887265,181.30394536902776,55.27234632095874
catalano,126.398587,250.376107,11.307491,9033.029914835037,463.5845010471275,147.6501881923689
tedesco,56.018461,3518.946803,85.801944,8973.305755943138,69.62070595251298,51.368373457597464
inglese,22.6965,260.747073,32.006773,2683.7886862831556,45.279609207582624,9.124660987478656
greco,10.806489,47.089158,7.96466,2.2011213257512585,307179581.1538832,14.058255549295817
arabo,11.146631,34.01344,10.075477,1.81398480532222,827557489.9056313,20.08161615005778
sloveno,227.659248,15114.184269,386.294513,13205.835521932944,756.413570177667,182.7329765001099
