,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.937569,0.942654,0.932410,0.904256,0.933068,0.960998,0.956986,0.974477,0.969096,0.961736,0.969403,0.883327,0.927430,0.893196,0.907935,0.787276
lij,0.937569,1.000000,0.920792,0.915446,0.883548,0.938562,0.969400,0.944346,0.943509,0.942788,0.967212,0.940137,0.852666,0.891155,0.861136,0.876071,0.769775
lmo,0.942654,0.920792,1.000000,0.946786,0.920479,0.945483,0.955632,0.961079,0.963115,0.983134,0.946350,0.984345,0.881417,0.897236,0.851901,0.867349,0.816057
sc,0.932410,0.915446,0.946786,1.000000,0.934408,0.944672,0.957460,0.975432,0.957332,0.963023,0.971760,0.970187,0.875805,0.916336,0.849447,0.873468,0.773377
scn,0.904256,0.883548,0.920479,0.934408,1.000000,0.888125,0.920336,0.908352,0.898796,0.914016,0.906186,0.923457,0.802104,0.835824,0.796638,0.826649,0.716583
vec,0.933068,0.938562,0.945483,0.944672,0.888125,1.000000,0.983353,0.982331,0.959685,0.965762,0.970248,0.959878,0.860684,0.912775,0.876844,0.889920,0.780864
ita,0.960998,0.969400,0.955632,0.957460,0.920336,0.983353,1.000000,0.988307,0.974808,0.980851,0.986541,0.976660,0.880882,0.932883,0.885631,0.900398,0.784703
spa,0.956986,0.944346,0.961079,0.975432,0.908352,0.982331,0.988307,1.000000,0.983233,0.987711,0.990457,0.985853,0.892106,0.940312,0.887384,0.902806,0.796564
fra,0.974477,0.943509,0.963115,0.957332,0.898796,0.959685,0.974808,0.983233,1.000000,0.989887,0.979153,0.986549,0.915811,0.943992,0.895876,0.909674,0.821850
cat,0.969096,0.942788,0.983134,0.963023,0.914016,0.965762,0.980851,0.987711,0.989887,1.000000,0.979074,0.996928,0.906561,0.938830,0.887681,0.901889,0.819925
por,0.961736,0.967212,0.946350,0.971760,0.906186,0.970248,0.986541,0.990457,0.979153,0.979074,1.000000,0.980072,0.890977,0.939155,0.897669,0.914546,0.799797
oci,0.969403,0.940137,0.984345,0.970187,0.923457,0.959878,0.976660,0.985853,0.986549,0.996928,0.980072,1.000000,0.901644,0.933847,0.888768,0.904437,0.819235
deu,0.883327,0.852666,0.881417,0.875805,0.802104,0.860684,0.880882,0.892106,0.915811,0.906561,0.890977,0.901644,1.000000,0.954542,0.909343,0.911730,0.901427
eng,0.927430,0.891155,0.897236,0.916336,0.835824,0.912775,0.932883,0.940312,0.943992,0.938830,0.939155,0.933847,0.954542,1.000000,0.913116,0.918523,0.854759
slv,0.893196,0.861136,0.851901,0.849447,0.796638,0.876844,0.885631,0.887384,0.895876,0.887681,0.897669,0.888768,0.909343,0.913116,1.000000,0.996211,0.925157
hrv,0.907935,0.876071,0.867349,0.873468,0.826649,0.889920,0.900398,0.902806,0.909674,0.901889,0.914546,0.904437,0.911730,0.918523,0.996211,1.000000,0.913393
hun,0.787276,0.769775,0.816057,0.773377,0.716583,0.780864,0.784703,0.796564,0.821850,0.819925,0.799797,0.819235,0.901427,0.854759,0.925157,0.913393,1.000000
