# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.015641,family_labels
davies_bouldin,1.297420,family_labels
calinski_harabasz,3.603494,family_labels
cophenetic_correlation,0.789642,hierarchical
adjusted_rand_index,0.301622,hierarchical_cut
normalized_mutual_info,0.717031,hierarchical_cut
v_measure,0.717031,hierarchical_cut
adjusted_rand_index,0.141159,kmeans
normalized_mutual_info,0.626927,kmeans
v_measure,0.626927,kmeans

# Per-variety silhouette scores
variety,family,silhouette
hrv,slavic,0.953501
slv,slavic,0.949379
oci,romance,0.458033
cat,romance,0.394210
fra,romance,0.392873
hun,uralic,0.000000
ita,italian,0.000000
deu,germanic,0.000000
eng,english,0.000000
spa,romance,-0.113274
scn,italo_romance,-0.151036
por,romance,-0.244324
lmo,italo_romance,-0.499775
sc,italo_romance,-0.502676
fur,italo_romance,-0.519194
lij,italo_romance,-0.621369
vec,italo_romance,-0.762244
