,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
veneto,-0.031748,0.004025,0.193213,-0.121174,-0.075858,-0.042722,0.076942,-0.047871,-0.041857,0.170555,0.003924,0.135415,-0.172463,0.115758,0.067501,-0.026246,-0.034936,-0.092301,-0.073988,0.077864,0.008371,-0.068788,0.118610,0.065753,0.002390,0.090836,-0.184587,0.171031,-0.054075,-0.057970,0.057069,0.057803,-0.010645,-0.025062,0.003544,0.025016,0.015275,-0.122042,-0.067023,0.070999,0.035171,0.031111,0.093150,0.066537,-0.076873,-0.075419,-0.021115,-0.053455,0.092821,0.101040,0.016849,-0.057298,-0.002303,-0.037659,-0.093245,-0.018636,0.008341,0.048138,0.030354,0.177935,0.027787,-0.019829,-0.031186,0.018757,-0.025101,-0.088334,-0.123342,0.142443,0.015380,0.007533,0.003817,-0.014412,-0.060912,-0.130387,-0.014914,-0.087526,-0.050897,0.000295,-0.084246,0.085726,0.055146,-0.069775,-0.096689,0.033676,0.006370,-0.008372,0.034450,-0.021024,0.122411,-0.064328,-0.103000,-0.036986,0.003691,-0.001600,0.025202,0.034397,0.038723,-0.025134,-0.026439,0.095412,0.033113,-0.090393,0.006161,-0.009473,0.027418,0.062373,-0.109845,0.040707,-0.003380,0.064274,0.001137,-0.009947,0.080948,0.123195,0.022561,0.028043,-0.000300,-0.118590,-0.027054,0.042942,0.053141,-0.032318,0.031871,0.035512,0.058166,-0.118699,-0.059847,0.002772,0.014605,0.072419,-0.056720,0.043599,-0.084036,0.015930,-0.046776,-0.007263,-0.053888,-0.129994,0.070023,0.017719,-0.087912,0.005558,0.027023,-0.019199,0.034717,0.083409,-0.039896,-0.099288,-0.038552,0.003880,0.002141,0.056933,0.049487,-0.000219,-0.021400,-0.002956,0.053321,0.055799,-0.018582,0.000723,0.060003,0.107193,-0.012766,0.075222,-0.026794,-0.029637,-0.060605,0.138286,0.072593,-0.015597,-0.146932,0.089656,0.056239,-0.111261,0.095676,-0.035254,0.028628,0.086286,0.062142,0.046878,-0.014770,0.089645,-0.022116,-0.077765,0.160013,0.007934,-0.088516,-0.164534,-0.003228,0.074587,0.049393,0.049307,0.101803,0.016422,0.056338,-0.031441,0.075733,0.082109,-0.050491,-0.014265
siciliano,-0.014074,-0.018791,0.095560,-0.027278,-0.073808,-0.050734,0.114156,0.025455,-0.112361,0.111001,-0.009405,0.122993,-0.079377,0.050624,0.095607,0.010774,0.000534,-0.105390,-0.038411,0.102520,0.058107,-0.079926,0.062171,0.080922,-0.032151,0.033511,-0.100047,0.163024,-0.043751,-0.009899,0.115728,-0.052744,-0.020007,-0.011484,-0.030031,0.047985,-0.062769,-0.052745,-0.093925,0.185349,0.018054,0.006447,0.038881,0.014380,-0.057124,-0.037428,-0.047818,-0.061774,0.153753,0.028842,0.027314,0.006053,-0.006225,-0.015985,-0.079880,0.123672,0.012421,0.118964,-0.002494,0.168134,0.029890,0.057510,-0.130848,-0.006813,-0.049717,-0.068009,-0.038466,0.035945,-0.056237,0.023580,0.026695,0.065755,-0.118321,-0.116631,-0.061313,-0.052294,-0.041060,-0.024779,-0.009598,0.068014,-0.014653,-0.007707,-0.049932,0.006023,-0.001223,0.039039,-0.009491,-0.086790,0.090510,0.051086,-0.047022,0.043323,-0.030340,0.041811,-0.015534,0.061057,0.029480,-0.016398,0.002621,0.117842,-0.059881,-0.021836,0.041323,0.059573,-0.001905,0.097359,-0.147752,-0.027896,-0.135218,0.073788,0.000072,-0.008851,0.020594,0.100346,0.028755,0.025634,-0.014865,-0.098591,-0.015265,0.070085,-0.058539,-0.060890,-0.067928,-0.043828,0.080592,-0.091677,0.020536,-0.081011,-0.034304,0.085537,-0.143127,0.104727,-0.105306,0.044084,-0.133997,0.007180,-0.170699,-0.011055,0.069161,-0.000061,-0.000854,0.041014,0.030434,-0.049764,0.011667,0.083819,-0.132118,-0.139744,-0.072447,-0.028794,0.009627,-0.040258,0.076428,-0.073236,0.000123,-0.046085,0.082865,0.062839,-0.023050,0.007636,0.063833,0.097114,0.048112,0.084052,0.000380,0.063302,-0.076479,0.152737,0.033799,0.055615,-0.137334,0.094544,0.024229,-0.076622,0.049703,-0.037354,0.060309,0.102689,0.014989,0.050980,-0.043356,0.054903,0.053584,-0.056805,0.168333,-0.014534,-0.048997,-0.106715,-0.008116,0.111607,0.061026,0.087068,0.041204,-0.028286,-0.024284,-0.014989,0.107568,0.035987,0.008673,0.003801
lombardo,-0.041991,0.010936,0.137842,-0.050274,-0.047508,-0.024170,0.091919,-0.007114,-0.018121,0.114224,-0.022605,0.128538,-0.127258,0.081704,0.054193,-0.002594,-0.042172,-0.140471,-0.044197,0.086231,-0.060983,-0.052359,0.119855,0.048837,0.059808,0.071280,-0.155380,0.202513,-0.073824,-0.063468,0.065005,0.079774,-0.029689,-0.072359,-0.007730,0.040012,0.026642,-0.137222,-0.123371,0.046754,0.010346,0.021540,0.095576,0.102701,-0.156262,-0.100362,-0.008714,-0.076718,0.108007,0.075479,0.078736,-0.081512,0.054651,0.015190,-0.058176,-0.030313,0.009564,0.075713,0.072829,0.211695,0.072730,-0.003998,-0.042320,0.049929,0.019481,-0.117446,-0.107109,0.163499,0.037703,0.017154,0.018049,-0.013530,-0.035980,-0.117980,-0.038485,-0.077519,-0.040187,0.015100,-0.130351,0.068752,0.005484,0.008755,-0.110735,0.006717,0.027469,0.081499,0.036431,-0.058824,0.133880,-0.102880,-0.066632,-0.033812,0.035070,0.041724,0.035032,0.073049,0.041698,-0.004213,-0.045417,0.086223,-0.051306,-0.044276,-0.000282,0.033975,-0.004520,0.095485,-0.121073,0.033350,-0.035189,0.065187,0.016209,-0.009848,0.009318,0.099477,0.014668,0.010467,0.046699,-0.078245,-0.046403,0.028393,0.075285,-0.096889,-0.014314,0.026879,0.055838,-0.091722,-0.042450,0.044654,0.046789,0.089738,-0.050745,0.020263,-0.080436,0.017287,-0.085790,0.004809,-0.059031,-0.096551,0.079000,-0.001560,-0.027282,0.003291,0.070034,-0.033159,0.034593,0.065727,-0.021316,-0.086645,-0.010968,0.016040,-0.035198,0.011435,0.030339,0.070344,0.011953,0.007907,0.043415,0.010102,-0.022233,-0.006219,0.076031,0.063702,0.000446,0.019315,-0.021907,-0.078375,-0.059323,0.100336,0.060250,-0.025335,-0.124985,0.091726,0.041819,-0.088218,0.129387,-0.067781,0.031125,0.148805,0.010149,0.038153,0.000013,0.078669,-0.009323,-0.055543,0.110205,-0.004172,-0.074679,-0.153748,0.002842,0.075107,0.057409,0.081713,0.102441,0.035406,-0.004094,-0.055675,0.052978,0.069240,-0.041027,-0.028939
sardo,-0.009363,-0.003496,0.030377,0.052182,-0.070434,-0.039295,0.060655,-0.046213,0.005706,0.067938,-0.034687,0.026428,-0.088724,0.026915,0.084355,0.009073,-0.041237,-0.103095,-0.045209,0.107965,0.006859,-0.039576,0.056651,-0.015647,-0.006324,0.070543,-0.074277,0.094413,-0.051026,-0.023209,0.038060,-0.110448,-0.061896,-0.045408,0.067069,-0.009883,-0.001061,-0.111043,-0.071861,0.102779,0.036677,0.024758,0.112072,0.070895,-0.130340,-0.039048,-0.005480,-0.061982,0.082890,0.073033,0.083326,-0.061922,0.045613,-0.062657,-0.118590,0.056007,0.007749,-0.004466,-0.047064,0.114124,0.068004,0.032066,-0.055846,0.052287,-0.086910,-0.020523,-0.086004,0.154629,0.017581,0.031405,-0.091074,0.034045,-0.155634,-0.122224,-0.026961,-0.078517,0.004060,-0.024876,-0.009029,0.079645,-0.076963,-0.029695,-0.028401,0.025338,-0.061464,0.090072,-0.004578,-0.043108,0.034814,-0.010898,-0.032359,-0.004718,0.076064,0.033108,-0.013596,0.041448,0.063634,-0.048022,-0.025418,0.028904,-0.012491,-0.009401,-0.012082,0.023342,-0.069361,0.136600,-0.150344,0.045996,-0.125878,-0.027625,-0.035572,-0.011981,0.057074,0.110838,0.147434,0.013931,-0.015835,-0.120406,-0.002878,0.094412,-0.064273,-0.070932,0.035882,-0.071433,0.114701,-0.115500,0.031438,-0.044536,0.032074,0.078080,-0.014830,-0.012692,-0.133612,0.012196,-0.026525,-0.066341,-0.090708,-0.042890,0.106025,0.022483,-0.020475,0.056039,0.172426,0.006579,-0.049583,0.037339,-0.125314,-0.174808,-0.038479,0.010525,0.027830,-0.012579,0.099906,-0.070242,-0.023599,-0.080276,0.007592,0.131329,0.085557,0.035515,0.044847,0.090468,0.083500,0.039598,0.039376,0.065569,-0.022896,0.043301,0.044609,0.027295,-0.097857,0.031325,0.013872,-0.034596,0.003710,-0.024959,0.001975,0.090353,0.043663,0.037530,-0.011886,0.078747,0.100677,-0.087597,0.262910,-0.017990,-0.099320,-0.217370,-0.010010,0.043237,-0.013133,0.050462,0.029015,0.048868,0.080486,-0.003385,0.035408,0.060269,0.087779,-0.074667
ligure,-0.012097,-0.002944,0.107031,-0.120388,-0.057501,-0.020987,0.012395,-0.047335,-0.086708,0.094898,0.007225,0.066869,-0.085824,0.112697,0.055974,-0.035156,0.008085,-0.034340,-0.060072,0.045005,0.048492,-0.014977,0.088177,0.076204,0.018967,0.032816,-0.154705,0.115087,-0.026935,-0.035345,0.058134,0.001207,0.000037,-0.026706,-0.034288,0.027869,0.028234,-0.101215,-0.045115,0.100407,0.048403,0.019561,0.073901,0.027754,-0.103413,-0.096549,-0.067669,-0.075131,0.086457,0.041110,-0.005695,-0.070959,0.015898,-0.012195,-0.116961,0.030529,0.006407,0.091733,-0.018123,0.162517,0.008975,0.006971,-0.043829,0.032786,-0.015216,-0.039865,-0.096487,0.093101,-0.055401,0.034498,0.042782,-0.024356,-0.095588,-0.140567,-0.016837,-0.082763,-0.092261,-0.026819,-0.073760,0.050636,0.041787,-0.041523,-0.083751,0.046894,0.091168,0.029937,-0.021358,-0.021612,0.118456,-0.067886,-0.090044,-0.029936,-0.055005,0.040692,0.019345,0.122477,0.030235,-0.030547,-0.042731,0.150411,-0.000093,-0.112665,-0.007519,0.034029,0.033079,0.126319,-0.129515,0.010983,-0.050522,0.062503,-0.035608,0.009498,0.088581,0.128741,0.032461,-0.008859,-0.052392,-0.107887,-0.063202,0.037535,0.012768,-0.026988,0.029895,0.013316,0.069703,-0.148761,-0.085106,0.005558,0.006342,0.019472,-0.080784,0.091273,-0.059501,0.022219,-0.041094,0.010871,-0.099827,-0.096796,0.084356,-0.027995,-0.080286,0.005669,0.015069,-0.023598,0.088873,0.065854,-0.077679,-0.109124,0.009976,0.018128,0.061304,0.076293,0.035263,-0.009939,-0.032815,-0.014682,0.047038,0.075821,0.005987,-0.030812,0.098242,0.165716,0.005021,0.071220,-0.039769,-0.063344,-0.041050,0.137588,0.099927,-0.073753,-0.169727,0.144815,0.056488,-0.121771,0.128259,-0.062543,0.043029,0.112553,0.058635,0.047890,-0.005444,0.072639,0.011570,-0.097582,0.146597,0.000350,-0.042755,-0.107753,-0.009716,0.126113,0.029076,0.083746,0.165042,0.025004,0.036513,-0.026536,0.050389,0.046850,-0.018468,0.022837
friulano,-0.038825,-0.066782,0.114905,-0.007996,-0.047318,-0.017843,0.048925,0.028032,-0.029522,0.065803,-0.041650,0.070393,-0.076039,0.067429,0.062715,0.061188,-0.048406,-0.061717,-0.049958,0.058061,-0.038482,-0.033346,0.090330,0.066892,-0.008864,0.061319,-0.134284,0.207112,-0.033398,0.003797,0.002674,0.027183,-0.055435,0.000111,-0.034296,0.053655,0.017139,-0.129269,-0.191206,0.093166,-0.010834,0.011498,0.149655,0.128614,-0.119772,-0.028277,0.037287,-0.071677,0.105157,0.136786,0.000252,-0.008567,-0.023961,-0.085289,-0.094920,-0.032032,0.011677,0.059640,0.062864,0.206952,0.031471,0.026609,-0.027832,0.086402,-0.028104,-0.131927,-0.090287,0.170192,-0.042509,-0.016225,0.022743,0.032104,-0.037881,-0.054696,0.014497,-0.046448,-0.039133,0.109528,-0.059946,0.128861,0.008574,-0.042062,-0.123444,0.033565,0.070119,0.145948,0.042717,-0.081740,0.098682,-0.038929,-0.105142,-0.009327,-0.019233,0.002131,-0.021861,0.093861,0.035022,0.003336,-0.023721,0.071802,-0.004132,-0.050670,0.074057,0.027126,0.003633,0.053313,-0.038675,0.041571,-0.060732,0.039224,0.006261,0.041462,0.048592,0.122219,0.044698,-0.018016,0.129650,-0.057302,-0.045096,0.062860,-0.015370,-0.100456,0.020531,0.037075,-0.011414,-0.050904,0.033086,-0.052638,0.005397,0.077898,-0.041253,0.007360,-0.099923,0.018880,-0.068467,0.004781,-0.044067,-0.136806,0.084731,0.027769,-0.062466,0.045945,0.045493,-0.062491,-0.003578,0.047068,-0.032888,-0.096192,0.043740,-0.009432,-0.039514,-0.008880,0.080229,0.016427,-0.010818,-0.080041,0.033696,0.054722,-0.010629,-0.015039,0.085016,0.145244,0.037107,0.033635,-0.024960,-0.034022,-0.070180,0.166369,0.076366,0.060053,-0.143191,0.076032,0.055714,-0.118536,0.094962,-0.027354,0.064566,0.117386,0.010125,0.009149,-0.053387,0.072783,-0.017552,-0.031208,0.130965,-0.017931,-0.093266,-0.158979,0.029820,0.031807,0.044239,0.027408,0.077533,-0.037725,0.035107,-0.039311,0.051154,0.101303,-0.014916,-0.054781
ladino,0.007147,0.021593,0.110329,-0.083679,-0.036067,-0.057564,0.092208,-0.016531,-0.021233,0.074776,0.022360,0.036161,-0.156774,0.003031,0.008293,-0.020073,-0.060444,-0.115594,-0.121191,0.051027,-0.039734,-0.055717,0.069485,0.008296,0.008307,0.070894,-0.081224,0.131810,-0.094281,-0.120026,0.112278,0.061718,-0.065774,-0.073821,0.036565,0.013123,-0.011347,-0.086621,-0.068363,0.032204,0.090136,0.043106,0.092339,0.092289,-0.096319,-0.097870,-0.028741,-0.067396,0.109086,0.028948,0.064806,-0.063972,0.108525,0.067566,-0.109473,-0.032353,0.058625,0.042496,0.014850,0.175990,0.115360,0.009608,-0.065155,0.088522,0.025262,-0.154428,-0.006263,0.153500,0.095829,0.037766,-0.016274,-0.075797,-0.059266,-0.142514,-0.075483,-0.107137,-0.123904,-0.017731,-0.052739,0.038456,0.015508,-0.015513,-0.022308,0.035574,-0.015404,0.089879,0.090681,0.006826,0.055719,-0.106332,-0.042347,-0.040531,0.051332,0.036732,0.071709,0.029844,0.060048,-0.059632,-0.133550,0.052292,-0.068193,-0.041427,0.025167,0.039454,-0.001308,0.165814,-0.099363,0.028262,-0.052851,-0.017877,-0.083650,0.029190,0.077182,0.006149,0.053756,-0.017805,-0.008782,-0.106159,-0.007059,0.005912,-0.008855,-0.109850,-0.046302,0.002170,0.041077,-0.147125,-0.035492,0.041965,0.104825,0.048586,0.036359,0.028804,-0.060867,0.018435,-0.029686,0.023926,-0.002448,-0.064712,0.107695,-0.001368,-0.001094,0.010795,0.099248,-0.037705,0.015410,0.048804,0.005325,-0.101738,-0.015158,0.052413,0.012575,-0.001713,0.032802,0.068100,-0.012362,-0.027066,0.017301,0.070438,0.020111,-0.042516,0.076302,0.054956,0.061337,-0.092647,-0.069223,-0.067930,-0.139985,0.022890,0.029606,-0.034830,-0.104105,0.130539,-0.067694,-0.109047,0.133101,-0.045498,0.039886,0.142579,0.003026,0.002324,0.012280,0.122360,0.046656,-0.022519,0.072764,-0.007864,-0.085341,-0.127377,-0.013383,0.051006,-0.001430,0.135397,0.115756,0.061384,0.051814,-0.067008,0.042252,0.048533,-0.021383,-0.011333
italiano,-0.025419,-0.013534,0.173954,-0.111922,-0.081018,-0.068010,0.083262,-0.015250,-0.080268,0.132783,-0.011659,0.156179,-0.150127,0.111723,0.086160,-0.022289,-0.036733,-0.119878,-0.049036,0.077557,0.018767,-0.085289,0.121295,0.093165,-0.003816,0.094640,-0.186729,0.196232,-0.031637,-0.046943,0.072238,0.009688,0.000819,0.012663,-0.016023,0.038638,-0.008238,-0.120373,-0.110566,0.120048,0.041106,0.022478,0.113099,0.021945,-0.127708,-0.035775,-0.002325,-0.052877,0.125823,0.086368,-0.017588,-0.032276,-0.016245,-0.041625,-0.086291,0.036416,-0.010218,0.084639,0.024135,0.195756,0.019673,0.026836,-0.021862,0.033896,-0.043757,-0.045472,-0.117598,0.077384,-0.022430,0.007030,0.013298,0.006597,-0.102876,-0.144675,-0.019514,-0.055043,-0.003226,-0.001341,-0.083591,0.055562,0.049265,-0.044848,-0.075465,0.018938,0.033044,0.020239,-0.020917,-0.058386,0.081541,-0.033394,-0.121164,0.005858,-0.010009,-0.005763,0.015844,0.068265,0.020166,-0.018256,0.003107,0.083548,0.011419,-0.103878,0.011383,0.049456,0.057600,0.101581,-0.108323,0.034071,-0.050110,0.103785,0.004829,-0.005719,0.077604,0.134954,0.048060,0.026908,-0.019701,-0.092772,-0.058712,0.043599,0.032385,-0.022126,-0.002160,-0.003823,0.037482,-0.102775,-0.039086,-0.033380,0.009842,0.075650,-0.094180,0.074124,-0.065133,0.021083,-0.080034,-0.011885,-0.110516,-0.068470,0.054224,0.011810,-0.085047,0.010855,0.030392,-0.026364,0.016995,0.104787,-0.056575,-0.100728,-0.044081,0.003136,0.012814,0.041561,0.040100,-0.039749,-0.028249,-0.036779,0.047921,0.065120,0.002744,0.003311,0.064549,0.122113,-0.005859,0.059971,-0.006542,0.010978,-0.024622,0.123180,0.075381,0.020114,-0.158562,0.059705,0.060482,-0.114911,0.075867,-0.085509,0.034368,0.095812,0.034213,0.034037,0.002462,0.049631,-0.007620,-0.062995,0.184824,-0.001431,-0.079078,-0.111114,-0.012542,0.081382,0.023230,0.060376,0.081321,0.017653,0.037729,-0.038276,0.088769,0.020463,-0.003666,0.015091
spagnolo,-0.024111,0.001484,0.039822,-0.032300,-0.000398,0.004192,0.005976,-0.027152,0.051105,0.037229,-0.000474,-0.062363,-0.070723,0.055494,0.027625,-0.022178,-0.063023,-0.111652,-0.068226,0.078343,-0.021349,0.007403,0.044796,0.023958,0.052511,0.059970,-0.136595,0.122244,-0.081530,-0.021425,0.010481,-0.019608,-0.011476,-0.052798,0.061077,-0.036285,0.020711,-0.096671,-0.006366,0.000015,0.034246,0.015141,0.063483,0.014359,-0.088050,-0.017063,0.024595,-0.064521,0.040966,0.076261,0.092662,-0.129790,0.044249,-0.018002,-0.063266,-0.013788,-0.000434,0.003344,-0.033963,0.106208,0.042963,0.041486,-0.011340,0.046904,-0.004440,-0.075805,-0.073701,0.129729,0.027922,0.009221,0.045921,-0.026830,-0.103022,-0.155947,-0.010076,-0.027841,0.030104,-0.037335,-0.083376,0.042318,0.005511,-0.026730,-0.055236,-0.032345,0.013139,0.038909,0.001718,-0.016748,0.072773,-0.111091,-0.084924,-0.011321,0.091476,0.001864,0.027149,0.020262,0.040897,-0.051685,-0.085588,0.064532,0.036032,-0.085617,-0.043813,0.033707,-0.045974,0.118049,-0.118389,0.026803,-0.011869,-0.017801,-0.005424,-0.011878,0.055610,0.077825,0.102134,-0.026363,0.000312,-0.095541,-0.025490,0.048404,0.045926,-0.052177,0.035556,-0.015903,0.110350,-0.079321,-0.041718,0.023568,0.036943,0.096059,-0.025082,0.001626,-0.126343,0.039827,-0.062627,-0.004763,-0.081951,-0.108521,0.146678,0.025318,-0.037486,-0.009284,0.126309,0.030621,-0.026579,0.102964,-0.090214,-0.144540,-0.020906,0.032990,0.000456,0.045342,0.065247,0.025827,-0.077112,-0.051332,0.044535,0.118275,0.059359,0.021982,0.038488,0.094120,0.079014,-0.009918,0.033560,-0.021096,-0.069515,0.011588,0.073073,-0.040593,-0.144858,0.067135,0.022781,-0.098428,0.124097,-0.062555,-0.013313,0.158047,0.030160,0.075440,0.019864,0.153707,0.077704,-0.118148,0.230668,-0.059595,-0.101984,-0.298806,0.012258,0.094210,0.023310,0.125980,0.168205,0.058609,0.083266,-0.065888,0.057688,0.070000,0.061443,-0.039583
francese,-0.042899,-0.063677,0.074421,-0.012110,-0.041335,0.007188,0.112197,-0.016294,-0.045245,0.046324,-0.068082,0.029114,-0.127476,0.057953,0.052164,0.020961,-0.062474,-0.086388,-0.038421,0.000285,-0.048196,-0.010244,0.000046,0.073934,-0.013353,-0.002527,-0.022545,0.105421,-0.050702,-0.018617,0.046317,-0.012720,-0.131424,-0.007728,0.028501,-0.031646,0.061776,-0.110595,-0.183979,0.086379,0.066554,0.089749,0.145235,0.135704,-0.178620,-0.093642,0.051861,-0.030891,0.025657,-0.001134,0.006569,0.067895,0.032558,0.031374,-0.120853,-0.008765,0.020671,0.011845,0.008222,0.142393,0.109735,0.008978,-0.023766,0.055140,0.000375,-0.073272,-0.090059,0.183044,-0.022017,0.024737,0.045944,-0.007596,-0.054641,-0.049313,0.057208,-0.001793,-0.060980,0.113478,0.021756,0.095063,-0.046376,-0.005967,-0.061441,0.013024,0.062928,0.163881,0.051754,-0.093164,0.025647,-0.085183,-0.081261,-0.055247,0.034801,0.004327,0.002195,0.048969,0.021084,-0.051649,-0.131797,0.045619,-0.043235,-0.019343,0.020669,0.088540,-0.029045,0.073069,-0.063871,0.008441,0.021322,-0.040638,0.014938,0.092683,0.093182,0.069633,0.133900,-0.086822,0.097623,-0.052318,-0.064442,-0.015493,-0.098090,-0.119743,0.013887,-0.043755,-0.027630,-0.043512,0.012402,-0.043296,0.014261,0.067595,0.024515,-0.022577,-0.047909,0.061343,0.081936,-0.010131,0.001452,-0.142749,0.052352,-0.008669,-0.060347,-0.022900,0.104021,-0.050893,-0.104420,0.025678,-0.005464,-0.084427,0.108655,0.029777,-0.001597,-0.000708,0.119350,0.031021,0.009368,-0.067034,-0.019676,0.138181,0.073593,-0.088948,0.081916,0.105399,0.064511,-0.050307,-0.050052,-0.013960,-0.079369,0.101606,0.109130,0.048897,-0.096406,0.054623,-0.006168,-0.117957,0.087994,0.030336,0.025605,0.109666,-0.022415,-0.002532,-0.042750,0.064328,0.035573,-0.036990,0.144230,-0.070691,-0.017494,-0.146866,-0.022252,0.017664,-0.029179,0.107690,0.136421,0.023186,0.124488,-0.048098,0.021816,0.093220,0.090985,-0.055792
