gold_name,method,experiment,variant,model_id,n_shared_full,rho,n_shared_dial_ext,rho2,root_kind,distances_csv
lexicostat_ldnd,word2vec,wiki_to_flores_oldi,oldi/centroid,word2vec__wiki_to_flores_oldi__oldi_centroid,13,0.8389,36,0.7151,experiments,analysis/word2vec/experiments/wiki_to_flores_oldi/evaluation_results/oldi/centroid/distances.csv
lexicostat_ldnd,word2vec,wiki_to_flores_oldi,flores/centroid,word2vec__wiki_to_flores_oldi__flores_centroid,13,0.8339,36,0.7035,experiments,analysis/word2vec/experiments/wiki_to_flores_oldi/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,fasttext,wiki_to_flores_oldi,oldi/centroid,fasttext__wiki_to_flores_oldi__oldi_centroid,13,0.8222,36,0.7130,experiments,analysis/fasttext/experiments/wiki_to_flores_oldi/evaluation_results/oldi/centroid/distances.csv
lexicostat_ldnd,fasttext,wiki_to_flores_oldi,flores/centroid,fasttext__wiki_to_flores_oldi__flores_centroid,13,0.8190,36,0.7135,experiments,analysis/fasttext/experiments/wiki_to_flores_oldi/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,tfidf,wiki,word,tfidf__wiki__word,5,0.7697,0,,old_experiments,analysis/tfidf/old_experiments/wiki/evaluation_results/word/distances.csv
lexicostat_ldnd,tfidf,wiki,char,tfidf__wiki__char,5,0.7333,0,,old_experiments,analysis/tfidf/old_experiments/wiki/evaluation_results/char/distances.csv
lexicostat_ldnd,canine,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,canine__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,13,0.7194,36,0.7755,experiments,analysis/canine/experiments/mlm_wiki_then_tlm_oldi_to_flores/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,tfidf,wiki_only,word,tfidf__wiki_only__word,13,0.7097,36,0.5897,experiments,analysis/tfidf/experiments/wiki_only/evaluation_results/word/distances.csv
lexicostat_ldnd,tfidf,wiki_only,char,tfidf__wiki_only__char,13,0.6822,36,0.5936,experiments,analysis/tfidf/experiments/wiki_only/evaluation_results/char/distances.csv
lexicostat_ldnd,canine,mlm_wiki_to_flores_oldi,flores/centroid,canine__mlm_wiki_to_flores_oldi__flores_centroid,13,0.6230,36,0.6888,experiments,analysis/canine/experiments/mlm_wiki_to_flores_oldi/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,canine,mlm_wiki_to_flores_oldi,oldi/centroid,canine__mlm_wiki_to_flores_oldi__oldi_centroid,13,0.5879,36,0.6541,experiments,analysis/canine/experiments/mlm_wiki_to_flores_oldi/evaluation_results/oldi/centroid/distances.csv
lexicostat_ldnd,canine,tlm_oldi_to_flores,flores/centroid,canine__tlm_oldi_to_flores__flores_centroid,13,0.5518,36,0.5900,experiments,analysis/canine/experiments/tlm_oldi_to_flores/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,fasttext,wiki,fasttext,fasttext__wiki__fasttext,5,0.3818,0,,old_experiments,analysis/fasttext/old_experiments/wiki/evaluation_results/fasttext/distances.csv
lexicostat_ldnd,multilingual_xlmr,mlm_wiki_to_flores_oldi,oldi/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__oldi_centroid,13,0.2381,36,0.2564,experiments,analysis/multilingual_xlmr/experiments/mlm_wiki_to_flores_oldi/evaluation_results/oldi/centroid/distances.csv
lexicostat_ldnd,multilingual_xlmr,mlm_wiki_to_flores_oldi,flores/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__flores_centroid,13,0.2289,36,0.2450,experiments,analysis/multilingual_xlmr/experiments/mlm_wiki_to_flores_oldi/evaluation_results/flores/centroid/distances.csv
lexicostat_ldnd,fasttext,wiki,bpe,fasttext__wiki__bpe,5,0.1758,0,,old_experiments,analysis/fasttext/old_experiments/wiki/evaluation_results/bpe/distances.csv
