,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.175267,0.139225,0.156256,0.103131,0.157176,0.134580,0.325552,0.325966,0.316353,0.324772,0.310248,0.354072,0.300417,0.322931,0.322757
siciliano,0.175267,0.000000,0.059833,0.075622,0.071289,0.062624,0.100892,0.342176,0.345623,0.329075,0.327946,0.325913,0.370450,0.320216,0.333746,0.328912
lombardo,0.139225,0.059833,0.000000,0.061830,0.038750,0.034761,0.065361,0.359958,0.365706,0.347506,0.349437,0.344564,0.400019,0.337781,0.356868,0.350816
sardo,0.156256,0.075622,0.061830,0.000000,0.047923,0.064696,0.068555,0.358580,0.359103,0.349747,0.353063,0.344361,0.398593,0.338329,0.354939,0.349763
ligure,0.103131,0.071289,0.038750,0.047923,0.000000,0.043054,0.062005,0.293623,0.298085,0.285091,0.285102,0.279499,0.329984,0.271736,0.289988,0.285793
friulano,0.157176,0.062624,0.034761,0.064696,0.043054,0.000000,0.090645,0.302645,0.305494,0.293934,0.290292,0.288064,0.338149,0.283973,0.299451,0.292583
ladino,0.134580,0.100892,0.065361,0.068555,0.062005,0.090645,0.000000,0.444949,0.452196,0.435670,0.438972,0.424920,0.484238,0.419645,0.439977,0.440035
italiano,0.325552,0.342176,0.359958,0.358580,0.293623,0.302645,0.444949,0.000000,0.003427,0.003568,0.005699,0.004538,0.010070,0.008291,0.007209,0.004818
spagnolo,0.325966,0.345623,0.365706,0.359103,0.298085,0.305494,0.452196,0.003427,0.000000,0.005272,0.005924,0.006401,0.010799,0.009357,0.008236,0.006087
francese,0.316353,0.329075,0.347506,0.349747,0.285091,0.293934,0.435670,0.003568,0.005272,0.000000,0.003515,0.003177,0.009037,0.007718,0.006149,0.003434
catalano,0.324772,0.327946,0.349437,0.353063,0.285102,0.290292,0.438972,0.005699,0.005924,0.003515,0.000000,0.004785,0.008720,0.009620,0.007108,0.004624
tedesco,0.310248,0.325913,0.344564,0.344361,0.279499,0.288064,0.424920,0.004538,0.006401,0.003177,0.004785,0.000000,0.010453,0.008757,0.007312,0.003995
inglese,0.354072,0.370450,0.400019,0.398593,0.329984,0.338149,0.484238,0.010070,0.010799,0.009037,0.008720,0.010453,0.000000,0.016721,0.013139,0.010365
greco,0.300417,0.320216,0.337781,0.338329,0.271736,0.283973,0.419645,0.008291,0.009357,0.007718,0.009620,0.008757,0.016721,0.000000,0.009817,0.009788
arabo,0.322931,0.333746,0.356868,0.354939,0.289988,0.299451,0.439977,0.007209,0.008236,0.006149,0.007108,0.007312,0.013139,0.009817,0.000000,0.007251
sloveno,0.322757,0.328912,0.350816,0.349763,0.285793,0.292583,0.440035,0.004818,0.006087,0.003434,0.004624,0.003995,0.010365,0.009788,0.007251,0.000000
