# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.102107,family_labels
davies_bouldin,1.255049,family_labels
calinski_harabasz,2.316090,family_labels
cophenetic_correlation,0.695448,hierarchical
adjusted_rand_index,0.083994,hierarchical_cut
normalized_mutual_info,0.566542,hierarchical_cut
v_measure,0.566542,hierarchical_cut
adjusted_rand_index,0.120934,kmeans
normalized_mutual_info,0.593264,kmeans
v_measure,0.593264,kmeans

# Per-variety silhouette scores
variety,family,silhouette
sc,italo_romance,0.508619
lij,italo_romance,0.467437
lmo,italo_romance,0.412016
vec,italo_romance,0.357390
fur,italo_romance,0.351225
scn,italo_romance,0.291706
ita,italian,0.000000
eng,english,0.000000
deu,germanic,0.000000
hun,uralic,0.000000
hrv,slavic,-0.167498
cat,romance,-0.511247
slv,slavic,-0.578779
oci,romance,-0.601925
fra,romance,-0.696183
por,romance,-0.716572
spa,romance,-0.852011
