,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.072419,0.085464,0.071488,0.073919,0.125472,0.325037,0.240142,0.165855,0.097200,0.128591,0.109887,0.132176,0.351122,0.181379,0.136766,0.175850
lij,0.072419,0.000000,0.072077,0.067066,0.082084,0.070082,0.378714,0.283963,0.199455,0.091409,0.150742,0.093399,0.136595,0.413844,0.216950,0.149228,0.196034
lmo,0.085464,0.072077,0.000000,0.064196,0.087547,0.107263,0.321726,0.249382,0.174500,0.118064,0.132824,0.140495,0.141687,0.349166,0.175762,0.130033,0.157344
sc,0.071488,0.067066,0.064196,0.000000,0.074127,0.101988,0.367192,0.277307,0.204466,0.102110,0.150936,0.094618,0.154204,0.396070,0.220095,0.154771,0.201687
scn,0.073919,0.082084,0.087547,0.074127,0.000000,0.120385,0.343775,0.263913,0.168382,0.089280,0.121217,0.121139,0.123695,0.342870,0.177843,0.113760,0.157765
vec,0.125472,0.070082,0.107263,0.101988,0.120385,0.000000,0.543867,0.428263,0.294139,0.077652,0.212546,0.053890,0.163455,0.563354,0.305806,0.154722,0.262930
ita,0.325037,0.378714,0.321726,0.367192,0.343775,0.543867,0.000000,0.031736,0.095575,0.372031,0.149273,0.567731,0.269793,0.049268,0.103096,0.271618,0.146476
spa,0.240142,0.283963,0.249382,0.277307,0.263913,0.428263,0.031736,0.000000,0.065692,0.264864,0.100228,0.427005,0.201401,0.083717,0.083623,0.215456,0.119750
fra,0.165855,0.199455,0.174500,0.204466,0.168382,0.294139,0.095575,0.065692,0.000000,0.144443,0.025742,0.306764,0.082543,0.109366,0.037639,0.091263,0.041216
cat,0.097200,0.091409,0.118064,0.102110,0.089280,0.077652,0.372031,0.264864,0.144443,0.000000,0.091005,0.063924,0.068943,0.385174,0.160646,0.065237,0.137076
por,0.128591,0.150742,0.132824,0.150936,0.121217,0.212546,0.149273,0.100228,0.025742,0.091005,0.000000,0.229633,0.051942,0.163400,0.042573,0.051129,0.031645
oci,0.109887,0.093399,0.140495,0.094618,0.121139,0.053890,0.567731,0.427005,0.306764,0.063924,0.229633,0.000000,0.173037,0.585565,0.326496,0.178525,0.291698
deu,0.132176,0.136595,0.141687,0.154204,0.123695,0.163455,0.269793,0.201401,0.082543,0.068943,0.051942,0.173037,0.000000,0.273671,0.115736,0.068196,0.079479
eng,0.351122,0.413844,0.349166,0.396070,0.342870,0.563354,0.049268,0.083717,0.109366,0.385174,0.163400,0.585565,0.273671,0.000000,0.107660,0.260026,0.148158
slv,0.181379,0.216950,0.175762,0.220095,0.177843,0.305806,0.103096,0.083623,0.037639,0.160646,0.042573,0.326496,0.115736,0.107660,0.000000,0.062629,0.026381
hrv,0.136766,0.149228,0.130033,0.154771,0.113760,0.154722,0.271618,0.215456,0.091263,0.065237,0.051129,0.178525,0.068196,0.260026,0.062629,0.000000,0.052139
hun,0.175850,0.196034,0.157344,0.201687,0.157765,0.262930,0.146476,0.119750,0.041216,0.137076,0.031645,0.291698,0.079479,0.148158,0.026381,0.052139,0.000000
