dialect_code,dialect_name,rank,language_code,language_name,cosine_similarity
veneto,Venetian,1,arabo,Arabic,0.9559367895126343
veneto,Venetian,2,inglese,English,0.9523754119873047
veneto,Venetian,3,italiano,Italian,0.9500240087509155
veneto,Venetian,4,catalano,Catalan,0.9483128786087036
veneto,Venetian,5,spagnolo,Spanish,0.9471682906150818
veneto,Venetian,6,greco,Greek,0.9408314824104309
veneto,Venetian,7,sloveno,Slovenian,0.9398703575134277
veneto,Venetian,8,francese,French,0.9397566914558411
veneto,Venetian,9,tedesco,German,0.9288598895072937
siciliano,Sicilian,1,inglese,English,0.9438668489456177
siciliano,Sicilian,2,arabo,Arabic,0.9215350151062012
siciliano,Sicilian,3,catalano,Catalan,0.9060264825820923
siciliano,Sicilian,4,italiano,Italian,0.9055096507072449
siciliano,Sicilian,5,spagnolo,Spanish,0.900604248046875
siciliano,Sicilian,6,sloveno,Slovenian,0.896784782409668
siciliano,Sicilian,7,greco,Greek,0.8932832479476929
siciliano,Sicilian,8,francese,French,0.8913787603378296
siciliano,Sicilian,9,tedesco,German,0.8756569623947144
lombardo,Lombard,1,inglese,English,0.8927867412567139
lombardo,Lombard,2,arabo,Arabic,0.8626766204833984
lombardo,Lombard,3,italiano,Italian,0.8499537706375122
lombardo,Lombard,4,spagnolo,Spanish,0.8469107747077942
lombardo,Lombard,5,catalano,Catalan,0.8454203009605408
lombardo,Lombard,6,greco,Greek,0.832854151725769
lombardo,Lombard,7,sloveno,Slovenian,0.8326736688613892
lombardo,Lombard,8,francese,French,0.8310446739196777
lombardo,Lombard,9,tedesco,German,0.8152042627334595
sardo,Sardinian,1,inglese,English,0.8889684677124023
sardo,Sardinian,2,arabo,Arabic,0.8769839406013489
sardo,Sardinian,3,italiano,Italian,0.8693289756774902
sardo,Sardinian,4,spagnolo,Spanish,0.8678080439567566
sardo,Sardinian,5,catalano,Catalan,0.8608106374740601
sardo,Sardinian,6,greco,Greek,0.8519699573516846
sardo,Sardinian,7,sloveno,Slovenian,0.851016640663147
sardo,Sardinian,8,francese,French,0.8502871990203857
sardo,Sardinian,9,tedesco,German,0.8361473083496094
ligure,Ligurian,1,inglese,English,0.9257136583328247
ligure,Ligurian,2,arabo,Arabic,0.9056367874145508
ligure,Ligurian,3,italiano,Italian,0.8972277641296387
ligure,Ligurian,4,spagnolo,Spanish,0.8943071961402893
ligure,Ligurian,5,catalano,Catalan,0.8903768062591553
ligure,Ligurian,6,greco,Greek,0.8801602125167847
ligure,Ligurian,7,sloveno,Slovenian,0.8776189088821411
ligure,Ligurian,8,francese,French,0.8775898218154907
ligure,Ligurian,9,tedesco,German,0.862238347530365
friulano,Friulian,1,inglese,English,0.9144416451454163
friulano,Friulian,2,arabo,Arabic,0.8855658173561096
friulano,Friulian,3,italiano,Italian,0.8683506846427917
friulano,Friulian,4,spagnolo,Spanish,0.8649468421936035
friulano,Friulian,5,catalano,Catalan,0.8615625500679016
friulano,Friulian,6,greco,Greek,0.8496872782707214
friulano,Friulian,7,sloveno,Slovenian,0.8479006290435791
friulano,Friulian,8,francese,French,0.8473815321922302
friulano,Friulian,9,tedesco,German,0.8290071487426758
ladino,Ladin,1,inglese,English,0.84746253490448
ladino,Ladin,2,arabo,Arabic,0.798037588596344
ladino,Ladin,3,italiano,Italian,0.7777731418609619
ladino,Ladin,4,catalano,Catalan,0.7767108678817749
ladino,Ladin,5,spagnolo,Spanish,0.7716883420944214
ladino,Ladin,6,greco,Greek,0.761999785900116
ladino,Ladin,7,sloveno,Slovenian,0.7607889175415039
ladino,Ladin,8,francese,French,0.7576253414154053
ladino,Ladin,9,tedesco,German,0.7358689308166504
