method,dialect,sibl_mean,rom_mean,nonrom_mean,ext_min,ext_mean,rank_sibl_mean,rank_rom_mean,rank_nonrom_mean,rank_ext_min,rank_ext_mean
CANINE zero-shot,fur,0.0509,0.0596,0.0921,0.0528,0.0744,5,4,4,5,4
CANINE zero-shot,lij,0.0392,0.0485,0.0893,0.0379,0.0670,1,3,3,3,3
CANINE zero-shot,lmo,0.0448,0.0777,0.1144,0.0524,0.0944,3,5,5,4,5
CANINE zero-shot,sc,0.0463,0.0447,0.0853,0.0280,0.0632,4,1,2,1,2
CANINE zero-shot,scn,0.0586,0.0955,0.1245,0.0729,0.1087,6,6,6,6,6
CANINE zero-shot,vec,0.0444,0.0467,0.0823,0.0360,0.0629,2,2,1,2,1
CANINE-MLM,fur,0.0700,0.0346,0.1202,0.0255,0.0735,3,4,1,4,1
CANINE-MLM,lij,0.0808,0.0488,0.1498,0.0306,0.0947,5,5,5,5,5
CANINE-MLM,lmo,0.0648,0.0344,0.1372,0.0157,0.0811,1,3,3,1,3
CANINE-MLM,sc,0.0653,0.0341,0.1423,0.0246,0.0833,2,2,4,3,4
CANINE-MLM,scn,0.0938,0.0881,0.2044,0.0765,0.1410,6,6,6,6,6
CANINE-MLM,vec,0.0700,0.0298,0.1358,0.0166,0.0780,4,1,2,2,2
XLM-R zero-shot,fur,0.0003,0.0043,0.0050,0.0015,0.0046,2,5,5,5,5
XLM-R zero-shot,lij,0.0003,0.0038,0.0045,0.0012,0.0041,1,2,2,3,2
XLM-R zero-shot,lmo,0.0004,0.0039,0.0048,0.0010,0.0043,3,3,4,1,3
XLM-R zero-shot,sc,0.0005,0.0041,0.0047,0.0012,0.0043,5,4,3,2,4
XLM-R zero-shot,scn,0.0005,0.0046,0.0052,0.0019,0.0049,6,6,6,6,6
XLM-R zero-shot,vec,0.0004,0.0038,0.0043,0.0013,0.0040,4,1,1,4,1
XLM-R MLM,fur,0.0061,0.0041,0.0055,0.0018,0.0047,4,3,3,3,3
XLM-R MLM,lij,0.0061,0.0042,0.0059,0.0022,0.0050,3,4,4,4,4
XLM-R MLM,lmo,0.0053,0.0036,0.0053,0.0014,0.0044,2,2,2,2,2
XLM-R MLM,sc,0.0066,0.0045,0.0068,0.0037,0.0056,5,5,5,5,5
XLM-R MLM,scn,0.0070,0.0070,0.0087,0.0044,0.0078,6,6,6,6,6
XLM-R MLM,vec,0.0052,0.0023,0.0035,0.0013,0.0029,1,1,1,1,1
LaBSE zero-shot,fur,0.0617,0.1541,0.1653,0.0965,0.1592,3,5,5,4,5
LaBSE zero-shot,lij,0.0502,0.1213,0.1336,0.0742,0.1269,1,3,3,3,3
LaBSE zero-shot,lmo,0.0626,0.1756,0.1847,0.1219,0.1797,4,6,6,6,6
LaBSE zero-shot,sc,0.0865,0.1493,0.1617,0.1072,0.1549,6,4,4,5,4
LaBSE zero-shot,scn,0.0703,0.1122,0.1167,0.0634,0.1142,5,2,2,2,2
LaBSE zero-shot,vec,0.0565,0.0581,0.0683,0.0301,0.0628,2,1,1,1,1
LaBSE MNRL,fur,0.0858,0.1778,0.1955,0.0972,0.1858,4,1,3,5,2
LaBSE MNRL,lij,0.0727,0.1996,0.2225,0.0914,0.2100,1,5,4,3,4
LaBSE MNRL,lmo,0.0833,0.1895,0.1908,0.1181,0.1901,3,3,2,6,3
LaBSE MNRL,sc,0.0758,0.1994,0.2254,0.0946,0.2112,2,4,5,4,5
LaBSE MNRL,scn,0.0876,0.1846,0.1832,0.0893,0.1840,5,2,1,2,1
LaBSE MNRL,vec,0.1050,0.2684,0.2901,0.0539,0.2782,6,6,6,1,6
FastText (norm),fur,0.1754,0.1317,0.5261,0.1035,0.3110,4,3,5,4,4
FastText (norm),lij,0.1566,0.1570,0.4844,0.0740,0.3058,3,4,3,3,3
FastText (norm),lmo,0.1388,0.0930,0.4411,0.0487,0.2512,2,1,1,1,1
FastText (norm),sc,0.1982,0.1764,0.5031,0.1370,0.3249,5,5,4,5,5
FastText (norm),scn,0.2478,0.3222,0.5954,0.1845,0.4464,6,6,6,6,6
FastText (norm),vec,0.1283,0.1198,0.4569,0.0519,0.2730,1,2,2,2,2
FastText (native),fur,0.2425,0.2106,0.5313,0.1820,0.3564,4,3,5,5,4
FastText (native),lij,0.2418,0.2661,0.5206,0.1544,0.3818,3,5,4,3,5
FastText (native),lmo,0.2059,0.1826,0.4615,0.1285,0.3094,2,1,1,2,1
FastText (native),sc,0.2880,0.2184,0.5161,0.1712,0.3537,5,4,3,4,3
FastText (native),scn,0.3158,0.4099,0.6000,0.2512,0.4963,6,6,6,6,6
FastText (native),vec,0.1921,0.1993,0.4726,0.1008,0.3235,1,2,2,1,2
Word2Vec (norm),fur,0.1959,0.2399,0.4122,0.1969,0.3182,4,4,4,5,4
