,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.000526,0.000383,0.000403,0.000245,0.000330,0.000550,0.003310,0.003441,0.004135,0.005954,0.004967,0.002966,0.004124,0.003983,0.004095
siciliano,0.000526,0.000000,0.000503,0.000720,0.000373,0.000380,0.000915,0.003679,0.004520,0.004977,0.006713,0.005906,0.004019,0.004961,0.004860,0.005008
lombardo,0.000383,0.000503,0.000000,0.000380,0.000242,0.000321,0.000426,0.003946,0.003754,0.004286,0.005530,0.005412,0.003441,0.004588,0.004609,0.004651
sardo,0.000403,0.000720,0.000380,0.000000,0.000361,0.000366,0.000415,0.004228,0.003622,0.004434,0.006221,0.005478,0.003324,0.004570,0.004616,0.004541
ligure,0.000245,0.000373,0.000242,0.000361,0.000000,0.000189,0.000441,0.003486,0.003629,0.004040,0.006001,0.005173,0.003245,0.004321,0.004276,0.004377
friulano,0.000330,0.000380,0.000321,0.000366,0.000189,0.000000,0.000393,0.003963,0.004120,0.004412,0.006594,0.005662,0.003609,0.004839,0.004666,0.004735
ladino,0.000550,0.000915,0.000426,0.000415,0.000441,0.000393,0.000000,0.005099,0.004355,0.005043,0.007282,0.006219,0.003847,0.005239,0.005144,0.005185
italiano,0.003310,0.003679,0.003946,0.004228,0.003486,0.003963,0.005099,0.000000,0.001827,0.001926,0.003479,0.002523,0.001982,0.002053,0.002606,0.002601
spagnolo,0.003441,0.004520,0.003754,0.003622,0.003629,0.004120,0.004355,0.001827,0.000000,0.001849,0.003161,0.002363,0.001493,0.001906,0.002280,0.002522
francese,0.004135,0.004977,0.004286,0.004434,0.004040,0.004412,0.005043,0.001926,0.001849,0.000000,0.003196,0.002234,0.001852,0.002171,0.002874,0.002944
catalano,0.005954,0.006713,0.005530,0.006221,0.006001,0.006594,0.007282,0.003479,0.003161,0.003196,0.000000,0.004069,0.003983,0.003956,0.004465,0.005043
tedesco,0.004967,0.005906,0.005412,0.005478,0.005173,0.005662,0.006219,0.002523,0.002363,0.002234,0.004069,0.000000,0.001769,0.001985,0.002403,0.002957
inglese,0.002966,0.004019,0.003441,0.003324,0.003245,0.003609,0.003847,0.001982,0.001493,0.001852,0.003983,0.001769,0.000000,0.001590,0.002166,0.002107
greco,0.004124,0.004961,0.004588,0.004570,0.004321,0.004839,0.005239,0.002053,0.001906,0.002171,0.003956,0.001985,0.001590,0.000000,0.001714,0.002327
arabo,0.003983,0.004860,0.004609,0.004616,0.004276,0.004666,0.005144,0.002606,0.002280,0.002874,0.004465,0.002403,0.002166,0.001714,0.000000,0.002823
sloveno,0.004095,0.005008,0.004651,0.004541,0.004377,0.004735,0.005185,0.002601,0.002522,0.002944,0.005043,0.002957,0.002107,0.002327,0.002823,0.000000
