,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.037952,0.060904,0.025923,0.071677,0.032480,0.030830,0.133865,0.035385,0.015246,0.027309,0.009135,0.015520,0.001839,0.000489,0.010535
siciliano,0.037952,1.000000,0.027193,0.030351,0.025387,0.015823,0.017044,0.063135,0.010845,0.008630,0.014788,0.007596,0.011471,0.001722,0.000449,0.007490
lombardo,0.060904,0.027193,1.000000,0.021319,0.030485,0.035181,0.035399,0.044387,0.020357,0.018709,0.035680,0.010710,0.019867,0.001896,0.000471,0.008159
sardo,0.025923,0.030351,0.021319,1.000000,0.022003,0.012008,0.018596,0.031082,0.032069,0.012561,0.024470,0.008676,0.013196,0.001631,0.000419,0.006230
ligure,0.071677,0.025387,0.030485,0.022003,1.000000,0.025000,0.023119,0.079526,0.021649,0.015163,0.017263,0.010217,0.017959,0.001872,0.000459,0.007596
friulano,0.032480,0.015823,0.035181,0.012008,0.025000,1.000000,0.025758,0.030675,0.010614,0.024876,0.022259,0.009471,0.016595,0.001623,0.000413,0.008124
ladino,0.030830,0.017044,0.035399,0.018596,0.023119,0.025758,1.000000,0.025250,0.018254,0.020605,0.027533,0.011064,0.018539,0.001896,0.000416,0.008770
italiano,0.133865,0.063135,0.044387,0.031082,0.079526,0.030675,0.025250,1.000000,0.029361,0.015671,0.021264,0.010000,0.016076,0.001870,0.000448,0.007790
spagnolo,0.035385,0.010845,0.020357,0.032069,0.021649,0.010614,0.018254,0.029361,1.000000,0.017038,0.066588,0.007161,0.012113,0.001500,0.000397,0.005955
francese,0.015246,0.008630,0.018709,0.012561,0.015163,0.024876,0.020605,0.015671,0.017038,1.000000,0.035904,0.013064,0.031794,0.001720,0.000401,0.006042
catalano,0.027309,0.014788,0.035680,0.024470,0.017263,0.022259,0.027533,0.021264,0.066588,0.035904,1.000000,0.010371,0.021228,0.001668,0.000480,0.007213
tedesco,0.009135,0.007596,0.010710,0.008676,0.010217,0.009471,0.011064,0.010000,0.007161,0.013064,0.010371,1.000000,0.023669,0.001733,0.000414,0.007652
inglese,0.015520,0.011471,0.019867,0.013196,0.017959,0.016595,0.018539,0.016076,0.012113,0.031794,0.021228,0.023669,1.000000,0.002938,0.000590,0.008005
greco,0.001839,0.001722,0.001896,0.001631,0.001872,0.001623,0.001896,0.001870,0.001500,0.001720,0.001668,0.001733,0.002938,1.000000,0.000288,0.001348
arabo,0.000489,0.000449,0.000471,0.000419,0.000459,0.000413,0.000416,0.000448,0.000397,0.000401,0.000480,0.000414,0.000590,0.000288,1.000000,0.000411
sloveno,0.010535,0.007490,0.008159,0.006230,0.007596,0.008124,0.008770,0.007790,0.005955,0.006042,0.007213,0.007652,0.008005,0.001348,0.000411,1.000000
