family,n_members,mean_intra_dist,std_intra_dist,mean_inter_dist,std_inter_dist,cohesion_ratio
slavic,2,0.096162,0.000000,0.559682,0.078355,5.820169
iberian_rom,3,0.127715,0.052413,0.327657,0.160604,2.565525
cisalpine,3,0.153177,0.032172,0.320044,0.146822,2.089377
gallo_romance,2,0.178423,0.000000,0.348282,0.180634,1.952005
english,1,,,0.404293,0.117783,
germanic,1,,,0.541648,0.062444,
rhaeto_romance,1,,,0.320787,0.166581,
sardinian,1,,,0.333161,0.141738,
south_italo,1,,,0.439864,0.134458,
tuscan,1,,,0.297143,0.166537,
uralic,1,,,0.659855,0.051402,
