,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.760114,0.845717,0.723236,0.638356,0.820190,0.815445,0.760278,0.818018,0.809388,0.735085,0.798289,0.474656,0.718710,0.395183,0.402913,0.351837
lij,0.760114,1.000000,0.802955,0.674586,0.694873,0.858307,0.845611,0.711630,0.678078,0.693667,0.770345,0.704077,0.449359,0.625354,0.481588,0.481250,0.359648
lmo,0.845717,0.802955,1.000000,0.739051,0.703362,0.879207,0.808227,0.814788,0.785681,0.867502,0.756507,0.871462,0.553198,0.698508,0.510203,0.521019,0.409517
sc,0.723236,0.674586,0.739051,1.000000,0.663145,0.760230,0.790283,0.828790,0.709496,0.790028,0.805376,0.765572,0.476551,0.630663,0.480696,0.512534,0.319182
scn,0.638356,0.694873,0.703362,0.663145,1.000000,0.721378,0.748757,0.555176,0.501481,0.581036,0.576714,0.577723,0.326102,0.484573,0.448927,0.477212,0.263357
vec,0.820190,0.858307,0.879207,0.760230,0.721378,1.000000,0.899152,0.814009,0.710682,0.793892,0.819333,0.767132,0.489582,0.674117,0.581038,0.578458,0.314024
ita,0.815445,0.845611,0.808227,0.790283,0.748757,0.899152,1.000000,0.815832,0.734163,0.790344,0.806470,0.764620,0.474816,0.672506,0.507271,0.494573,0.277642
spa,0.760278,0.711630,0.814788,0.828790,0.555176,0.814009,0.815832,1.000000,0.781898,0.920064,0.897472,0.897884,0.521076,0.681217,0.481321,0.467824,0.377688
fra,0.818018,0.678078,0.785681,0.709496,0.501481,0.710682,0.734163,0.781898,1.000000,0.817852,0.688678,0.821577,0.528935,0.695333,0.358035,0.361199,0.329041
cat,0.809388,0.693667,0.867502,0.790028,0.581036,0.793892,0.790344,0.920064,0.817852,1.000000,0.799318,0.947562,0.496634,0.692180,0.424290,0.423717,0.380659
por,0.735085,0.770345,0.756507,0.805376,0.576714,0.819333,0.806470,0.897472,0.688678,0.799318,1.000000,0.760738,0.448772,0.645621,0.507582,0.507936,0.391093
oci,0.798289,0.704077,0.871462,0.765572,0.577723,0.767132,0.764620,0.897884,0.821577,0.947562,0.760738,1.000000,0.442445,0.641548,0.390005,0.388150,0.335754
deu,0.474656,0.449359,0.553198,0.476551,0.326102,0.489582,0.474816,0.521076,0.528935,0.496634,0.448772,0.442445,1.000000,0.512073,0.377006,0.350807,0.411626
eng,0.718710,0.625354,0.698508,0.630663,0.484573,0.674117,0.672506,0.681217,0.695333,0.692180,0.645621,0.641548,0.512073,1.000000,0.389672,0.378563,0.390681
slv,0.395183,0.481588,0.510203,0.480696,0.448927,0.581038,0.507271,0.481321,0.358035,0.424290,0.507582,0.390005,0.377006,0.389672,1.000000,0.903838,0.291373
hrv,0.402913,0.481250,0.521019,0.512534,0.477212,0.578458,0.494573,0.467824,0.361199,0.423717,0.507936,0.388150,0.350807,0.378563,0.903838,1.000000,0.239204
hun,0.351837,0.359648,0.409517,0.319182,0.263357,0.314024,0.277642,0.377688,0.329041,0.380659,0.391093,0.335754,0.411626,0.390681,0.291373,0.239204,1.000000
