,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.762735,0.830385,0.728247,0.638616,0.802660,0.804199,0.797348,0.819963,0.831440,0.739380,0.826358,0.514164,0.679087,0.393819,0.391053,0.236205
lij,0.762735,1.000000,0.791203,0.729311,0.708679,0.854943,0.852967,0.781506,0.718886,0.756363,0.790116,0.755358,0.481447,0.626448,0.489548,0.483727,0.301231
lmo,0.830385,0.791203,1.000000,0.754106,0.679431,0.847856,0.812760,0.844400,0.798449,0.867778,0.771903,0.859498,0.552666,0.670976,0.518281,0.507389,0.301410
sc,0.728247,0.729311,0.754106,1.000000,0.690507,0.770970,0.773943,0.813356,0.713995,0.776012,0.796580,0.760969,0.463913,0.605067,0.490492,0.501538,0.275804
scn,0.638616,0.708679,0.679431,0.690507,1.000000,0.718399,0.754384,0.615422,0.548187,0.616986,0.615533,0.608471,0.304293,0.493623,0.456070,0.460090,0.170528
vec,0.802660,0.854943,0.847856,0.770970,0.718399,1.000000,0.884970,0.838666,0.743612,0.810192,0.810030,0.790083,0.491611,0.632525,0.578909,0.557007,0.246482
ita,0.804199,0.852967,0.812760,0.773943,0.754384,0.884970,1.000000,0.808498,0.740326,0.788822,0.786760,0.770820,0.461054,0.633853,0.476346,0.458842,0.234329
spa,0.797348,0.781506,0.844400,0.813356,0.615422,0.838666,0.808498,1.000000,0.810038,0.909007,0.873739,0.893666,0.548492,0.673363,0.493363,0.472182,0.363568
fra,0.819963,0.718886,0.798449,0.713995,0.548187,0.743612,0.740326,0.810038,1.000000,0.832966,0.705855,0.841656,0.587286,0.704946,0.394880,0.386667,0.317949
cat,0.831440,0.756363,0.867778,0.776012,0.616986,0.810192,0.788822,0.909007,0.832966,1.000000,0.806870,0.930566,0.546337,0.691718,0.452685,0.438740,0.367205
por,0.739380,0.790116,0.771903,0.796580,0.615533,0.810030,0.786760,0.873739,0.705855,0.806870,1.000000,0.782037,0.460430,0.625281,0.497317,0.495515,0.351088
oci,0.826358,0.755358,0.859498,0.760969,0.608471,0.790083,0.770820,0.893666,0.841656,0.930566,0.782037,1.000000,0.510007,0.659771,0.418583,0.405752,0.333058
deu,0.514164,0.481447,0.552666,0.463913,0.304293,0.491611,0.461054,0.548492,0.587286,0.546337,0.460430,0.510007,1.000000,0.523333,0.354524,0.339159,0.396688
eng,0.679087,0.626448,0.670976,0.605067,0.493623,0.632525,0.633853,0.673363,0.704946,0.691718,0.625281,0.659771,0.523333,1.000000,0.376045,0.371337,0.381516
slv,0.393819,0.489548,0.518281,0.490492,0.456070,0.578909,0.476346,0.493363,0.394880,0.452685,0.497317,0.418583,0.354524,0.376045,1.000000,0.875925,0.286989
hrv,0.391053,0.483727,0.507389,0.501538,0.460090,0.557007,0.458842,0.472182,0.386667,0.438740,0.495515,0.405752,0.339159,0.371337,0.875925,1.000000,0.235216
hun,0.236205,0.301231,0.301410,0.275804,0.170528,0.246482,0.234329,0.363568,0.317949,0.367205,0.351088,0.333058,0.396688,0.381516,0.286989,0.235216,1.000000
