,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.004688,0.002709,0.007146,0.011212,0.003690,0.003661,0.006650,0.009030,0.003991,0.013206,0.011958,0.010203
lij,0.004688,0.000000,0.003814,0.009255,0.018872,0.001706,0.002949,0.004357,0.010133,0.005323,0.014076,0.010538,0.008946
lmo,0.002709,0.003814,0.000000,0.009902,0.014940,0.002245,0.004174,0.005907,0.009579,0.003411,0.012190,0.012194,0.009963
sc,0.007146,0.009255,0.009902,0.000000,0.017332,0.009467,0.010219,0.006939,0.008959,0.006510,0.018059,0.020180,0.013352
scn,0.011212,0.018872,0.014940,0.017332,0.000000,0.020694,0.016318,0.025962,0.029497,0.022165,0.030975,0.026697,0.027673
vec,0.003690,0.001706,0.002245,0.009467,0.020694,0.000000,0.002057,0.002717,0.008315,0.002667,0.013077,0.009615,0.008360
ita,0.003661,0.002949,0.004174,0.010219,0.016318,0.002057,0.000000,0.004229,0.008851,0.004260,0.015447,0.012147,0.009303
spa,0.006650,0.004357,0.005907,0.006939,0.025962,0.002717,0.004229,0.000000,0.004989,0.001976,0.014567,0.013275,0.009021
fra,0.009030,0.010133,0.009579,0.008959,0.029497,0.008315,0.008851,0.004989,0.000000,0.003429,0.009601,0.020810,0.009158
cat,0.003991,0.005323,0.003411,0.006510,0.022165,0.002667,0.004260,0.001976,0.003429,0.000000,0.011957,0.013960,0.007832
deu,0.013206,0.014076,0.012190,0.018059,0.030975,0.013077,0.015447,0.014567,0.009601,0.011957,0.000000,0.017664,0.008115
slv,0.011958,0.010538,0.012194,0.020180,0.026697,0.009615,0.012147,0.013275,0.020810,0.013960,0.017664,0.000000,0.013667
eng,0.010203,0.008946,0.009963,0.013352,0.027673,0.008360,0.009303,0.009021,0.009158,0.007832,0.008115,0.013667,0.000000
