,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.955782,0.945179,0.899947,0.946860,0.943539,0.850429,0.846497,0.827085,0.843280,0.805695,0.902665,0.808585,0.903485,0.828797,0.813010,0.819555
lij,0.955782,1.000000,0.961717,0.927942,0.937837,0.965601,0.883777,0.880265,0.861895,0.876370,0.844218,0.925777,0.846268,0.917602,0.862923,0.847876,0.857095
lmo,0.945179,0.961717,1.000000,0.920777,0.919670,0.939635,0.827509,0.823881,0.806246,0.822602,0.788029,0.878097,0.790307,0.877935,0.809244,0.794739,0.804406
sc,0.899947,0.927942,0.920777,1.000000,0.897135,0.921544,0.855708,0.853986,0.834561,0.846778,0.820093,0.892846,0.820597,0.879618,0.836468,0.821610,0.833422
scn,0.946860,0.937837,0.919670,0.897135,1.000000,0.947076,0.891013,0.885317,0.874770,0.891388,0.858109,0.926274,0.858331,0.936607,0.881614,0.867858,0.872317
vec,0.943539,0.965601,0.939635,0.921544,0.947076,1.000000,0.944154,0.940948,0.932613,0.942278,0.921293,0.969914,0.921530,0.948419,0.933400,0.925379,0.929534
ita,0.850429,0.883777,0.827509,0.855708,0.891013,0.944154,1.000000,0.998155,0.993958,0.995714,0.990162,0.984266,0.989604,0.947373,0.993814,0.990353,0.992046
spa,0.846497,0.880265,0.823881,0.853986,0.885317,0.940948,0.998155,1.000000,0.993215,0.994840,0.990372,0.983304,0.989231,0.941432,0.992379,0.989215,0.991286
fra,0.827085,0.861895,0.806246,0.834561,0.874770,0.932613,0.993958,0.993215,1.000000,0.996216,0.997121,0.975566,0.996599,0.931520,0.996378,0.996459,0.996547
cat,0.843280,0.876370,0.822602,0.846778,0.891388,0.942278,0.995714,0.994840,0.996216,1.000000,0.992750,0.984203,0.991644,0.945559,0.996272,0.994213,0.993875
por,0.805695,0.844218,0.788029,0.820093,0.858109,0.921293,0.990162,0.990372,0.997121,0.992750,1.000000,0.967281,0.997367,0.915849,0.994742,0.996771,0.996933
oci,0.902665,0.925777,0.878097,0.892846,0.926274,0.969914,0.984266,0.983304,0.975566,0.984203,0.967281,1.000000,0.967055,0.960361,0.975546,0.969494,0.971984
deu,0.808585,0.846268,0.790307,0.820597,0.858331,0.921530,0.989604,0.989231,0.996599,0.991644,0.997367,0.967055,1.000000,0.919254,0.993022,0.994742,0.995467
eng,0.903485,0.917602,0.877935,0.879618,0.936607,0.948419,0.947373,0.941432,0.931520,0.945559,0.915849,0.960361,0.919254,1.000000,0.938121,0.926162,0.927965
slv,0.828797,0.862923,0.809244,0.836468,0.881614,0.933400,0.993814,0.992379,0.996378,0.996272,0.994742,0.975546,0.993022,0.938121,1.000000,0.997821,0.996838
hrv,0.813010,0.847876,0.794739,0.821610,0.867858,0.925379,0.990353,0.989215,0.996459,0.994213,0.996771,0.969494,0.994742,0.926162,0.997821,1.000000,0.996764
hun,0.819555,0.857095,0.804406,0.833422,0.872317,0.929534,0.992046,0.991286,0.996547,0.993875,0.996933,0.971984,0.995467,0.927965,0.996838,0.996764,1.000000
