,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.011825,0.002266,0.006254,0.000945,0.002371,0.002512,0.007439,0.002102,0.002224,0.001911,0.005938,0.003499,0.004995,0.004335,0.001331
siciliano,0.011825,0.000000,0.009619,0.009222,0.008921,0.008961,0.010293,0.010817,0.013507,0.011433,0.011104,0.013083,0.012341,0.012016,0.011625,0.010885
lombardo,0.002266,0.009619,0.000000,0.007274,0.001045,0.000827,0.001039,0.010056,0.004909,0.003290,0.002015,0.007006,0.005378,0.007205,0.006076,0.003947
sardo,0.006254,0.009222,0.007274,0.000000,0.006126,0.006423,0.008216,0.009658,0.004740,0.004634,0.004432,0.007479,0.006030,0.006771,0.007535,0.005966
ligure,0.000945,0.008921,0.001045,0.006126,0.000000,0.000995,0.000980,0.008241,0.003793,0.002813,0.002204,0.006317,0.004404,0.005927,0.004535,0.002256
friulano,0.002371,0.008961,0.000827,0.006423,0.000995,0.000000,0.000604,0.011089,0.005303,0.003518,0.002614,0.007565,0.005184,0.007854,0.005620,0.003526
ladino,0.002512,0.010293,0.001039,0.008216,0.000980,0.000604,0.000000,0.012115,0.006228,0.004518,0.003665,0.008387,0.006242,0.008439,0.005978,0.004064
italiano,0.007439,0.010817,0.010056,0.009658,0.008241,0.011089,0.012115,0.000000,0.004656,0.005125,0.006153,0.005206,0.004873,0.003680,0.006215,0.005297
spagnolo,0.002102,0.013507,0.004909,0.004740,0.003793,0.005303,0.006228,0.004656,0.000000,0.000991,0.001200,0.003529,0.001817,0.002565,0.003692,0.001839
francese,0.002224,0.011433,0.003290,0.004634,0.002813,0.003518,0.004518,0.005125,0.000991,0.000000,0.000717,0.002998,0.001504,0.002713,0.003400,0.001879
catalano,0.001911,0.011104,0.002015,0.004432,0.002204,0.002614,0.003665,0.006153,0.001200,0.000717,0.000000,0.003734,0.002228,0.003715,0.004092,0.002237
tedesco,0.005938,0.013083,0.007006,0.007479,0.006317,0.007565,0.008387,0.005206,0.003529,0.002998,0.003734,0.000000,0.002733,0.002776,0.003527,0.004293
inglese,0.003499,0.012341,0.005378,0.006030,0.004404,0.005184,0.006242,0.004873,0.001817,0.001504,0.002228,0.002733,0.000000,0.002520,0.003090,0.002077
greco,0.004995,0.012016,0.007205,0.006771,0.005927,0.007854,0.008439,0.003680,0.002565,0.002713,0.003715,0.002776,0.002520,0.000000,0.002777,0.003346
arabo,0.004335,0.011625,0.006076,0.007535,0.004535,0.005620,0.005978,0.006215,0.003692,0.003400,0.004092,0.003527,0.003090,0.002777,0.000000,0.002908
sloveno,0.001331,0.010885,0.003947,0.005966,0.002256,0.003526,0.004064,0.005297,0.001839,0.001879,0.002237,0.004293,0.002077,0.003346,0.002908,0.000000
