,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,1.275178,0.907872,1.185834,1.058108,1.254757,1.305498,1.478627,0.306802,1.022453,1.067363,1.046620,1.244153
lij,1.275178,0.000000,1.076185,0.898654,1.132150,0.763061,0.902358,0.813905,1.346493,1.096989,1.308317,1.157937,1.129907
lmo,0.907872,1.076185,0.000000,1.198636,1.016951,0.990708,1.420169,1.240628,1.062140,0.353962,1.102966,0.941256,1.342251
sc,1.185834,0.898654,1.198636,0.000000,1.103654,1.087731,1.167257,0.584570,1.140275,0.908145,1.208089,1.154800,1.168833
scn,1.058108,1.132150,1.016951,1.103654,0.000000,1.120092,0.532915,1.524336,1.453633,1.490768,1.151219,1.197813,1.201563
vec,1.254757,0.763061,0.990708,1.087731,1.120092,0.000000,0.785944,0.566101,1.364372,1.080790,1.426585,0.984514,1.157705
ita,1.305498,0.902358,1.420169,1.167257,0.532915,0.785944,0.000000,0.897002,1.385788,1.541551,1.190280,1.496807,0.824206
spa,1.478627,0.813905,1.240628,0.584570,1.524336,0.566101,0.897002,0.000000,1.132035,0.717771,1.180483,1.052081,0.938249
fra,0.306802,1.346493,1.062140,1.140275,1.453633,1.364372,1.385788,1.132035,0.000000,0.774470,0.845291,0.952668,0.943102
cat,1.022453,1.096989,0.353962,0.908145,1.490768,1.080790,1.541551,0.717771,0.774470,0.000000,1.062520,0.786400,1.238821
deu,1.067363,1.308317,1.102966,1.208089,1.151219,1.426585,1.190280,1.180483,0.845291,1.062520,0.000000,0.905979,0.716372
slv,1.046620,1.157937,0.941256,1.154800,1.197813,0.984514,1.496807,1.052081,0.952668,0.786400,0.905979,0.000000,1.171748
eng,1.244153,1.129907,1.342251,1.168833,1.201563,1.157705,0.824206,0.938249,0.943102,1.238821,0.716372,1.171748,0.000000
