,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.929605,0.966643,0.964069,0.973580,0.949105,0.936336,0.959394,0.952823,0.950375,0.952154,0.925722,0.935906,0.679235,0.669070,0.922727
siciliano,0.929605,1.000000,0.949559,0.943462,0.942513,0.949522,0.921772,0.929572,0.897294,0.902177,0.906813,0.881396,0.883295,0.660836,0.669494,0.884682
lombardo,0.966643,0.949559,1.000000,0.955002,0.963656,0.939226,0.932643,0.927120,0.914330,0.923558,0.920165,0.891116,0.894459,0.656481,0.665505,0.885555
sardo,0.964069,0.943462,0.955002,1.000000,0.961638,0.948748,0.931770,0.949278,0.954253,0.958074,0.951991,0.933902,0.936098,0.667219,0.659277,0.907395
ligure,0.973580,0.942513,0.963656,0.961638,1.000000,0.964357,0.957827,0.958250,0.949192,0.946987,0.946952,0.912959,0.927689,0.676486,0.673864,0.918155
friulano,0.949105,0.949522,0.939226,0.948748,0.964357,1.000000,0.958819,0.947533,0.935649,0.941032,0.943990,0.914014,0.919201,0.660559,0.665061,0.919333
ladino,0.936336,0.921772,0.932643,0.931770,0.957827,0.958819,1.000000,0.925532,0.927629,0.928642,0.933882,0.892116,0.908358,0.664288,0.672315,0.903346
italiano,0.959394,0.929572,0.927120,0.949278,0.958250,0.947533,0.925532,1.000000,0.976850,0.963611,0.977102,0.945941,0.959395,0.683689,0.678665,0.943901
spagnolo,0.952823,0.897294,0.914330,0.954253,0.949192,0.935649,0.927629,0.976850,1.000000,0.978557,0.988017,0.949096,0.962711,0.697818,0.684876,0.937591
francese,0.950375,0.902177,0.923558,0.958074,0.946987,0.941032,0.928642,0.963611,0.978557,1.000000,0.983904,0.959346,0.964132,0.693972,0.687364,0.917900
catalano,0.952154,0.906813,0.920165,0.951991,0.946952,0.943990,0.933882,0.977102,0.988017,0.983904,1.000000,0.951613,0.965227,0.697934,0.690394,0.932568
tedesco,0.925722,0.881396,0.891116,0.933902,0.912959,0.914014,0.892116,0.945941,0.949096,0.959346,0.951613,1.000000,0.973370,0.671355,0.676329,0.921124
inglese,0.935906,0.883295,0.894459,0.936098,0.927689,0.919201,0.908358,0.959395,0.962711,0.964132,0.965227,0.973370,1.000000,0.681222,0.688346,0.926930
greco,0.679235,0.660836,0.656481,0.667219,0.676486,0.660559,0.664288,0.683689,0.697818,0.693972,0.697934,0.671355,0.681222,1.000000,0.743914,0.665936
arabo,0.669070,0.669494,0.665505,0.659277,0.673864,0.665061,0.672315,0.678665,0.684876,0.687364,0.690394,0.676329,0.688346,0.743914,1.000000,0.659336
sloveno,0.922727,0.884682,0.885555,0.907395,0.918155,0.919333,0.903346,0.943901,0.937591,0.917900,0.932568,0.921124,0.926930,0.665936,0.659336,1.000000
