,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.070395,0.033357,0.035931,0.026420,0.050895,0.063664,0.040606,0.047177,0.049625,0.047846,0.074278,0.064094,0.320765,0.330930,0.077273
siciliano,0.070395,0.000000,0.050441,0.056538,0.057487,0.050478,0.078228,0.070428,0.102706,0.097823,0.093187,0.118604,0.116705,0.339164,0.330506,0.115318
lombardo,0.033357,0.050441,0.000000,0.044998,0.036344,0.060774,0.067357,0.072880,0.085670,0.076442,0.079835,0.108884,0.105541,0.343519,0.334495,0.114445
sardo,0.035931,0.056538,0.044998,0.000000,0.038362,0.051252,0.068230,0.050722,0.045747,0.041926,0.048009,0.066098,0.063902,0.332781,0.340723,0.092605
ligure,0.026420,0.057487,0.036344,0.038362,0.000000,0.035643,0.042173,0.041750,0.050808,0.053013,0.053048,0.087041,0.072311,0.323514,0.326136,0.081845
friulano,0.050895,0.050478,0.060774,0.051252,0.035643,0.000000,0.041181,0.052467,0.064351,0.058968,0.056010,0.085986,0.080799,0.339441,0.334939,0.080667
ladino,0.063664,0.078228,0.067357,0.068230,0.042173,0.041181,0.000000,0.074468,0.072371,0.071358,0.066118,0.107884,0.091642,0.335712,0.327685,0.096654
italiano,0.040606,0.070428,0.072880,0.050722,0.041750,0.052467,0.074468,0.000000,0.023150,0.036389,0.022898,0.054059,0.040605,0.316311,0.321335,0.056099
spagnolo,0.047177,0.102706,0.085670,0.045747,0.050808,0.064351,0.072371,0.023150,0.000000,0.021443,0.011983,0.050904,0.037289,0.302182,0.315124,0.062409
francese,0.049625,0.097823,0.076442,0.041926,0.053013,0.058968,0.071358,0.036389,0.021443,0.000000,0.016096,0.040654,0.035868,0.306028,0.312636,0.082100
catalano,0.047846,0.093187,0.079835,0.048009,0.053048,0.056010,0.066118,0.022898,0.011983,0.016096,0.000000,0.048387,0.034773,0.302066,0.309606,0.067432
tedesco,0.074278,0.118604,0.108884,0.066098,0.087041,0.085986,0.107884,0.054059,0.050904,0.040654,0.048387,0.000000,0.026630,0.328645,0.323671,0.078876
inglese,0.064094,0.116705,0.105541,0.063902,0.072311,0.080799,0.091642,0.040605,0.037289,0.035868,0.034773,0.026630,0.000000,0.318778,0.311654,0.073070
greco,0.320765,0.339164,0.343519,0.332781,0.323514,0.339441,0.335712,0.316311,0.302182,0.306028,0.302066,0.328645,0.318778,0.000000,0.256086,0.334064
arabo,0.330930,0.330506,0.334495,0.340723,0.326136,0.334939,0.327685,0.321335,0.315124,0.312636,0.309606,0.323671,0.311654,0.256086,0.000000,0.340664
sloveno,0.077273,0.115318,0.114445,0.092605,0.081845,0.080667,0.096654,0.056099,0.062409,0.082100,0.067432,0.078876,0.073070,0.334064,0.340664,0.000000
