dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.455596
fur,cat,romance,0.454883
fur,fra,romance,0.450005
fur,spa,romance,0.422912
fur,eng,english,0.422704
fur,deu,germanic,0.385614
fur,slv,slavic,0.356753
lij,ita,italian,0.492538
lij,cat,romance,0.454797
lij,fra,romance,0.454571
lij,spa,romance,0.436965
lij,eng,english,0.433972
lij,deu,germanic,0.390281
lij,slv,slavic,0.360284
lmo,ita,italian,0.431830
lmo,cat,romance,0.421579
lmo,fra,romance,0.408984
lmo,eng,english,0.393095
lmo,spa,romance,0.391723
lmo,deu,germanic,0.362142
lmo,slv,slavic,0.333682
sc,cat,romance,0.445097
sc,ita,italian,0.435488
sc,fra,romance,0.429852
sc,spa,romance,0.429810
sc,eng,english,0.412723
sc,deu,germanic,0.371371
sc,slv,slavic,0.344505
scn,ita,italian,0.453409
scn,cat,romance,0.407514
scn,fra,romance,0.398669
scn,eng,english,0.389969
scn,spa,romance,0.383094
scn,deu,germanic,0.359793
scn,slv,slavic,0.337450
vec,ita,italian,0.598014
vec,cat,romance,0.541546
vec,spa,romance,0.520952
vec,fra,romance,0.519801
vec,eng,english,0.519159
vec,deu,germanic,0.456084
vec,slv,slavic,0.433370
