,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.426879,0.435490,0.429850,0.403366,0.459887,0.455596,0.422912,0.450005,0.454883,0.385614,0.356753,0.422704
lij,0.426879,1.000000,0.437425,0.418028,0.400537,0.503851,0.492538,0.436965,0.454571,0.454797,0.390281,0.360284,0.433972
lmo,0.435490,0.437425,1.000000,0.381185,0.378870,0.459385,0.431830,0.391723,0.408984,0.421579,0.362142,0.333682,0.393095
sc,0.429850,0.418028,0.381185,1.000000,0.398599,0.432893,0.435488,0.429810,0.429852,0.445097,0.371371,0.344505,0.412723
scn,0.403366,0.400537,0.378870,0.398599,1.000000,0.439981,0.453409,0.383094,0.398669,0.407514,0.359793,0.337450,0.389969
vec,0.459887,0.503851,0.459385,0.432893,0.439981,1.000000,0.598014,0.520952,0.519801,0.541546,0.456084,0.433370,0.519159
ita,0.455596,0.492538,0.431830,0.435488,0.453409,0.598014,1.000000,0.603768,0.590067,0.599825,0.524564,0.496349,0.611783
spa,0.422912,0.436965,0.391723,0.429810,0.383094,0.520952,0.603768,1.000000,0.579355,0.637767,0.503159,0.470152,0.596849
fra,0.450005,0.454571,0.408984,0.429852,0.398669,0.519801,0.590067,0.579355,1.000000,0.592599,0.509964,0.463076,0.604833
cat,0.454883,0.454797,0.421579,0.445097,0.407514,0.541546,0.599825,0.637767,0.592599,1.000000,0.503653,0.469660,0.589077
deu,0.385614,0.390281,0.362142,0.371371,0.359793,0.456084,0.524564,0.503159,0.509964,0.503653,1.000000,0.473646,0.588681
slv,0.356753,0.360284,0.333682,0.344505,0.337450,0.433370,0.496349,0.470152,0.463076,0.469660,0.473646,1.000000,0.511210
eng,0.422704,0.433972,0.393095,0.412723,0.389969,0.519159,0.611783,0.596849,0.604833,0.589077,0.588681,0.511210,1.000000
