,Abruzzo,Basilicata,Calabria,Campania,Canton Ticino,Cantone Grigioni,Corsica,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige,Umbria,Val d’Aosta,Veneto
Abruzzo,0.0000,0.4313,0.4854,0.3921,0.5971,0.6283,0.5453,0.5886,0.6209,0.3633,0.5777,0.5950,0.4740,0.2955,0.5856,0.4523,0.6560,0.5206,0.4854,0.6226,0.4441,0.6577,0.5653
Basilicata,0.4313,0.0000,0.4255,0.3779,0.6296,0.6553,0.5699,0.6134,0.6578,0.4341,0.6223,0.6249,0.5419,0.3613,0.6238,0.3836,0.6751,0.5018,0.5381,0.6732,0.5124,0.7050,0.6263
Calabria,0.4854,0.4255,0.0000,0.3804,0.5870,0.6411,0.4802,0.5933,0.6116,0.4501,0.5502,0.6015,0.5163,0.4355,0.5683,0.4345,0.6033,0.3717,0.5377,0.6384,0.4612,0.6857,0.6029
Campania,0.3921,0.3779,0.3804,0.0000,0.6039,0.6244,0.4981,0.5838,0.6127,0.3607,0.5485,0.5804,0.5014,0.3456,0.5786,0.4034,0.6394,0.4256,0.5260,0.6313,0.4319,0.6620,0.5602
Canton Ticino,0.5971,0.6296,0.5870,0.6039,0.0000,0.4915,0.6003,0.4256,0.5299,0.5800,0.4498,0.3590,0.4903,0.5963,0.4134,0.6044,0.6723,0.6005,0.5190,0.5438,0.5637,0.6149,0.4484
Cantone Grigioni,0.6283,0.6553,0.6411,0.6244,0.4915,0.0000,0.6205,0.5082,0.5103,0.6191,0.5481,0.5005,0.5619,0.6068,0.5344,0.6375,0.6847,0.6245,0.5274,0.5177,0.5857,0.6614,0.5143
Corsica,0.5453,0.5699,0.4802,0.4981,0.6003,0.6205,0.0000,0.5779,0.5678,0.5154,0.5449,0.5667,0.5279,0.5420,0.5678,0.5552,0.5746,0.4928,0.5272,0.6522,0.4926,0.6928,0.5693
Emilia-Romagna,0.5886,0.6134,0.5933,0.5838,0.4256,0.5082,0.5779,0.0000,0.5136,0.5874,0.4854,0.3808,0.3949,0.5796,0.4443,0.6027,0.6648,0.5863,0.4551,0.5238,0.5013,0.6349,0.4193
Friuli-Venezia Giulia,0.6209,0.6578,0.6116,0.6127,0.5299,0.5103,0.5678,0.5136,0.0000,0.5961,0.5406,0.5079,0.5356,0.6051,0.5232,0.6214,0.6752,0.6013,0.5192,0.5044,0.5694,0.6346,0.4801
Lazio,0.3633,0.4341,0.4501,0.3607,0.5800,0.6191,0.5154,0.5874,0.5961,0.0000,0.5617,0.5804,0.4805,0.3117,0.5840,0.4433,0.6407,0.4759,0.4878,0.6003,0.3985,0.6446,0.5567
