Silhouette report (canine (with-iso, flores))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.1084
  silhouette (romance)  = -0.0355

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.2674
  spa                   romance              +0.0978
  fra                   romance              +0.0098
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  lij                   italo_romance        -0.2242
  sc                    italo_romance        -0.2283
  fur                   italo_romance        -0.2968
  lmo                   italo_romance        -0.3016
  vec                   italo_romance        -0.3548
  scn                   italo_romance        -0.3791
