,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.008610,0.005353,0.010471,0.010886,0.006611,0.005443,0.006118,0.005013,0.004128,0.033891,0.018399,0.024224
lij,0.008610,0.000000,0.005650,0.012238,0.018293,0.002895,0.002858,0.004298,0.008564,0.005295,0.035890,0.019548,0.026433
lmo,0.005353,0.005650,0.000000,0.010508,0.012794,0.004524,0.005137,0.004895,0.006984,0.001827,0.031359,0.018413,0.025830
sc,0.010471,0.012238,0.010508,0.000000,0.013551,0.010870,0.009755,0.007205,0.008967,0.007616,0.035897,0.026561,0.026367
scn,0.010886,0.018293,0.012794,0.013551,0.000000,0.018717,0.013031,0.017581,0.019220,0.014611,0.053297,0.033335,0.042471
vec,0.006611,0.002895,0.004524,0.010870,0.018717,0.000000,0.001672,0.001662,0.006120,0.002942,0.032171,0.017244,0.023273
ita,0.005443,0.002858,0.005137,0.009755,0.013031,0.001672,0.000000,0.002016,0.005506,0.003330,0.034401,0.019638,0.024490
spa,0.006118,0.004298,0.004895,0.007205,0.017581,0.001662,0.002016,0.000000,0.003413,0.001933,0.028140,0.016657,0.020224
fra,0.005013,0.008564,0.006984,0.008967,0.019220,0.006120,0.005506,0.003413,0.000000,0.002606,0.024373,0.018863,0.018058
cat,0.004128,0.005295,0.001827,0.007616,0.014611,0.002942,0.003330,0.001933,0.002606,0.000000,0.027689,0.017545,0.021330
deu,0.033891,0.035890,0.031359,0.035897,0.053297,0.032171,0.034401,0.028140,0.024373,0.027689,0.000000,0.016307,0.007701
slv,0.018399,0.019548,0.018413,0.026561,0.033335,0.017244,0.019638,0.016657,0.018863,0.017545,0.016307,0.000000,0.015491
eng,0.024224,0.026433,0.025830,0.026367,0.042471,0.023273,0.024490,0.020224,0.018058,0.021330,0.007701,0.015491,0.000000
