,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
nap,-0.369323,0.005303,-0.080536,-0.094772,-0.466979,0.274689,0.101406,0.406980,-0.105354,-0.329207,-0.658625,0.656215,-0.268237,-0.124164,-0.199793,0.055093,0.014466,-0.167853,-0.349875,0.227924,-0.051163,0.123327,0.694057,0.098811,-0.181616,0.243407,-0.251901,0.230536,-0.017646,0.234718,0.427823,0.367602,-0.009768,-0.182693,-0.391372,0.316397,-0.302800,0.258252,-0.106666,0.626267,0.692865,-0.018892,0.454338,-0.093891,-0.227707,-0.107239,-0.017372,-0.313519,0.636212,-0.273319,0.349578,-0.131909,0.114887,-0.116992,0.272302,-0.255739,0.387574,0.316926,0.265623,-0.181060,-0.175050,1.225457,-0.063507,-0.729991,0.056308,0.058304,-0.261089,-0.275635,0.189333,0.739592,-0.742416,0.195826,0.366592,-0.019106,-0.500730,0.217322,0.071765,0.249209,0.092310,-0.003086,0.152981,0.008750,0.025372,-0.016059,0.019402,-0.182757,-0.028280,0.287852,-0.275620,-0.640142,0.132089,-0.181502,0.343940,0.282649,0.119214,-0.095904,-0.228604,-0.154510,0.042113,0.217779,-0.112837,0.085218,0.362397,0.265434,-0.246558,-0.161194,0.227141,0.640678,0.016415,0.295121,0.168097,-0.429481,0.297284,-0.227012,-0.106313,0.399204,0.085017,0.108512,0.006640,-0.062285,-0.183117,-0.038555,-0.162128,-0.259604,-0.022013,-0.220714,0.244419,-0.417867,-0.043780,0.294230,-0.340617,-0.029034,-0.204156,0.208798,-0.641033,-0.119020,-0.163372,-0.269596,0.125583,-0.202481,-0.526767,0.239742,-0.193799,0.083960,-0.020992,0.176649,0.365933,0.068208,-0.026728,-0.021190,-0.039223,0.122217,0.503232,-0.111672,0.266236,0.169330,-0.248918,0.104790,-0.302161,-0.583320,-0.022568,-0.165875,0.144306,-0.277424,0.064226,0.136913,-0.062665,0.126162,-0.301632,-0.024304,0.328054,0.018932,0.106893,-0.142370,-0.129661,-0.180246,0.086687,0.404319,-0.469223,-0.819366,-0.144368,0.012733,-0.102980,0.006134,0.230038,-0.349150,0.374651,0.068044,-0.180585,0.535874,-0.059081,-0.485814,0.026201,-0.011154,-0.495582,0.144272,0.079956,0.217057,0.325615,0.327236
scn,-0.160145,-0.114388,-0.040725,0.006786,-0.470974,0.319532,-0.103424,0.273899,-0.304883,-0.433228,-0.469934,0.555802,-0.041431,-0.246132,0.116387,0.109658,0.128473,-0.107898,-0.383303,-0.005556,-0.096600,0.167522,0.624414,0.086229,0.061975,-0.074729,-0.506134,0.264124,0.295875,0.100785,0.410633,0.251310,-0.098020,-0.179438,-0.528946,0.334268,-0.188655,0.351378,-0.149896,0.498513,0.707051,-0.054882,0.499568,-0.197208,-0.126084,-0.223186,-0.344696,-0.104987,0.534831,-0.240376,0.074669,-0.182395,0.053759,0.224905,0.055846,0.082841,0.485340,0.265405,0.367709,-0.237031,0.144888,0.470302,-0.167604,-0.599379,0.074060,0.237157,-0.078303,0.010802,-0.105427,0.479954,-0.456258,0.178987,0.525896,-0.086470,-0.126755,0.127479,-0.209083,0.105661,-0.037728,-0.072751,0.177492,0.014901,-0.007724,0.089609,0.034502,-0.038570,-0.237087,0.311791,-0.177650,-0.156882,0.162003,0.010280,0.285612,0.164836,0.037326,0.115479,-0.328056,-0.043343,-0.111228,0.288341,-0.272344,0.203556,0.370376,-0.130172,-0.242025,-0.278424,0.111010,0.378029,-0.119064,0.292906,0.316087,-0.383259,-0.015313,-0.063484,-0.161987,0.526980,0.134048,0.411550,-0.206348,0.080751,-0.076447,0.083662,0.055659,-0.290678,-0.072574,-0.420630,0.178717,-0.672006,-0.379447,0.411896,0.085875,-0.073435,-0.097736,0.095458,-0.763292,-0.132087,-0.577615,0.167027,0.281729,-0.076489,-0.441355,0.308881,-0.054065,0.232051,-0.380989,0.374245,0.742069,0.155014,-0.113039,-0.116210,0.015720,0.145337,0.583663,0.351608,-0.046050,0.139895,0.177151,0.367037,-0.411241,-0.437890,0.277551,-0.312581,0.410751,0.052988,0.588048,0.211636,0.017421,0.148698,-0.209570,0.167247,0.424233,-0.058270,-0.040491,-0.114591,-0.208259,-0.083413,0.086296,0.495037,-0.464352,-0.701892,-0.246562,0.070191,-0.163617,-0.228634,0.322861,-0.560460,-0.084815,-0.279696,-0.167106,0.613793,0.028996,-0.326191,0.126288,0.074617,-0.825344,0.416592,0.341651,0.185316,0.440225,0.739762
vec,0.143048,-0.171044,-0.019763,-0.075635,-0.256026,0.433122,-0.000577,0.106664,-0.190822,-0.319023,-0.533714,0.479442,-0.210656,0.105304,-0.103662,-0.254723,-0.060852,-0.044021,-0.403211,0.083067,0.036677,0.180477,0.650040,-0.003931,-0.119393,-0.006744,-0.410029,0.344860,-0.115380,0.136309,0.410938,0.208075,-0.119290,-0.120037,-0.106148,0.182010,0.132026,0.312324,-0.220012,0.467069,0.644584,-0.233670,0.419269,-0.065356,-0.368579,-0.082847,-0.245215,-0.068711,0.584836,-0.394873,0.406339,-0.103625,0.114412,-0.071721,0.031647,-0.037092,0.624452,0.090031,0.497822,-0.200715,-0.076782,1.026423,0.187442,-0.501435,-0.037425,-0.090267,-0.133429,-0.080096,0.036641,0.051624,-0.327982,0.079195,0.093426,-0.080267,-0.022251,0.218116,0.015986,0.235352,0.010540,-0.028783,0.110668,-0.213778,0.135612,0.186552,-0.057192,-0.098003,-0.066585,0.231898,-0.115441,-0.385457,0.041109,-0.005784,0.181045,0.084508,0.104829,-0.035714,0.107614,-0.126899,-0.003586,0.281800,0.027500,0.166425,0.191686,0.169328,-0.006616,-0.062473,-0.023070,0.199320,-0.222499,0.137244,0.076053,-0.093023,0.572237,-0.323040,-0.310559,0.616797,-0.124615,0.462245,0.355508,0.497856,-0.175428,0.068704,-0.049401,-0.287636,0.082194,-0.559757,0.137923,-0.339350,-0.138080,0.270598,-0.093819,-0.044567,-0.219711,0.177956,-0.846351,0.053974,-0.307613,-0.207820,0.224163,0.154638,-0.145639,-0.003464,-0.313890,-0.035337,-0.182434,-0.042191,0.247473,0.026871,-0.166835,-0.058277,-0.181631,0.081993,0.371122,0.047288,0.274266,0.050449,0.187504,0.060091,-0.206902,-0.378319,0.304125,-0.226133,0.124849,0.155471,0.454741,0.173882,-0.056582,0.269160,-0.465784,-0.059718,0.459297,-0.133014,0.170419,0.087924,0.014906,-0.405549,0.189917,0.077049,-0.432058,-0.349807,-0.118062,0.190320,-0.041286,-0.085730,0.146924,-0.335474,0.092664,-0.027456,-0.139562,0.366576,0.082447,-0.292019,0.000684,-0.104133,-0.141347,0.097925,0.219233,0.107055,0.228671,0.237444
lmo,0.166905,-0.152994,-0.010668,-0.015823,-0.390199,0.426860,-0.118695,0.206084,-0.107786,-0.185660,-0.427074,0.515658,-0.289288,0.134464,-0.093682,-0.203415,-0.153908,-0.007032,-0.311322,0.063527,0.132449,0.253364,0.600946,-0.058174,-0.094001,-0.029346,-0.337617,0.383836,-0.171971,0.101625,0.318695,0.198609,-0.130400,-0.033559,-0.104659,0.042385,0.201832,0.360179,-0.097712,0.577127,0.730437,-0.268917,0.355742,-0.181817,-0.284077,0.097669,-0.179461,-0.171691,0.655560,-0.391070,0.403286,-0.189748,0.207035,-0.149492,0.012272,0.194461,0.397312,0.098901,0.512949,-0.190349,-0.034111,0.915338,0.232939,-0.417966,0.017623,0.006502,-0.192912,-0.010820,0.026444,0.167122,-0.203077,0.023046,0.106789,-0.078586,-0.025591,0.292697,0.076910,0.094901,0.080592,-0.010992,0.080632,-0.158491,0.102996,0.308415,-0.204892,-0.073299,-0.182006,0.219580,-0.286859,-0.597326,-0.201595,-0.045576,0.249089,0.226242,0.184902,0.079724,-0.117242,-0.177189,0.112690,0.368528,0.045579,0.487956,0.258649,0.158254,-0.192998,0.158030,-0.181408,0.365380,-0.328998,0.067756,0.115972,0.211897,0.317497,-0.192569,-0.295030,0.406899,-0.152988,0.305700,0.172475,0.541318,-0.087720,0.070474,0.102887,-0.241095,0.033318,-0.436285,0.055657,-0.146799,-0.279558,0.284464,-0.040501,0.135675,-0.205049,0.057229,-0.614867,0.164243,-0.130450,-0.073375,0.191373,0.035994,-0.146315,-0.047578,-0.131477,-0.054467,-0.188466,0.059827,0.384464,-0.062974,-0.059679,-0.112663,-0.080002,0.066858,0.574162,0.063321,0.236573,0.086488,0.231746,0.282710,-0.162866,-0.469171,0.352204,-0.177096,0.166977,0.209056,0.440979,0.098074,-0.161205,0.231369,-0.408212,-0.098608,0.537520,0.043044,0.126824,0.034362,0.109485,-0.181355,0.186297,0.068818,-0.386064,-0.350600,-0.118222,0.196223,0.118747,0.028278,0.129579,-0.305662,0.124695,-0.108748,-0.149259,0.307373,0.057854,-0.152232,-0.015510,-0.011856,-0.122704,0.214621,0.180851,0.095343,0.139692,0.225449
sc,-0.009701,-0.112691,0.035224,0.040273,-0.431131,0.531214,0.102874,0.098830,-0.368770,-0.280959,-0.424895,0.391417,0.011053,0.038467,-0.074937,-0.164645,-0.144228,-0.205277,-0.589127,0.195251,0.280611,0.093816,0.933983,-0.079244,0.190471,0.227734,-0.280549,0.415590,-0.251990,-0.276343,0.568494,0.183133,-0.135209,0.162434,0.322959,0.072971,-0.205777,0.205573,-0.141295,0.945016,0.542448,-0.356042,0.588331,-0.076820,-0.275186,0.047776,-0.301700,-0.015737,0.491804,-0.185253,0.701184,-0.124399,0.050620,0.154426,-0.086168,-0.046131,0.477414,-0.019750,0.502264,-0.206669,-0.123096,0.507335,-0.183651,-0.382539,-0.266159,-0.327484,-0.048846,0.097718,-0.058960,0.601859,-0.280446,0.266416,0.198038,0.005814,-0.205925,0.254979,0.055000,0.021665,0.000013,0.079861,-0.016695,-0.186912,-0.077845,0.209098,0.115033,0.194521,-0.258314,0.268142,-0.065001,-0.525415,-0.109701,0.143959,0.192940,0.188188,0.165779,0.053430,-0.200316,-0.025571,0.116674,-0.011184,0.246722,0.443508,0.389681,-0.111615,-0.062733,-0.055757,0.099583,0.110978,-0.061010,0.209248,-0.206736,-0.103169,0.577695,-0.095497,-0.199215,0.435333,0.030443,0.361430,-0.062977,0.092456,0.017710,-0.023786,0.027889,-0.400680,-0.101560,-0.336626,0.337054,-0.668018,-0.526905,0.191544,0.190793,-0.007650,-0.292966,0.004947,-1.090226,-0.046169,-0.518039,0.319291,0.450443,-0.313743,-0.099357,0.350893,-0.390307,0.357362,-0.268330,0.261342,0.517757,-0.152747,-0.246285,-0.267528,-0.075566,-0.336504,0.695514,0.105538,-0.146950,0.030807,0.360900,0.332061,-0.452247,-0.240315,0.171472,-0.213070,0.279983,0.245755,0.722313,0.195596,-0.112328,0.203976,-0.569325,-0.246569,0.633182,-0.018321,0.078012,-0.321841,-0.332736,-0.328577,0.052074,-0.238338,-0.520673,-0.237015,0.065848,0.212032,-0.011299,-0.080448,-0.061505,-0.253693,-0.063142,-0.088773,-0.045449,0.292319,-0.114389,-0.204119,0.316067,-0.070478,-0.130319,0.009601,0.150391,0.196851,0.324091,0.351199
ita,0.068559,0.047171,0.000890,-0.038662,-0.358950,0.408086,0.085022,0.096096,-0.241159,-0.396235,-0.676546,0.466035,-0.333577,-0.002087,-0.194257,-0.243363,0.031295,-0.112973,-0.334163,0.194884,0.078744,0.237915,0.694219,-0.002745,-0.194150,-0.098353,-0.430671,0.267362,-0.061358,0.050515,0.275813,0.170517,-0.126731,-0.120023,-0.221991,0.317536,-0.154594,0.315695,-0.270743,0.567061,0.702376,-0.326698,0.472004,-0.109886,-0.265236,-0.346389,-0.209768,-0.268639,0.461304,-0.362483,0.414256,-0.007338,0.116544,0.057958,0.092013,0.003783,0.507676,0.124328,0.441283,-0.317865,-0.011092,0.885212,-0.052810,-0.703155,0.087982,-0.084399,-0.133035,-0.134963,-0.137632,0.229089,-0.417357,0.075004,0.234231,-0.056329,-0.201637,0.370388,-0.011472,0.243757,0.123534,-0.088126,0.085914,-0.086773,0.091071,0.164228,-0.153895,-0.139688,-0.213966,0.327852,-0.028477,-0.372924,0.155580,-0.081590,0.120850,0.279521,0.061237,0.033273,-0.093914,-0.125610,-0.059698,0.380235,-0.084037,0.240340,0.263994,0.161341,-0.266610,-0.099635,-0.153793,0.505993,-0.223222,0.204482,0.110532,-0.123397,0.299198,-0.257302,-0.266792,0.551536,-0.040185,0.541454,0.141752,0.369023,-0.076477,-0.028491,-0.052323,-0.165247,0.021492,-0.274585,0.113069,-0.300807,-0.206015,0.314593,-0.065155,-0.197459,-0.202845,0.211247,-0.828799,0.099768,-0.449565,-0.167077,0.310132,0.194040,-0.258446,0.162583,-0.401529,0.105501,-0.205684,0.086974,0.412709,0.067632,-0.122459,-0.292843,-0.169170,0.169997,0.490015,-0.059372,0.258945,0.039021,0.064886,0.101540,-0.212823,-0.381604,-0.023944,-0.264234,0.097309,-0.034652,-0.002642,0.067473,-0.153349,0.119945,-0.248720,0.120497,0.448121,-0.057142,0.124802,0.101860,0.146637,-0.277888,0.259458,0.267431,-0.525120,-0.498070,-0.231372,0.001193,-0.069574,-0.125801,0.127515,-0.457476,0.164659,-0.000522,-0.320655,0.497807,0.062452,-0.359453,0.044176,-0.149434,-0.162765,0.215434,0.211894,0.225853,0.223942,0.432554
es,0.405011,-0.036233,0.116779,-0.043158,-0.506687,0.740922,0.216637,0.281239,-0.172401,-0.389503,-0.796720,0.624797,-0.412297,0.369985,-0.226338,-0.285008,0.021521,-0.009447,-0.335770,0.117840,0.084806,0.165852,0.621171,-0.181897,0.013732,0.205161,-0.144346,0.286523,-0.209185,-0.069512,0.495534,0.254542,0.059427,0.045198,0.287689,0.082751,-0.015852,0.406323,-0.227396,0.879676,1.044748,-0.467482,0.633144,-0.047474,-0.477066,-0.039604,-0.282748,-0.018370,0.730215,-0.397419,0.687506,-0.076812,0.336715,-0.216148,-0.001436,0.183093,0.510375,0.077687,0.469726,0.053565,-0.067624,0.580091,0.140494,-0.238406,-0.462730,-0.302686,-0.250957,-0.229946,0.016389,0.307086,-0.178678,0.280430,0.015971,-0.052634,0.025759,0.218395,0.117426,-0.021252,0.189202,-0.014217,0.046177,-0.260266,-0.027871,0.264608,-0.035979,0.151515,-0.271915,0.033764,-0.276576,-0.543196,-0.114950,0.226009,0.095306,0.287313,0.165775,0.104867,-0.087425,0.020772,0.159792,0.116011,0.235871,0.176330,0.155857,0.165357,0.133582,0.066105,-0.110921,-0.018338,-0.164617,0.043698,-0.096934,0.121238,0.843918,-0.402584,-0.413289,0.580469,-0.067823,0.366776,0.265662,0.455369,-0.269897,0.094266,-0.157799,-0.308302,-0.090609,-0.339620,0.230819,-0.211114,-0.423054,0.176801,-0.020886,0.136848,-0.207455,0.028628,-0.479569,0.253959,-0.109661,-0.013130,0.179132,0.106294,-0.147319,-0.024008,-0.319733,0.120484,-0.264728,-0.013538,0.227980,-0.161897,-0.371486,-0.147848,-0.299256,-0.003834,0.256031,-0.101739,0.210007,0.039458,0.212405,0.177385,0.014742,-0.230881,0.388142,-0.037181,0.096434,0.485002,0.673623,0.291723,-0.161353,0.307387,-0.573916,-0.101745,0.600270,-0.202118,0.145271,0.004362,-0.050227,-0.368696,0.135482,-0.205099,-0.383533,-0.315542,0.159724,0.087712,0.128056,-0.012697,-0.080208,-0.118895,-0.065513,0.134120,-0.014877,0.110569,0.064871,-0.081864,0.165802,-0.036727,-0.044181,0.377842,0.203812,0.228044,0.274521,0.271286
fr,0.358275,-0.076140,0.135330,-0.318658,-0.076482,0.207107,0.111312,0.084255,-0.279006,-0.093425,-0.326869,0.227970,-0.228801,0.441903,-0.441106,-0.198066,-0.210009,-0.063330,-0.419340,0.250668,0.224427,0.560295,1.152618,-0.007521,-0.106929,0.243231,-0.338116,0.259498,-0.209181,0.239953,0.684227,0.295299,-0.176969,0.153410,0.512978,-0.402715,-0.221277,0.134180,-0.032414,0.921197,0.224837,-0.292259,0.384208,0.115608,-0.072124,0.079636,0.080200,-0.049145,-0.010957,-0.100753,0.418899,0.001216,0.235147,0.093640,-0.054090,-0.153652,0.132513,-0.117713,0.277402,-0.183056,-0.042776,0.671642,0.022641,-0.234819,-0.348652,-0.091093,-0.435168,0.033631,0.486574,0.333059,-0.670236,0.286731,0.274085,-0.054966,-0.203944,0.478374,-0.008575,0.156997,0.410246,0.109155,0.246836,-0.227984,0.295952,0.284236,-0.263605,-0.127543,-0.157661,0.152626,-0.212013,-0.800720,-0.292022,0.210798,-0.031850,0.670600,0.241660,0.202460,0.009284,-0.143948,0.179200,0.350591,0.382663,0.582106,0.335205,0.102564,-0.403471,0.061117,-0.041605,0.194961,-0.420234,-0.074390,0.267724,0.148965,0.483083,-0.427234,-0.291773,0.922597,-0.176713,0.584678,0.275456,0.461273,-0.108441,0.278154,0.102580,-0.198466,0.084244,-0.321405,-0.001765,-0.026144,-0.222418,-0.066875,0.073288,0.085784,-0.052579,-0.278991,-0.861024,0.356905,-0.072235,-0.085911,0.355246,0.239398,0.054898,-0.084429,-0.454356,-0.109408,-0.370798,0.104970,0.179148,-0.273638,-0.107357,-0.129685,0.169146,0.020203,0.197983,-0.067249,0.240055,0.010152,0.275140,0.114375,-0.135207,-0.237622,0.308157,-0.024342,0.115124,0.436387,0.291208,0.208162,-0.049621,0.211491,-0.326943,-0.223316,0.631384,0.028113,0.239706,0.175943,0.212381,-0.201325,0.127790,-0.014219,-0.430050,-0.172186,0.140067,0.236692,0.109930,-0.117691,0.226338,-0.274026,0.103855,-0.400587,0.108607,0.679625,0.318457,-0.397926,0.258453,-0.154323,-0.749118,0.326212,0.313111,0.292492,0.147451,0.369831
ca,0.436269,-0.311161,0.138748,-0.080936,-0.341763,0.583869,-0.122610,0.089895,-0.155353,-0.235781,-0.558159,0.365792,-0.405026,0.423523,-0.131583,-0.245867,-0.147859,-0.029475,-0.359874,0.040545,0.169533,0.241975,0.762195,-0.177683,-0.137722,0.089303,-0.300974,0.472688,-0.292588,0.076092,0.508209,0.297243,-0.126931,0.044147,0.188617,-0.032373,0.233701,0.438298,-0.195665,0.927596,0.927602,-0.340347,0.551055,-0.011085,-0.486493,0.240229,-0.152696,-0.002659,0.444049,-0.224797,0.609121,-0.170707,0.182131,-0.104249,-0.125344,0.167950,0.237442,0.083719,0.573497,0.087510,0.039385,0.577998,0.171953,-0.154945,-0.226482,-0.066034,-0.273078,-0.121597,0.070628,0.097639,-0.114552,0.028575,-0.064767,0.001683,0.139274,0.283201,0.203952,-0.151424,0.285504,0.006440,0.013191,-0.323741,0.039799,0.196668,-0.112483,0.076365,-0.278743,0.063788,-0.322888,-0.553358,-0.280550,0.315622,0.199004,0.348635,0.229893,0.395382,-0.316713,-0.124886,0.314338,0.174261,0.213264,0.579866,0.281957,0.222908,0.094020,0.089919,-0.094652,0.094204,-0.102186,0.031868,0.049969,0.191278,0.672195,-0.311398,-0.484473,0.421639,-0.152591,0.398729,0.233094,0.542239,-0.224637,0.117092,-0.015861,-0.339995,-0.120336,-0.548951,0.056349,-0.185403,-0.423554,0.245317,0.173746,0.287204,-0.232944,-0.160583,-0.791817,0.337848,0.116035,0.119987,0.323866,0.079893,-0.124058,-0.055423,0.057756,-0.079742,-0.214549,-0.079978,0.217631,-0.280638,-0.228086,0.043636,-0.072061,0.033814,0.408947,-0.008676,0.171971,0.200221,0.167662,0.243727,0.156961,-0.412823,0.653910,-0.072489,0.121414,0.288605,0.634232,0.255155,-0.066828,0.171101,-0.833158,-0.245263,1.007235,-0.069513,0.077182,0.044943,0.001031,-0.351680,0.044829,-0.131106,-0.327514,-0.224032,-0.068767,0.046677,0.216376,-0.157164,0.129050,-0.275780,-0.032456,-0.280115,-0.064256,0.117870,0.023387,-0.023081,0.100042,0.089371,-0.291022,0.467759,0.289990,0.220153,0.263386,0.378481
de,0.247878,0.031119,-0.304665,-0.026617,0.248309,0.198552,0.209123,0.190832,-0.221427,0.186737,0.165032,0.248462,-0.243839,-0.235049,0.320684,0.040538,-0.117473,-0.410091,-0.150436,-0.143414,0.050474,0.335074,0.805893,-0.357707,-0.086968,0.016952,-0.169885,0.383016,-0.386041,-0.093724,0.351761,0.167739,0.053219,0.179026,0.004943,0.103949,-0.103550,-0.014704,-0.205378,0.583089,0.328384,-0.228501,0.202949,-0.135787,0.110827,-0.376562,-0.001717,-0.100909,0.975465,-0.168640,0.207078,0.027875,0.223980,0.082515,-0.129961,0.289248,0.643446,-0.287727,0.244995,0.230419,-0.334262,0.669924,0.130833,-0.404793,-0.228036,-0.370901,-0.237927,0.104575,0.432736,0.506702,-0.487501,0.346015,0.069461,0.129956,-0.180937,0.179786,-0.036070,0.311016,0.110660,-0.119810,0.449339,-0.277769,-0.052635,0.808855,-0.568973,0.476139,-0.322111,0.510043,-0.370141,-0.930421,-0.252416,-0.128104,0.228642,0.978844,0.285055,0.009396,-0.303595,-0.297621,-0.019669,-0.008035,0.138401,0.201566,0.295551,-0.358479,-1.306035,0.629063,-0.815978,0.889970,-0.204273,0.057577,0.037171,0.209389,0.094504,-0.099370,0.000478,0.313155,-0.164177,-0.050778,0.129155,0.365964,-0.015362,0.010591,-0.010092,0.264701,-0.115865,0.351155,-0.058045,-0.107074,-0.217333,0.450411,0.109990,0.051700,0.038897,0.253554,-0.644366,0.301660,-0.040498,0.231629,0.106157,-0.290546,-0.008326,0.011521,-0.310724,-0.100310,-0.285048,-0.033390,0.475357,0.378267,0.179342,-0.317848,0.106640,-0.314035,0.105927,-0.162438,0.159564,-0.252894,0.264705,-0.044840,-0.264024,0.331771,-0.533588,-0.208210,0.054298,0.607466,0.969715,0.140183,-0.022785,0.393895,-0.560773,-0.186217,0.456610,0.412398,0.723655,-0.588504,0.270041,-0.206042,0.459363,0.363327,-0.678441,-0.894912,0.347459,0.794919,-0.395592,0.176101,0.242124,-0.139386,-0.004188,0.078598,0.024034,1.299219,0.683855,-0.315189,0.404773,-0.115924,-0.463979,0.082983,-0.056781,0.243003,0.188496,0.671714
