,fur,lij,lmo,vec,scn,sc,ita,spa,cat,por,fra,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.776319,0.818201,0.796012,0.685259,0.696835,0.760042,0.701015,0.752573,0.658258,0.725728,0.733229,0.523799,0.611014,0.531974,0.539542,0.565210
lij,0.776319,1.000000,0.807174,0.848699,0.743366,0.719729,0.812246,0.751655,0.730392,0.737497,0.690324,0.736789,0.551478,0.600450,0.586018,0.594921,0.594043
lmo,0.818201,0.807174,1.000000,0.830409,0.723680,0.724398,0.757991,0.763721,0.812800,0.708883,0.735035,0.809770,0.530274,0.607961,0.562999,0.561265,0.563383
vec,0.796012,0.848699,0.830409,1.000000,0.743042,0.706903,0.859693,0.746211,0.736024,0.730458,0.673573,0.714355,0.536603,0.598408,0.602527,0.591224,0.533691
scn,0.685259,0.743366,0.723680,0.743042,1.000000,0.690110,0.766371,0.635308,0.651888,0.627544,0.607477,0.632857,0.484700,0.546479,0.519427,0.519366,0.489704
sc,0.696835,0.719729,0.724398,0.706903,0.690110,1.000000,0.686222,0.725762,0.697158,0.700756,0.647630,0.694266,0.496762,0.559525,0.541275,0.553260,0.519714
ita,0.760042,0.812246,0.757991,0.859693,0.766371,0.686222,1.000000,0.683468,0.666884,0.673466,0.639657,0.647286,0.502479,0.574290,0.508376,0.500387,0.488650
spa,0.701015,0.751655,0.763721,0.746211,0.635308,0.725762,0.683468,1.000000,0.831854,0.834589,0.717076,0.831758,0.480524,0.574354,0.508752,0.509639,0.533387
cat,0.752573,0.730392,0.812800,0.736024,0.651888,0.697158,0.666884,0.831854,1.000000,0.739057,0.750397,0.888062,0.483722,0.590146,0.484456,0.492983,0.528488
por,0.658258,0.737497,0.708883,0.730458,0.627544,0.700756,0.673466,0.834589,0.739057,1.000000,0.613140,0.717098,0.485670,0.585472,0.508502,0.508776,0.527870
fra,0.725728,0.690324,0.735035,0.673573,0.607477,0.647630,0.639657,0.717076,0.750397,0.613140,1.000000,0.762781,0.492024,0.599560,0.474087,0.466936,0.482221
oci,0.733229,0.736789,0.809770,0.714355,0.632857,0.694266,0.647286,0.831758,0.888062,0.717098,0.762781,1.000000,0.422293,0.524957,0.446124,0.431517,0.473989
deu,0.523799,0.551478,0.530274,0.536603,0.484700,0.496762,0.502479,0.480524,0.483722,0.485670,0.492024,0.422293,1.000000,0.551182,0.428371,0.406002,0.438884
eng,0.611014,0.600450,0.607961,0.598408,0.546479,0.559525,0.574290,0.574354,0.590146,0.585472,0.599560,0.524957,0.551182,1.000000,0.490622,0.475427,0.487778
slv,0.531974,0.586018,0.562999,0.602527,0.519427,0.541275,0.508376,0.508752,0.484456,0.508502,0.474087,0.446124,0.428371,0.490622,1.000000,0.780350,0.415329
hrv,0.539542,0.594921,0.561265,0.591224,0.519366,0.553260,0.500387,0.509639,0.492983,0.508776,0.466936,0.431517,0.406002,0.475427,0.780350,1.000000,0.400022
hun,0.565210,0.594043,0.563383,0.533691,0.489704,0.519714,0.488650,0.533387,0.528488,0.527870,0.482221,0.473989,0.438884,0.487778,0.415329,0.400022,1.000000
