dialect,reference,ref_family,mean_similarity
fur,ita,tuscan,0.760042
fur,cat,iberian_rom,0.752573
fur,oci,gallo_romance,0.733229
fur,fra,gallo_romance,0.725728
fur,spa,iberian_rom,0.701015
fur,por,iberian_rom,0.658258
fur,eng,english,0.611014
fur,hun,uralic,0.565210
fur,hrv,slavic,0.539542
fur,slv,slavic,0.531974
fur,deu,germanic,0.523799
lij,ita,tuscan,0.812246
lij,spa,iberian_rom,0.751655
lij,por,iberian_rom,0.737497
lij,oci,gallo_romance,0.736789
lij,cat,iberian_rom,0.730392
lij,fra,gallo_romance,0.690324
lij,eng,english,0.600450
lij,hrv,slavic,0.594921
lij,hun,uralic,0.594043
lij,slv,slavic,0.586018
lij,deu,germanic,0.551478
lmo,cat,iberian_rom,0.812800
lmo,oci,gallo_romance,0.809770
lmo,spa,iberian_rom,0.763721
lmo,ita,tuscan,0.757991
lmo,fra,gallo_romance,0.735035
lmo,por,iberian_rom,0.708883
lmo,eng,english,0.607961
lmo,hun,uralic,0.563383
lmo,slv,slavic,0.562999
lmo,hrv,slavic,0.561265
lmo,deu,germanic,0.530274
sc,spa,iberian_rom,0.725762
sc,por,iberian_rom,0.700756
sc,cat,iberian_rom,0.697158
sc,oci,gallo_romance,0.694266
sc,ita,tuscan,0.686222
sc,fra,gallo_romance,0.647630
sc,eng,english,0.559525
sc,hrv,slavic,0.553260
sc,slv,slavic,0.541275
sc,hun,uralic,0.519714
sc,deu,germanic,0.496762
scn,ita,tuscan,0.766371
scn,cat,iberian_rom,0.651888
scn,spa,iberian_rom,0.635308
scn,oci,gallo_romance,0.632857
scn,por,iberian_rom,0.627544
scn,fra,gallo_romance,0.607477
scn,eng,english,0.546479
scn,slv,slavic,0.519427
scn,hrv,slavic,0.519366
scn,hun,uralic,0.489704
scn,deu,germanic,0.484700
vec,ita,tuscan,0.859693
vec,spa,iberian_rom,0.746211
vec,cat,iberian_rom,0.736024
vec,por,iberian_rom,0.730458
vec,oci,gallo_romance,0.714355
vec,fra,gallo_romance,0.673573
vec,slv,slavic,0.602527
vec,eng,english,0.598408
vec,hrv,slavic,0.591224
vec,deu,germanic,0.536603
vec,hun,uralic,0.533691
