,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.863094,0.926406,0.818846,0.724172,0.899153,0.886724,0.851419,0.870914,0.867838,0.509916,0.364152,0.662730
lij,0.863094,1.000000,0.892412,0.822394,0.817571,0.947004,0.949293,0.840918,0.755195,0.797862,0.473891,0.405138,0.641316
lmo,0.926406,0.892412,1.000000,0.846393,0.765121,0.935611,0.896933,0.921403,0.860064,0.939549,0.551778,0.426338,0.662866
sc,0.818846,0.822394,0.846393,1.000000,0.767036,0.839681,0.848295,0.870090,0.757884,0.796661,0.476734,0.386402,0.639200
scn,0.724172,0.817571,0.765121,0.767036,1.000000,0.793054,0.843331,0.653456,0.572257,0.632945,0.328630,0.397265,0.482023
vec,0.899153,0.947004,0.935611,0.839681,0.793054,1.000000,0.950790,0.885456,0.790052,0.844939,0.481946,0.482154,0.617231
ita,0.886724,0.949293,0.896933,0.848295,0.843331,0.950790,1.000000,0.832208,0.757482,0.791080,0.449607,0.391832,0.623600
spa,0.851419,0.840918,0.921403,0.870090,0.653456,0.885456,0.832208,1.000000,0.824580,0.931765,0.513598,0.402210,0.625088
fra,0.870914,0.755195,0.860064,0.757884,0.572257,0.790052,0.757482,0.824580,1.000000,0.866605,0.563478,0.330711,0.685926
cat,0.867838,0.797862,0.939549,0.796661,0.632945,0.844939,0.791080,0.931765,0.866605,1.000000,0.484332,0.341308,0.620238
deu,0.509916,0.473891,0.551778,0.476734,0.328630,0.481946,0.449607,0.513598,0.563478,0.484332,1.000000,0.303558,0.518547
slv,0.364152,0.405138,0.426338,0.386402,0.397265,0.482154,0.391832,0.402210,0.330711,0.341308,0.303558,1.000000,0.230806
eng,0.662730,0.641316,0.662866,0.639200,0.482023,0.617231,0.623600,0.625088,0.685926,0.620238,0.518547,0.230806,1.000000
